query_id,placekey,error,pollingHours,latitude,longitude,startDate,endDate,sources,address.locationName,address.line1,address.city,address.state,address.zip,notes,address.line2,name,voterServices
0,223@8m4-tbj-bp9,,"Mon, Oct 26: 8:00 am - 4:30 pm
Tue, Oct 27: 8:00 am - 4:30 pm
Wed, Oct 28: 8:00 am - 4:30 pm
Thu, Oct 29: 8:00 am - 4:30 pm
Fri, Oct 30: 8:00 am - 4:30 pm
Sat, Oct 31: 8:00 am - 4:30 pm
Mon, Nov 2: 8:00 am - 4:30 pm",21.305224,-157.857002,10/20/2020,11/2/2020,"[{'name': 'Voting Information Project', 'official': True}]",Honolulu Hale,530 South King Street,Honolulu,HI,96813,"Voter service centers provide accessible in-person voting, same day voter registration, and collection of voted ballots.",,,
1,@8m4-t4v-q4v,Invalid address,"Mon, Oct 26: 8:00 am - 4:30 pm
Tue, Oct 27: 8:00 am - 4:30 pm
Wed, Oct 28: 8:00 am - 4:30 pm
Thu, Oct 29: 8:00 am - 4:30 pm
Fri, Oct 30: 8:00 am - 4:30 pm
Sat, Oct 31: 8:00 am - 4:30 pm
Mon, Nov 2: 8:00 am - 4:30 pm",21.3298541,-158.0818647,10/20/2020,11/2/2020,"[{'name': 'Voting Information Project', 'official': True}]",Kapolei Hale,1000 Uluʻōhiʻa Street,Kapolei,HI,96707,"Voter service centers provide accessible in-person voting, same day voter registration, and collection of voted ballots.",,,
2,@8m4-793-jvz,Invalid address,"Mon, Oct 26: 8:00 am - 4:30 pm
Tue, Oct 27: 8:00 am - 4:30 pm
Wed, Oct 28: 8:00 am - 4:30 pm
Thu, Oct 29: 8:00 am - 4:30 pm
Fri, Oct 30: 8:00 am - 4:30 pm
Sat, Oct 31: 8:00 am - 4:30 pm
Mon, Nov 2: 8:00 am - 4:30 pm",21.0904063,-157.0176095,10/20/2020,11/2/2020,"[{'name': 'Voting Information Project', 'official': True}]",Mitchell Pauole Center Conference Room,90 Ainoa Street,Kaunakakai,HI,96748,"Voter service centers provide accessible in-person voting, same day voter registration, and collection of voted ballots.",,,
3,@bp5-ytd-j35,Invalid address,"Mon, Oct 26: 8:00 am - 4:30 pm
Tue, Oct 27: 8:00 am - 4:30 pm
Wed, Oct 28: 8:00 am - 4:30 pm
Thu, Oct 29: 8:00 am - 4:30 pm
Fri, Oct 30: 8:00 am - 4:30 pm
Sat, Oct 31: 8:00 am - 4:30 pm
Mon, Nov 2: 8:00 am - 4:30 pm",20.8265134,-156.9211427,10/20/2020,11/2/2020,"[{'name': 'Voting Information Project', 'official': True}]",Lanai Council District Office Lanai Community Center,Lanai Council District Office,Lanai City,HI,96763,"Voter service centers provide accessible in-person voting, same day voter registration, and collection of voted ballots.",8th Street,,
4,zzw-222@bp5-chr-8y9,,"Mon, Oct 26: 8:00 am - 4:30 pm
Tue, Oct 27: 8:00 am - 4:30 pm
Wed, Oct 28: 8:00 am - 4:30 pm
Thu, Oct 29: 8:00 am - 4:30 pm
Fri, Oct 30: 8:00 am - 4:30 pm
Sat, Oct 31: 8:00 am - 4:30 pm
Mon, Nov 2: 8:00 am - 4:30 pm",20.9001592,-156.4919385,10/20/2020,11/2/2020,"[{'name': 'Voting Information Project', 'official': True}]",Velma McWayne Santos Community Center,395 Waena Street,Wailuku,HI,96793,"Voter service centers provide accessible in-person voting, same day voter registration, and collection of voted ballots.",,,
5,222@8m5-jv6-v4v,,"Mon, Oct 26: 8:00 am - 4:30 pm
Tue, Oct 27: 8:00 am - 4:30 pm
Wed, Oct 28: 8:00 am - 4:30 pm
Thu, Oct 29: 8:00 am - 4:30 pm
Fri, Oct 30: 8:00 am - 4:30 pm
Sat, Oct 31: 8:00 am - 4:30 pm
Mon, Nov 2: 8:00 am - 4:30 pm",21.9762472,-159.3694198,10/20/2020,11/2/2020,"[{'name': 'Voting Information Project', 'official': True}]",Piikoi Building Conference Room A / B,4444 Rice Street,Lihue,HI,96766,"Voter service centers provide accessible in-person voting, same day voter registration, and collection of voted ballots.",,,
6,222@bp4-9sn-99f,,"Mon, Oct 26: 8:00 am - 4:30 pm
Tue, Oct 27: 8:00 am - 4:30 pm
Wed, Oct 28: 8:00 am - 4:30 pm
Thu, Oct 29: 8:00 am - 4:30 pm
Fri, Oct 30: 8:00 am - 4:30 pm
Sat, Oct 31: 8:00 am - 4:30 pm
Mon, Nov 2: 8:00 am - 4:30 pm",19.6739161,-156.003606,10/20/2020,11/2/2020,"[{'name': 'Voting Information Project', 'official': True}]",West Hawaii Civic Center Community Room Building G,74-5044 Ane Keohokalole Highway,Kailua-Kona,HI,96740,"Voter service centers provide accessible in-person voting, same day voter registration, and collection of voted ballots.",,,
7,zzw-223@bp4-jct-c3q,,"Mon, Oct 26: 8:00 am - 4:30 pm
Tue, Oct 27: 8:00 am - 4:30 pm
Wed, Oct 28: 8:00 am - 4:30 pm
Thu, Oct 29: 8:00 am - 4:30 pm
Fri, Oct 30: 8:00 am - 4:30 pm
Sat, Oct 31: 8:00 am - 4:30 pm
Mon, Nov 2: 8:00 am - 4:30 pm",19.7182864,-155.0792797,10/20/2020,11/2/2020,"[{'name': 'Voting Information Project', 'official': True}]",County of Hawaii Aupuni Center Conference Room,101 Pauahi Street,Hilo,HI,96720,"Voter service centers provide accessible in-person voting, same day voter registration, and collection of voted ballots.",,,
8,@5pz-qj3-wff,Invalid address,"Mon, Nov 2: 8 am - 4 pm",40.3012334,-90.060869,9/24/2020,11/2/2020,"[{'name': 'DemocracyWorks', 'official': False}]",Mason County Clerk's Office,100 N Broadway,Havana,IL,62644,,,,
9,22g@5pz-knq-v75,,"Mon, Nov 2: 8 am - 5 pm",40.0164045,-90.4341334,10/5/2020,11/2/2020,"[{'name': 'DemocracyWorks', 'official': False}]",Beardstown City Clerk's Office,105 W 3rd St,Beardstown,IL,62618,,Only available for precincts 1-12,,
10,227@5pz-n37-st9,,"Mon, Nov 2: 8 am - 4 pm",39.9505178,-90.2106552,9/24/2020,11/2/2020,"[{'name': 'DemocracyWorks', 'official': False}]",Cass County Clerk's Office,100 E Springfield St,Virgina,IL,62691,,,,
11,225@5pk-rmq-zj9,,"Mon, Nov 2: 8 am - 12 pm, 1 pm - 4 pm",39.6287742,-90.455235,9/24/2020,11/2/2020,"[{'name': 'DemocracyWorks', 'official': False}]",Scott County Clerk's Office,35 E Market St,Winchester,IL,62694,,,,
12,228@5pz-mgt-5zz,,"Mon, Nov 2: 8:30 am - 4:30 pm",39.7346714,-90.2317217,9/24/2020,11/2/2020,"[{'name': 'DemocracyWorks', 'official': False}]",Morgan County Courthouse,300 W State St,Jacksonville,IL,62650,,,,
13,22b@5pk-sv4-b49,,"Mon, Nov 2: 8 am - 4 pm",39.1196045,-90.3304287,9/24/2020,11/2/2020,"[{'name': 'DemocracyWorks', 'official': False}]",Jersey County Clerk's Office,200 N Lafayette St,Jerseyville,IL,62052,,STE 1,,
14,229@5pz-kjk-28v,,"Mon, Nov 2: 8 am - 4 pm",40.1204147,-90.563912,9/24/2020,11/2/2020,"[{'name': 'DemocracyWorks', 'official': False}]",Schuyler County Clerk's Office,102 S. Congress St,Rushville,IL,62681,,STE 104,,
15,229@5pz-qfb-jjv,,"Mon, Nov 2: 8 am - 4 pm",40.3968753,-90.1557528,9/24/2020,11/2/2020,"[{'name': 'DemocracyWorks', 'official': False}]",Fulton County Circuit Clerk Office,100 N Main St,Lewistown,IL,61542,,,,
16,225@5pk-8wy-k2k,,"Sun, Nov 1: 9 am - 5 pm
Mon, Nov 2: 8:30 am - 7:00 pm",39.7998005,-89.6438044,9/24/2020,11/2/2020,"[{'name': 'DemocracyWorks', 'official': False}]",Sangamon County Election Office,200 S 9th St,Springfield,IL,62701,,Room 101,,
17,zzw-222@5pk-4p9-3kf,,"Mon, Nov 2: 8:30 am - 4:30 pm",39.2781468,-89.8796728,9/24/2020,11/2/2020,"[{'name': 'DemocracyWorks', 'official': False}]",Macoupin County Board Conference Room,215 S East St,Carlinville,IL,62626,Second Floor of Sheriff’s Office,,,
18,22f@5pv-hy6-9fz,,"Mon, Nov 2: 8:30 am - 4:30 pm",40.1460049,-89.3624811,9/24/2020,11/2/2020,"[{'name': 'DemocracyWorks', 'official': False}]",Logan County Clerk's Office,601 Broadway St,Lincoln,IL,62656,,,,
19,22d@5pv-h2t-ty9,,"Sun, Nov 1: 9 am - 5 pm
Mon, Nov 2: 8 am - 7 pm",40.5690261,-89.6472642,9/24/2020,11/2/2020,"[{'name': 'DemocracyWorks', 'official': False}]",Tazewell County Clerk's Office,11 S 4th St #203,Perkin,IL,61554,,,,
20,22h@5pz-rky-2rk,,"Mon, Nov 2: 8 am - 4 pm",40.0110591,-89.849507,9/24/2020,11/2/2020,"[{'name': 'DemocracyWorks', 'official': False}]",Menard County Clerk's Office,102 S 7th St,Petersburg,IL,62675,,,,
21,226@5pj-3h2-z2k,,"Mon, Nov 2: 8:00 am - 4:30 pm",38.610686,-89.3683151,9/24/2020,11/2/2020,"[{'name': 'DemocracyWorks', 'official': False}]",Clinton County Clerk’s Office,850 Fairfax St,Carlyle,IL,62231,,,,
22,222@5q2-qqc-s3q,,"Mon, Nov 2: 8 am - 4 pm",38.6275561,-88.9450472,9/24/2020,11/2/2020,"[{'name': 'DemocracyWorks', 'official': False}]",Marion County Clerk's Office,100 E Main St,Salem,IL,62881,,Room 202,,
23,223@5pj-526-5cq,,"Mon, Nov 2: 8 am - 4 pm",38.3440994,-89.3829746,9/24/2020,11/2/2020,"[{'name': 'DemocracyWorks', 'official': False}]",Washington County Clerk's Office,101 E St. Louis St,Nashville,IL,62263,,,,
24,228@5pk-j2g-y5f,,"Mon, Nov 2: 8 am - 4 pm",38.7306544,-88.0856108,9/24/2020,11/2/2020,"[{'name': 'DemocracyWorks', 'official': False}]",Richland County Courthouse,103 West Main St,Olney,IL,62450,,,,
25,222@5pk-hn4-py9,,"Mon, Nov 2: 8 am - 4 pm",38.3776202,-88.057254,9/24/2020,11/2/2020,"[{'name': 'DemocracyWorks', 'official': False}]",Edwards County Clerk's Office,50 E Main St,Albion,IL,62806,,#12,,
26,222@5pk-g34-qj9,,"Mon, Nov 2: 8:15 am - 4:15 pm",38.3173106,-88.9031348,9/24/2020,11/2/2020,"[{'name': 'DemocracyWorks', 'official': False}]",Jefferson County Courthouse,100 S 10th St,Mt. Vernon,IL,62864,,Room 105A,,
27,224@5pk-d54-9j9,,"Mon, Nov 2: 8:00 am - 4:30 pm",38.3797193,-88.3580439,9/24/2020,11/2/2020,"[{'name': 'DemocracyWorks', 'official': False}]",Wayne County Clerk's Office,301 E Main St,Fairfield,IL,62837,Wayne County Courthouse 1st Floor,,,
28,223-222@5pk-ff8-4jv,,"Mon, Nov 2: 8:00 am - 4:30 pm",38.0934727,-88.5357604,9/24/2020,11/2/2020,"[{'name': 'DemocracyWorks', 'official': False}]",Hamilton County Clerk's Office,100 S Jackson S,McLeansboro,IL,62859,,Room 2,,
29,22c@5pk-hfp-hwk,,"Mon, Nov 2: 8 am - 4 pm",38.4098271,-87.7607185,9/24/2020,11/2/2020,"[{'name': 'DemocracyWorks', 'official': False}]",Wabash County Courthouse,401 N Market St,Mt Carmel,IL,62863,,,,
30,222@5pj-fj3-k75,,"Mon, Nov 2: 8 am - 4 pm",37.9960689,-88.9202439,9/24/2020,11/2/2020,"[{'name': 'DemocracyWorks', 'official': False}]",Franklin County Election Office,901 Public Sq,Benton,IL,62812,Campbell Building,,,
31,22f@5pk-gbm-dsq,,"Mon, Nov 2: 8 am - 4 pm",38.9896071,-88.1629,9/24/2020,11/2/2020,"[{'name': 'DemocracyWorks', 'official': False}]",Jasper County Clerk Office,204 W Washington St,Newton,IL,62448,,,,
32,226@5pk-ch6-zxq,,"Mon, Nov 2: 8 am - 4 pm",38.0911219,-88.1586796,9/24/2020,11/2/2020,"[{'name': 'DemocracyWorks', 'official': False}]",White County Courthouse,301 E Main St,Carmi,IL,62821,,,,
33,228@5pk-jc6-brk,,"Mon, Nov 2: 8 am - 4 pm",38.7723188,-88.5017503,9/24/2020,11/2/2020,"[{'name': 'DemocracyWorks', 'official': False}]",Clay County Clerk's Office,111 E Chestnut St,Louisville,IL,62858,,Room 106,,
34,@5ph-yvb-r6k,Invalid address,"Mon, Nov 2: 8 am - 4 pm",38.0572713,-89.3797801,9/24/2020,11/2/2020,"[{'name': 'DemocracyWorks', 'official': False}]",Perry County Government Building,3764 IL-13 #127,Pinckneyville,IL,62274,,Room 204,,
35,222@5pk-46v-j7q,,"Sun, Nov 1: 1 pm - 4 pm
Mon, Nov 2: 8 am - 4 pm",38.9601259,-89.0994437,9/24/2020,11/2/2020,"[{'name': 'DemocracyWorks', 'official': False}]",Fayette County Clerk's Office,221 S 7th Street,Vandalia,IL,62471,Room 106,,,
36,227@5pj-7zd-rzf,,"Mon, Nov 2: 8 am - 6 pm",37.732628,-88.9291887,9/24/2020,11/2/2020,"[{'name': 'DemocracyWorks', 'official': False}]",Williamson County Clerk's Office,407 N Monroe St,Marion,IL,62959,,STE 119,,
37,@5pj-dm7-2kz,Invalid address,"Mon, Nov 2: 8 am - 4 pm",37.7172881,-88.1865794,9/24/2020,11/2/2020,"[{'name': 'DemocracyWorks', 'official': False}]",Gallatin County Courthouse,484 N Lincoln Blvd W,Shawneetown,IL,62984,,,,
38,222-222@5pv-sw2-vmk,,"Mon, Nov 2: 8 am - 4 pm",39.2726014,-88.2438176,9/24/2020,11/2/2020,"[{'name': 'DemocracyWorks', 'official': False}]",Cumberland County Clerk's Office,140 Courthouse Sq,Toledo,IL,62468,Annex,,,
39,22g@5pj-9x2-fs5,,"Mon, Nov 2: 8 am - 4 pm",37.7639564,-89.3349613,9/24/2020,11/2/2020,"[{'name': 'DemocracyWorks', 'official': False}]",Jackson County Clerk's Office,1001 Walnut St,Murphysboro,IL,62966,,,,
40,223@5pj-9h3-gp9,,"Sun, Nov 1: 1 pm - 4 pm
Mon, Nov 2: 8 am - 4 pm",37.4525238,-89.2717017,9/24/2020,11/2/2020,"[{'name': 'DemocracyWorks', 'official': False}]",Union County Courthouse,309 W Market St,Jonesboro,IL,62952,,,,
41,227@5pj-8f2-9mk,,"Mon, Nov 2: 8 am - 12 pm, 1 pm - 4 pm",37.1520687,-88.7329725,9/24/2020,11/2/2020,"[{'name': 'DemocracyWorks', 'official': False}]",Massac County Clerk's Office,1 Superman Square,Metropolis,IL,62960,,Room 2A,,
42,@5pj-bnj-w6k,Invalid address,"Mon, Nov 2: 8 am - 12 pm, 1 pm - 6 pm",37.4148125,-88.8969339,9/24/2020,11/2/2020,"[{'name': 'DemocracyWorks', 'official': False}]",Johnson County Clerk's Office,17 N 5th St,Vienna,IL,62995,,,,
43,223@5pp-2w8-djv,,"Mon, Nov 2: 8 am - 12 pm, 1 pm - 4 pm",37.005438,-89.176217,9/24/2020,11/2/2020,"[{'name': 'DemocracyWorks', 'official': False}]",Alexander County Courthouse,2000 Washington Ave,Cairo,IL,62914,,,,
44,223@5pj-2gt-5xq,,"Mon, Nov 2: 8 am - 4 pm",37.9037322,-89.8283336,9/24/2020,11/2/2020,"[{'name': 'DemocracyWorks', 'official': False}]",Randolph County Courthouse,1 Taylor St,Chester,IL,62233,,Room 202,,
45,224@5pj-cfk-n5z,,"Mon, Nov 2: 8 am - 4 pm",37.7387191,-88.539802,9/24/2020,11/2/2020,"[{'name': 'DemocracyWorks', 'official': False}]",Saline County Clerk's Office,10 E Poplar St,Harrisburg,IL,62946,Basement,,,
46,233@5pj-dkg-fzz,,"Mon, Nov 2: 8 am - 4 pm",37.4472058,-88.3049783,9/24/2020,11/2/2020,"[{'name': 'DemocracyWorks', 'official': False}]",Hardin County Courthouse,102 E Market St,Elizabethtown,IL,62931,,,,
47,223@5pv-vk6-bzf,,"Mon, Nov 2: 8 am - 4 pm",39.3898896,-87.6961295,9/24/2020,11/2/2020,"[{'name': 'DemocracyWorks', 'official': False}]",Clark County Clerk's Office,501 Archer Ave,Marshall,IL,62441,,,,
48,224@5pp-2y4-kfz,,"Mon, Nov 2: 8 am - 12 pm, 1 pm - 4 pm",37.0896098,-89.1623772,9/24/2020,11/2/2020,"[{'name': 'DemocracyWorks', 'official': False}]",Pulaski County Clerk's Office,500 Illinois Ave # A,Mound City,IL,62963,,,,
49,@5pj-8qq-mff,Invalid address,"Mon, Nov 2: 8 am - 12 pm, 1 pm - 4 pm",37.3666347,-88.4847083,9/24/2020,11/2/2020,"[{'name': 'DemocracyWorks', 'official': False}]",Pope County Courthouse,310 E Main St,Golconda,IL,62938,,,,
50,222@5sb-df7-fcq,,"Sun, Nov 1: 9 am - 5 pm
Mon, Nov 2: 8:30 am - 7:00 pm",42.364474,-87.913392,10/19/2020,11/2/2020,"[{'name': 'DemocracyWorks', 'official': False}]",Gurnee Village Hall,325 N O'Plaine Rd,Gurnee,IL,60031,,,,
51,223@5sb-dgn-hyv,,"Sun, Nov 1: 9 am - 5 pm
Mon, Nov 2: 8:30 am - 7:00 pm",42.3872465,-87.8302462,10/19/2020,11/2/2020,"[{'name': 'DemocracyWorks', 'official': False}]",Jane Addams Center,95 Jack Benny Dr,Waukegan,IL,60087,,Bowen Park,,
52,22b@5sb-crw-2c5,,"Sun, Nov 1: 9 am - 5 pm
Mon, Nov 2: 8:30 am - 7:00 pm",42.3603845,-87.833091,9/24/2020,11/2/2020,"[{'name': 'DemocracyWorks', 'official': False}]",Lake County Main Courthouse Lobby,18 N County St,Waukegan,IL,60085,,,,
53,223-222@5sb-cq2-yn5,,"Sun, Nov 1: 9 am - 5 pm
Mon, Nov 2: 8:30 am - 7:00 pm",42.3256393,-87.8567019,10/19/2020,11/2/2020,"[{'name': 'DemocracyWorks', 'official': False}]",North Chicago City Hall,1850 Lewis Ave,North Chicago,IL,60064,,,,
54,zzw-222@5sb-d37-z9f,,"Sun, Nov 1: 9 am - 5 pm
Mon, Nov 2: 8:30 am - 7:00 pm",42.1329076,-87.9451988,10/19/2020,11/2/2020,"[{'name': 'DemocracyWorks', 'official': False}]",Wheeling Indian Trails Public Library,355 Schoenbeck Rd,Wheeling,IL,60090,,,,
55,223-222@5sb-8bq-tvz,,"Sun, Nov 1: 9 am - 5 pm
Mon, Nov 2: 8:30 am - 7:00 pm",42.0816358,-87.9798743,10/19/2020,11/2/2020,"[{'name': 'DemocracyWorks', 'official': False}]",Arlington Heights Village Hall,33 S Arlington Heights Rd,Arlington Heights,IL,60005,,,,
56,224@5sb-894-cwk,,"Sun, Nov 1: 9 am - 5 pm
Mon, Nov 2: 8:30 am - 7:00 pm",42.0873531,-88.0064945,10/7/2020,11/2/2020,"[{'name': 'DemocracyWorks', 'official': False}]",Rolling Meadows Courthouse,2121 Euclid Ave,Rolling Meadows,IL,60008,Room 238,,,
57,222@5sb-88j-6zf,,"Sun, Nov 1: 9 am - 5 pm
Mon, Nov 2: 8:30 am - 7:00 pm",42.1123588,-88.0482669,10/19/2020,11/2/2020,"[{'name': 'DemocracyWorks', 'official': False}]",Palatine Temporary Village Hall,150 W Wilson St,Palatine,IL,60067,,,,
58,225@5sb-8gf-gzf,,"Sun, Nov 1: 9 am - 5 pm
Mon, Nov 2: 8:30 am - 7:00 pm",42.0650961,-87.9360845,10/19/2020,11/2/2020,"[{'name': 'DemocracyWorks', 'official': False}]",Mount Prospect Village Hall,50 S Emerson St,Mount Prospect,IL,60056,,,,
