election_date,state,county_name,jurisdiction,jurisdiction_type,precinct_id,precinct_name,polling_place_id,location_type,name,address,notes,source,source_date,source_notes,Google_geog,HERE_geog,MapQuest_geog,AzureMaps_geog,geog
2020-11-03,AL,AUTAUGA,AUTAUGA,county,,AUTAUGAVILLE VOL FIRE DEPT,,election_day,AUTAUGAVILLE VOL FIRE DEPT,"2610 HIGHWAY 14 W, AUTAUGAVILLE, AL 36003",,ORR,2020-10-21,,POINT (-86.6559293 32.4321674),POINT (-86.65591999999999 32.43193),POINT (-86.656828 32.431539),POINT (-86.50964 32.42885),POINT (-86.6559293 32.4321674)
2020-11-03,AL,AUTAUGA,AUTAUGA,county,,BILLINGSLEY COMMUNITY CENTER,,election_day,BILLINGSLEY COMMUNITY CENTER,"2159 COUNTY RD 37, BILLINGSLEY, AL 36006",,ORR,2020-10-21,,POINT (-86.707616 32.8855561),POINT (-86.70338 32.66439),POINT (-86.70351700000001 32.657769),POINT (121.72009 24.74951),POINT (-86.707616 32.8855561)
2020-11-03,AL,AUTAUGA,AUTAUGA,county,,BOONE'S CHAPEL,,election_day,BOONE'S CHAPEL,"2301 COUNTY RD 66, PRATTVILLE, AL 36067",,ORR,2020-10-21,,POINT (-86.4965289 32.597444),POINT (-86.49659 32.59754),POINT (-86.497675 32.598098),POINT (-86.40218 32.4608),POINT (-86.4965289 32.597444)
2020-11-03,AL,AUTAUGA,AUTAUGA,county,,BOOTH VOL FIRE DEPT,,election_day,BOOTH VOL FIRE DEPT,"1701 COUNTY ROAD 10, BOOTH, AL 36008",,ORR,2020-10-21,,POINT (-86.57110449999999 32.5033265),POINT (-86.57109 32.50282),POINT (-86.571264 32.503003),POINT (-86.57120999999999 32.50335),POINT (-86.57110449999999 32.5033265)
2020-11-03,AL,AUTAUGA,AUTAUGA,county,,CAMELLIA BAPTIST CH,,election_day,CAMELLIA BAPTIST CH,"201 WOODVALE ROAD, PRATTVILLE, AL 36067",,ORR,2020-10-21,,POINT (-86.4579823 32.4690359),POINT (-86.45819 32.46922),POINT (-86.457409 32.468491),POINT (-86.51981000000001 32.4744),POINT (-86.4579823 32.4690359)
2020-11-03,AL,AUTAUGA,AUTAUGA,county,,CENTRAL AL ELECTRIC COOP BLDG,,election_day,CENTRAL AL ELECTRIC COOP BLDG,"3613 HWY 14 W, AUTAUGAVILLE, AL 36003",,ORR,2020-10-21,,POINT (-86.7957356 32.4605818),POINT (-86.79564000000001 32.46073),POINT (-86.79760400000001 32.461622),POINT (-86.50964 32.42885),POINT (-86.7957356 32.4605818)
2020-11-03,AL,AUTAUGA,AUTAUGA,county,,CHAMBER OF COMMERCE,,election_day,CHAMBER OF COMMERCE,"131 NORTH COURT ST, PRATTVILLE, AL 36067",,ORR,2020-10-21,,POINT (-86.4758415 32.4633427),POINT (-86.4756 32.46353),POINT (-86.47534 32.463454),POINT (-86.47271000000001 32.46381),POINT (-86.4758415 32.4633427)
2020-11-03,AL,AUTAUGA,AUTAUGA,county,,COUNTY LINE BAPTIST CH,,election_day,COUNTY LINE BAPTIST CH,"1524 COUNTY RD 39, DEATSVILLE, AL 36022",,ORR,2020-10-21,,POINT (-86.42175589999999 32.5333296),POINT (-86.42215 32.53313),,POINT (-86.59693 32.60732),POINT (-86.42175589999999 32.5333296)
2020-11-03,AL,AUTAUGA,AUTAUGA,county,,DOSTER COMMUNITY CENTER,,election_day,DOSTER COMMUNITY CENTER,"424 S. NORTHINGTON ST., PRATTVILLE, AL 36067",,ORR,2020-10-21,,POINT (-86.46813830000001 32.4570762),POINT (-86.46793 32.45687),POINT (-86.467521 32.457547),POINT (-86.40371 32.46359),POINT (-86.46813830000001 32.4570762)
2020-11-03,AL,AUTAUGA,AUTAUGA,county,,EAST MEMORIAL CHRISTIAN ACADEMY,,election_day,EAST MEMORIAL CHRISTIAN ACADEMY,"1320 OLD RIDGE ROAD E, PRATTVILLE, AL 36066",,ORR,2020-10-21,,POINT (-86.4246622 32.4996625),POINT (-86.42582 32.502),POINT (-86.420383 32.503559),POINT (-86.42059 32.49988),POINT (-86.42582 32.502)
2020-11-03,AL,AUTAUGA,AUTAUGA,county,,HERITAGE BAPTIST CHURCH,,election_day,HERITAGE BAPTIST CHURCH,"1357 SOUTH MEMORIAL DRIVE, PRATTVILLE, AL 36067",,ORR,2020-10-21,,POINT (-86.42855960000001 32.4413686),,POINT (-86.428715 32.440576),POINT (-88.27378 36.28756),POINT (-86.42855960000001 32.4413686)
2020-11-03,AL,AUTAUGA,AUTAUGA,county,,INDEPENDENCE VOL FIRE DEPT,,election_day,INDEPENDENCE VOL FIRE DEPT,"1702 COUNTY ROAD 40 W, PRATTVILLE, AL 36067",,ORR,2020-10-21,,POINT (-86.67023349999999 32.524188),POINT (-86.66584 32.52438),POINT (-86.64020499999999 32.544832),POINT (-86.42534999999999 32.45908),POINT (-86.67023349999999 32.524188)
2020-11-03,AL,AUTAUGA,AUTAUGA,county,,JONES COMM CENTER,,election_day,JONES COMM CENTER,"848 CO RD 83, JONES, AL 36749",,ORR,2020-10-21,,,POINT (-86.89342000000001 32.58292),POINT (-86.892529 32.582223),POINT (-86.25 32.65533),POINT (-86.89342000000001 32.58292)
2020-11-03,AL,AUTAUGA,AUTAUGA,county,,MARBURY MIDDLE SCHOOL BAND ROOM,,election_day,MARBURY MIDDLE SCHOOL BAND ROOM,"210 CO RD 20 E, MARBURY, AL 36051",,ORR,2020-10-21,,POINT (-86.46335879999999 32.6995988),POINT (-86.47291 32.70065),POINT (-86.47541 32.700979),POINT (-86.47561 32.70055),POINT (-86.47291 32.70065)
2020-11-03,AL,AUTAUGA,AUTAUGA,county,,OLD KINGSTON VOL FIRE DEPT,,election_day,OLD KINGSTON VOL FIRE DEPT,"1047 COUNTY ROAD 40 W, PRATTVILLE, AL 36067",,ORR,2020-10-21,,POINT (-86.60961380000001 32.5741584),POINT (-86.61065000000001 32.57343),POINT (-86.578277 32.575613),POINT (120.47232 23.67024),POINT (-86.60961380000001 32.5741584)
2020-11-03,AL,AUTAUGA,AUTAUGA,county,,PRATTMONT BAPTIST CH,,election_day,PRATTMONT BAPTIST CH,"814 SMITH AVE, PRATTVILLE, AL 36067",,ORR,2020-10-21,,POINT (-86.44794639999999 32.4544341),POINT (-86.44726 32.45483),POINT (-86.44755499999999 32.454937),POINT (-86.44917 32.45664),POINT (-86.44794639999999 32.4544341)
2020-11-03,AL,AUTAUGA,AUTAUGA,county,,TRINITY METHODIST CH,,election_day,TRINITY METHODIST CH,"610 FAIRVIEW AVE, PRATTVILLE, AL 36066",,ORR,2020-10-21,,POINT (-86.44616789999999 32.4709476),POINT (-86.44632 32.47093),POINT (-86.447739 32.471301),POINT (-86.44622 32.47084),POINT (-86.44616789999999 32.4709476)
2020-11-03,AL,AUTAUGA,AUTAUGA,county,,UPPER KINGSTON C C,,election_day,UPPER KINGSTON C C,"1309 UPPER KINGSTON RD, PRATTVILLE, AL 36067",,ORR,2020-10-21,,POINT (-86.47501199999999 32.4986937),POINT (-86.47351999999999 32.49687),POINT (-86.471583 32.498253),POINT (-86.46996 32.49789),POINT (-86.47501199999999 32.4986937)
2020-11-03,AL,AUTAUGA,AUTAUGA,county,,WHITE CITY FIRE STA,,election_day,WHITE CITY FIRE STA,"1151 CO RD 49, MARBURY, AL 36051",,ORR,2020-10-21,,POINT (-86.5994625 32.647437),POINT (-86.59752 32.64806),POINT (-86.597364 32.648254),POINT (-86.62006 32.71859),POINT (-86.5994625 32.647437)
2020-11-03,AL,BALDWIN,BALDWIN,county,,PREC   1 -  LITTLE RIVER VFD,,election_day,PREC   1 -  LITTLE RIVER VFD,"71250 STATE HIGHWAY 59, LITTLE RIVER, AL 36550",,ORR,2020-10-21,,POINT (-87.70532179999999 31.2640149),POINT (-87.70632999999999 31.26392),POINT (-87.70648300000001 31.264057),POINT (-87.70532 31.26401),POINT (-87.70532179999999 31.2640149)
2020-11-03,AL,BALDWIN,BALDWIN,county,,PREC   2 - TENSAW NEW VFD,,election_day,PREC   2 - TENSAW NEW VFD,"65123 STATE HWY 59, STOCKTON, AL 36579",,ORR,2020-10-21,,POINT (-87.78107179999999 31.17014679999999),,POINT (-87.770348 31.173735),POINT (-87.77124999999999 31.17465),POINT (-87.770348 31.173735)
2020-11-03,AL,BALDWIN,BALDWIN,county,,PREC   3 - OLD VAUGHN SCHOOL,,election_day,PREC   3 - OLD VAUGHN SCHOOL,"55260 COUNTY RD 21, STOCKTON, AL 36579",,ORR,2020-10-21,,POINT (-87.86021699999999 31.032297),POINT (-87.86011000000001 31.03139),POINT (-87.86020000000001 31.031575),POINT (-87.85963 31.03129),POINT (-87.86021699999999 31.032297)
2020-11-03,AL,BALDWIN,BALDWIN,county,,PREC   4 - CROSSROADS DURANT CHURCH,,election_day,PREC   4 - CROSSROADS DURANT CHURCH,"9551 STATE HIGHWAY 138, BAY MINETTE, AL 36507",,ORR,2020-10-21,,POINT (-87.86099300000001 30.8354086),,,POINT (-87.86024 30.83402),POINT (-87.86099300000001 30.8354086)
2020-11-03,AL,BALDWIN,BALDWIN,county,,PREC   5 - DOUGLASVILLE BOYKIN CTR,,election_day,PREC   5 - DOUGLASVILLE BOYKIN CTR,"900 B STILL BLVD, BAY MINETTE, AL 36507",,ORR,2020-10-21,,POINT (-87.7799843 30.8670544),POINT (-87.77992 30.86718),POINT (-87.77976200000001 30.867311),,POINT (-87.7799843 30.8670544)
2020-11-03,AL,BALDWIN,BALDWIN,county,,PREC   6 - BROMLEY VFD SUBST,,election_day,PREC   6 - BROMLEY VFD SUBST,"36625 STATE HIGHWAY 225, BAY MINETTE, AL 36507",,ORR,2020-10-21,,POINT (-87.89172529999999 30.7585261),POINT (-87.89116 30.75875),POINT (-87.89103299999999 30.75867),POINT (-87.89116 30.75875),POINT (-87.89172529999999 30.7585261)
2020-11-03,AL,BALDWIN,BALDWIN,county,,PREC   7 - SPANISH FT NEW LIFE CHURCH,,election_day,PREC   7 - SPANISH FT NEW LIFE CHURCH,"10424 US HIGHWAY 31, SPANISH FORT, AL 36527",,ORR,2020-10-21,,POINT (-87.84407250000001 30.6761027),,POINT (-87.844893 30.676754),POINT (-87.84426000000001 30.67587),POINT (-87.84407250000001 30.6761027)
