election_date,state,county_name,jurisdiction,jurisdiction_type,precinct_id,precinct_name,polling_place_id,location_type,name,address,notes,source,source_date,source_notes,Google_geog,HERE_geog,MapQuest_geog,AzureMaps_geog,geog
2020-11-03,AK,,,borough,01-446,AURORA,,election_day,AGRICULTURAL MUSEUM FAIRGROUNDS ,"1800 COLLEGE RD, FAIRBANKS, AK",,scraper,2020-10-26,,POINT (-147.757855 64.8653846),POINT (-147.75862 64.86360999999999),,POINT (-147.75885 64.86385),POINT (-147.757855 64.8653846)
2020-11-03,AK,,,borough,01-455,FAIRBANKS NO. 1,,election_day,FAIRBANKS NORTH STAR BOROUGH BLD ,"907 TERMINAL ST, FAIRBANKS, AK",,scraper,2020-10-26,,POINT (-147.7259705 64.8451307),POINT (-147.72356 64.84542999999999),,POINT (-147.72549 64.84531),POINT (-147.7259705 64.8451307)
2020-11-03,AK,,,borough,01-465,FAIRBANKS NO. 2,,election_day,MORRIS THOMPSON CULTURAL AND VISITORS CENTER ,"101 DUNKEL ST, FAIRBANKS, AK",,scraper,2020-10-26,,POINT (-147.7117137 64.84589819999999),POINT (-147.71327 64.84594),,POINT (-147.68072 64.84287999999999),POINT (-147.7117137 64.84589819999999)
2020-11-03,AK,,,borough,01-470,FAIRBANKS NO. 3,,election_day,NOEL WIEN LIBRARY ,"1215 COWLES STREET, FAIRBANKS, AK",,scraper,2020-10-26,,POINT (-147.737155 64.838037),POINT (-147.73842 64.83839),POINT (-147.73753 64.83819),POINT (-147.73753 64.83819),POINT (-147.737155 64.838037)
2020-11-03,AK,,,borough,01-475,FAIRBANKS NO. 4,,election_day,RUTH BURNETT SPORT FISH HATCHERY ,"1150 WILBUR ST, FAIRBANKS, AK",,scraper,2020-10-26,,POINT (-147.7638971 64.8388707),POINT (-147.7639 64.83887),,POINT (-147.76387 64.83887),POINT (-147.7638971 64.8388707)
2020-11-03,AK,,,borough,01-480,FAIRBANKS NO. 5,,election_day,PIONEER PARK CENTENNIAL CENTER ,"2300 AIRPORT WAY, FAIRBANKS, AK",,scraper,2020-10-26,,POINT (-147.7715447 64.837791),POINT (-147.77457 64.83893),POINT (-147.77262 64.8378),POINT (-147.77262 64.8378),POINT (-147.7715447 64.837791)
2020-11-03,AK,,,borough,01-485,FAIRBANKS NO. 6,,election_day,SHOPPERS FORUM ,"1255 AIRPORT WAY, FAIRBANKS, AK",,scraper,2020-10-26,,POINT (-147.7426363 64.8363787),POINT (-147.74145 64.83609),POINT (-147.74233 64.83641),POINT (-147.74233 64.83641),POINT (-147.7426363 64.8363787)
2020-11-03,AK,,,borough,01-490,FAIRBANKS NO. 7,,election_day,JP JONES CENTER ,"2400 RICKERT STREET, FAIRBANKS, AK",,scraper,2020-10-26,,POINT (-147.7192756 64.82479719999999),POINT (-147.71947 64.82481),POINT (-147.71947 64.82481),POINT (-147.71947 64.82481),POINT (-147.7192756 64.82479719999999)
2020-11-03,AK,,,borough,01-495,FAIRBANKS NO. 10,,election_day,PIONEER PARK CENTENNIAL CENTER ,"2300 AIRPORT WAY, FAIRBANKS, AK",,scraper,2020-10-26,,POINT (-147.7715447 64.837791),POINT (-147.77457 64.83893),POINT (-147.77262 64.8378),POINT (-147.77262 64.8378),POINT (-147.7715447 64.837791)
2020-11-03,AK,,,borough,02-345,BADGER NO. 2,,election_day,BADGER PLAZA ,"771 BADGER ROAD, NORTH POLE, AK",,scraper,2020-10-26,,POINT (-147.5667602 64.81786459999999),POINT (-147.56858 64.81787),POINT (-147.5675 64.81762000000001),POINT (-147.5675 64.81762000000001),POINT (-147.5667602 64.81786459999999)
