election_date,state,county_name,jurisdiction,jurisdiction_type,precinct_id,precinct_name,polling_place_id,location_type,name,address,notes,source,source_date,source_notes,Google_geog,HERE_geog,MapQuest_geog,AzureMaps_geog,geog
2020-11-03,AR,Arkansas,Arkansas,county,,Courthouse Annex-Stuttgart,,election_day,Courthouse Annex-Stuttgart,"312 S. College, Stuttgart, AR 72160",,ORR,2020-10-08,,POINT (-91.55171899999999 34.4994271),POINT (-91.55165 34.49952),POINT (-91.55132399999999 34.499519),POINT (-91.55166 34.49952),POINT (-91.55171899999999 34.4994271)
2020-11-03,AR,Arkansas,Arkansas,county,,Courthouse-Dewitt,,election_day,Courthouse-Dewitt,"101 Court Square, Dewitt, AR 72042",,ORR,2020-10-08,,POINT (-91.33504970000001 34.2956431),POINT (-91.33474 34.29501),POINT (-91.33506199999999 34.295741),POINT (-91.33503 34.29532),POINT (-91.33504970000001 34.2956431)
2020-11-03,AR,Arkansas,Arkansas,county,,Dewitt Community Center,,election_day,Dewitt Community Center,"# 1 Ron Fowler Rd, Dewitt, AR 72042",,ORR,2020-10-08,,,POINT (-91.34175 34.26725),,POINT (-91.34175999999999 34.26734),POINT (-91.34175 34.26725)
2020-11-03,AR,Arkansas,Arkansas,county,,Grand Prairie Center,,election_day,Grand Prairie Center,"2709 Hwy 165 South, Stuttgart, AR 72160",,ORR,2020-10-08,,POINT (-91.5395128 34.4745393),POINT (-91.54164 34.45995),POINT (-91.54154699999999 34.454906),POINT (-91.53957 34.47456),POINT (-91.5395128 34.4745393)
2020-11-03,AR,Ashley,Ashley,county,,First Baptist MMC Building,,election_day,First Baptist MMC Building,"FBC MMC Bldg, 703 Pine Street, Crossett, AR 71635",,ORR,2020-10-08,,POINT (-91.9589917 33.1263667),POINT (-91.9597 33.12612),,POINT (-91.95896999999999 33.12629),POINT (-91.9589917 33.1263667)
2020-11-03,AR,Ashley,Ashley,county,,First United Methodist Church (HW321),,election_day,First United Methodist Church (HW321),"202 South Main Street, Hamburg, AR 71646",,ORR,2020-10-08,,POINT (-91.7982073 33.2248356),POINT (-91.7979 33.22489),POINT (-91.79760899999999 33.224786),POINT (-91.79826 33.22481),POINT (-91.7982073 33.2248356)
2020-11-03,AR,Ashley,Ashley,county,,Ftn Hill Methodist Church,,election_day,Ftn Hill Methodist Church,"100 Mulberry, Fountain Hill, AR 71642",,ORR,2020-10-08,,POINT (-91.84910920000002 33.3557774),POINT (-91.84925 33.35574),,POINT (-92.23681999999999 34.75906),POINT (-91.84910920000002 33.3557774)
2020-11-03,AR,Ashley,Ashley,county,,Jarvis Chapel Baptist Church,,election_day,Jarvis Chapel Baptist Church,"1018 Ashley Road 14 N, Crossett, AR 71635",,ORR,2020-10-08,,POINT (-91.9995108 33.1933405),POINT (-91.9983 33.19519),POINT (-91.99461100000001 33.206578),POINT (-92.00702 33.1589),POINT (-91.9995108 33.1933405)
2020-11-03,AR,Ashley,Ashley,county,,Montrose Senior Center,,election_day,Montrose Senior Center,"1380 Hwy 165 N, Montrose, AR 71658",,ORR,2020-10-08,,POINT (-91.4932314 33.2969512),POINT (-91.4932 33.29556),POINT (-91.493561 33.29556),POINT (-91.4932 33.29556),POINT (-91.4932314 33.2969512)
2020-11-03,AR,Ashley,Ashley,county,,Mt Olive Baptist Church,,election_day,Mt Olive Baptist Church,"1533 Hwy 52 West, Crossett, AR 71635",,ORR,2020-10-08,,POINT (-91.93263899999999 33.168905),POINT (-91.93264000000001 33.1689),POINT (-91.932543 33.169295),POINT (-91.93264000000001 33.16842),POINT (-91.93263899999999 33.168905)
2020-11-03,AR,Ashley,Ashley,county,,Parkdale City Hall,,election_day,Parkdale City Hall,"PO Box 145, 106 South Main, Parkdale, AR 71661",,ORR,2020-10-08,,POINT (-91.54735819999999 33.1193644),POINT (-91.54673 33.1211),,POINT (-91.79781 33.22535),POINT (-91.54735819999999 33.1193644)
2020-11-03,AR,Ashley,Ashley,county,,Portland Community Center,,election_day,Portland Community Center,"102 Ash, Portland, AR 71663",,ORR,2020-10-08,,POINT (-91.51017849999999 33.2366565),POINT (-91.5102 33.23663),POINT (-91.510396 33.236719),POINT (-91.51011 33.23666),POINT (-91.51017849999999 33.2366565)
2020-11-03,AR,Ashley,Ashley,county,,South Main Baptist Church (Hickory Grove),,election_day,South Main Baptist Church (Hickory Grove),"2801 S Main, PO Box 430, Crossett, AR 71635",,ORR,2020-10-08,,POINT (-91.9511849 33.1019131),POINT (-91.96705 33.13001),,POINT (-91.9512 33.10196),POINT (-91.9511849 33.1019131)
2020-11-03,AR,Ashley,Ashley,county,,Trinity Freewill Baptist,,election_day,Trinity Freewill Baptist,"803 Ashley 95, Hamburg, AR 71646",,ORR,2020-10-08,,POINT (-91.92799629999999 33.264104),POINT (-91.92294 33.26559),,POINT (-91.92298 33.2656),POINT (-91.92799629999999 33.264104)
