election_date,state,county_name,jurisdiction,jurisdiction_type,precinct_id,precinct_name,polling_place_id,location_type,name,address,notes,source,source_date,source_notes,Google_geog,HERE_geog,MapQuest_geog,AzureMaps_geog,geog
2020-11-03,CA,Alameda,Alameda,county,,,,unknown,21ST AMENDMENT BREWERY,"2010 WILLIAMS ST, SAN LEANDRO, CA 94577",,ORR,2020-10-15,,POINT (-122.1778472 37.7116329),POINT (-122.17764 37.71204),POINT (-122.176686 37.710592),POINT (-122.17768 37.7121),POINT (-122.1778472 37.7116329)
2020-11-03,CA,Alameda,Alameda,county,,,,unknown,Alameda County Registrar of Voters Office,"1225 Fallon St, Room G-1, Oakland, CA 94612",,ORR,2020-10-15,,POINT (-122.2630403 37.79990129999999),POINT (-122.26264 37.79948),POINT (-122.262366 37.799647),POINT (-122.26293 37.79987),POINT (-122.2630403 37.79990129999999)
2020-11-03,CA,Alameda,Alameda,county,,,,unknown,ALAMEDA HIGH SCHOOL,"2201 ENCINAL AVE, ALAMEDA, CA 94501",,ORR,2020-10-15,,POINT (-122.2470432 37.76420969999999),POINT (-122.24762 37.76445),POINT (-122.248176 37.764271),POINT (-122.28816 37.78126),POINT (-122.2470432 37.76420969999999)
2020-11-03,CA,Alameda,Alameda,county,,,,unknown,ALBANY VETERANS MEMORIAL BUILDING,"1325 PORTLAND AVE, ALBANY, CA 94706",,ORR,2020-10-15,,POINT (-122.2909629 37.8951053),POINT (-122.29068 37.89498),POINT (-122.290833 37.894844),POINT (-122.2908 37.89578),POINT (-122.2909629 37.8951053)
2020-11-03,CA,Alameda,Alameda,county,,,,unknown,ALLEN TEMPLE,"8501 INTERNATIONAL BLVD, OAKLAND, CA 94621",,ORR,2020-10-15,,POINT (-122.1774126 37.7524693),,POINT (-122.177032 37.753081),POINT (-122.1773 37.75296),POINT (-122.1774126 37.7524693)
2020-11-03,CA,Alameda,Alameda,county,,,,unknown,ALMANAC BEER COMPANY,"651 W TOWER AVE, ALAMEDA, CA 94501",,ORR,2020-10-15,,POINT (-122.2988369 37.78319980000001),POINT (-122.29891 37.78321),POINT (-122.29908 37.782967),POINT (-122.29905 37.78336),POINT (-122.2988369 37.78319980000001)
2020-11-03,CA,Alameda,Alameda,county,,,,unknown,ALOFT SILICON VALLEY HOTEL,"8200 GATEWAY BLVD, NEWARK, CA 94560",,ORR,2020-10-15,,POINT (-122.0629263 37.5363105),POINT (-122.06285 37.53635),POINT (-122.063306 37.5366),POINT (-122.06279 37.53623),POINT (-122.0629263 37.5363105)
2020-11-03,CA,Alameda,Alameda,county,,,,unknown,ALTAMONT CREEK ELEMENTARY SCHOOL,"6500 GARAVENTA RANCH RD, LIVERMORE, CA 94551",,ORR,2020-10-15,,POINT (-121.7170521 37.7220196),POINT (-121.71779 37.72261),POINT (-121.718407 37.722258),POINT (-121.71771 37.72272),POINT (-121.7170521 37.7220196)
2020-11-03,CA,Alameda,Alameda,county,,,,unknown,AMERICAN HIGH SCHOOL,"36300 FREMONT BLVD, FREMONT, CA 94536",,ORR,2020-10-15,,POINT (-122.0164491 37.5653614),POINT (-122.01801 37.564),POINT (-122.017549 37.563614),,POINT (-122.0164491 37.5653614)
2020-11-03,CA,Alameda,Alameda,county,,,,unknown,ARDENWOOD ELEMENTARY SCHOOL,"33955 EMILIA LN, FREMONT, CA 94555",,ORR,2020-10-15,,POINT (-122.0528931 37.5725858),POINT (-122.05232 37.57233),POINT (-122.05209 37.572909),POINT (-122.05303 37.57259),POINT (-122.0528931 37.5725858)
2020-11-03,CA,Alameda,Alameda,county,,,,unknown,ARROYO HIGH SCHOOL,"15701 LORENZO AVE, SAN LORENZO, CA 94580",,ORR,2020-10-15,,POINT (-122.1394766 37.680202),POINT (-122.1385 37.68063),POINT (-122.138225 37.680713),POINT (-122.13953 37.68019),POINT (-122.1394766 37.680202)
2020-11-03,CA,Alameda,Alameda,county,,,,unknown,ARROYO SECO SCHOOL MULTI-PURPOSE ROOM,"5280 IRENE WAY, LIVERMORE, CA 94550",,ORR,2020-10-15,,POINT (-121.7284517 37.6844632),POINT (-121.72816 37.68458),POINT (-121.72888 37.683846),POINT (-121.72816 37.68458),POINT (-121.7284517 37.6844632)
2020-11-03,CA,Alameda,Alameda,county,,,,unknown,ASCEND SCHOOL,"3709 E 12TH ST, OAKLAND, CA 94601",,ORR,2020-10-15,,POINT (-122.2209817 37.773508),POINT (-122.22146 37.77372),POINT (-122.221627 37.774076),POINT (-113.61295 53.66239),POINT (-122.2209817 37.773508)
2020-11-03,CA,Alameda,Alameda,county,,,,unknown,BARBARA LEE CENTER,"2251 BANCROFT AVE, SAN LEANDRO, CA 94577",,ORR,2020-10-15,,POINT (-122.1430719 37.7173819),POINT (-122.14357 37.71747),POINT (-122.142115 37.716799),POINT (-122.15099 37.71615),POINT (-122.1430719 37.7173819)
2020-11-03,CA,Alameda,Alameda,county,,,,unknown,"BERKELEY HIGH SCHOOL, GYM","1980 ALLSTON WAY, BERKELEY, CA 94704",,ORR,2020-10-15,,POINT (-122.2706171 37.8679926),POINT (-122.27088 37.8688),POINT (-122.270835 37.869011),POINT (-122.27077 37.86875),POINT (-122.2706171 37.8679926)
