election_date,state,county_name,jurisdiction,jurisdiction_type,precinct_id,precinct_name,polling_place_id,location_type,name,address,notes,source,source_date,source_notes,Google_geog,HERE_geog,MapQuest_geog,AzureMaps_geog,geog
2020-11-03,CT,,Andover,municipality,001-00,,,election_day,Andover Town Hall,"17 School Road, Andover, CT 06232",,ORR,2020-10-13,,POINT (-72.36824849999999 41.7283782),POINT (-72.36803999999999 41.72843),,POINT (-72.36827 41.72842),POINT (-72.36824849999999 41.7283782)
2020-11-03,CT,,Ansonia,municipality,001-00,,,election_day,Ward 1 Ansonia Armory,"5 State Street, Ansonia, CT 06401",,ORR,2020-10-13,,POINT (-73.0774395 41.3464259),POINT (-73.07929 41.34779),,POINT (-73.07931000000001 41.34783),POINT (-73.0774395 41.3464259)
2020-11-03,CT,,Ansonia,municipality,002-01,,,election_day,Ward 2 Ansonia Armory,"5 State Street, Ansonia, CT 06401",,ORR,2020-10-13,,POINT (-73.0774395 41.3464259),POINT (-73.07929 41.34779),,POINT (-73.07931000000001 41.34783),POINT (-73.0774395 41.3464259)
2020-11-03,CT,,Ansonia,municipality,003-01,,,election_day,Ward 3 Holy Rosary Church Hall 01,"10 Father Salemi Drive, Ansonia, CT 06401",,ORR,2020-10-13,,POINT (-73.0735928 41.3389326),POINT (-73.07398999999999 41.33875),,POINT (-73.07398000000001 41.33871),POINT (-73.0735928 41.3389326)
2020-11-03,CT,,Ansonia,municipality,004-00,,,election_day,Ward 4 Ansonia Middle School Gym,"115 Howard Avenue, Ansonia, CT 06401",,ORR,2020-10-13,,POINT (-73.08465959999999 41.3412878),POINT (-73.08489 41.34119),,POINT (-73.08489 41.34119),POINT (-73.08465959999999 41.3412878)
2020-11-03,CT,,Ansonia,municipality,005-00,,,election_day,Ward 5 Ansonia Middle School Gym,"115 Howard Avenue, Ansonia, CT 06401",,ORR,2020-10-13,,POINT (-73.08465959999999 41.3412878),POINT (-73.08489 41.34119),,POINT (-73.08489 41.34119),POINT (-73.08465959999999 41.3412878)
2020-11-03,CT,,Ansonia,municipality,006-00,,,election_day,Ward 6 Prendergast School Gym,"59 Finney Street, Ansonia, CT 06401",,ORR,2020-10-13,,POINT (-73.0595086 41.332631),POINT (-73.05914 41.333),,POINT (-73.07568999999999 41.33048),POINT (-73.0595086 41.332631)
2020-11-03,CT,,Ansonia,municipality,007-00,,,election_day,Ward 7 Mead School Cafe,"75 Ford Street, Ansonia, CT 06401",,ORR,2020-10-13,,POINT (-73.05079169999999 41.3376008),POINT (-73.05112 41.33789),,POINT (-73.05174 41.33857),POINT (-73.05079169999999 41.3376008)
2020-11-03,CT,,Ashford,municipality,001-00,,,election_day,Knowlton Memorial Hall,"25 Pompey Hollow Road, Ashford, CT 06278",,ORR,2020-10-13,,POINT (-72.1622996 41.862908),POINT (-72.16186 41.86352),,POINT (-72.16248 41.86307),POINT (-72.1622996 41.862908)
2020-11-03,CT,,Avon,municipality,001-00,,,election_day,Avon High School - Gymnasium,"510 West Avon Road, Avon, CT 06001",,ORR,2020-10-13,,POINT (-72.8617943 41.7827647),POINT (-72.86104 41.78233),,POINT (-72.86081 41.78216),POINT (-72.8617943 41.7827647)
