election_date,state,county_name,jurisdiction,jurisdiction_type,precinct_id,precinct_name,polling_place_id,location_type,name,address,notes,source,source_date,source_notes,Google_geog,HERE_geog,MapQuest_geog,AzureMaps_geog,geog
2020-11-03,FL,Washington,Washington,county,,,,early_vote,Supervisor of Elections Office,"1331 South BLVD, Suite 900 - Chipley 32428",,website,2020-11-03,,POINT (-85.51459059999999 30.7697025),POINT (-85.54313999999999 30.77107),POINT (-85.543097 30.771873),POINT (-85.54322000000001 30.77136),POINT (-85.54313999999999 30.77107)
2020-11-03,FL,Washington,Washington,county,,,,early_vote,City Hall,"2808 Yellow Jacket DR, Vernon 32462",,website,2020-11-03,,POINT (-85.7142997 30.6250468),POINT (-85.71451999999999 30.62519),POINT (-85.71429999999999 30.62567),POINT (-82.06162 33.4304),POINT (-85.7142997 30.6250468)
2020-11-03,FL,Santa Rosa,Santa Rosa,county,,,,early_vote,Supervisor of Elections Office,"6495 Caroline St, Ste F, Milton FL ",,website,2020-11-03,,POINT (-87.05009149999999 30.6156223),POINT (-87.05074 30.61548),POINT (-87.051883 30.616584),POINT (-87.05202 30.61544),POINT (-87.05009149999999 30.6156223)
2020-11-03,FL,Santa Rosa,Santa Rosa,county,,,,early_vote,Supervisor of Elections Office,"5841 Gulf Breeze Pkwy, Gulf Breeze, FL ",,website,2020-11-03,,POINT (-86.97941849999999 30.40165769999999),POINT (-86.97905 30.40148),POINT (-86.979596 30.402683),POINT (-86.97939 30.40166),POINT (-86.97941849999999 30.40165769999999)
2020-11-03,FL,Santa Rosa,Santa Rosa,county,,,,early_vote,Community Center,"5976 Chumuckla Hwy, Pace FL ",,website,2020-11-03,,POINT (-87.1806931 30.6546017),POINT (-87.17632 30.65415),POINT (-87.181084 30.653195),POINT (-87.18043 30.653),POINT (-87.1806931 30.6546017)
2020-11-03,FL,Santa Rosa,Santa Rosa,county,,,,early_vote,Community Center,"1370 Tiger Park Lane, Gulf Breeze, FL ",,website,2020-11-03,,POINT (-87.05975309999999 30.3870416),POINT (-87.05936 30.38683),POINT (-87.060086 30.387325),POINT (-87.05897 30.38556),POINT (-87.05975309999999 30.3870416)
2020-11-03,FL,Santa Rosa,Santa Rosa,county,,,,early_vote,Community Center,"8840 High School Blvd, Navarre, FL",,website,2020-11-03,,POINT (-86.8527366 30.4217944),POINT (-86.85271 30.42176),POINT (-86.852912 30.421216),POINT (-86.85292 30.42321),POINT (-86.8527366 30.4217944)
2020-11-03,FL,Santa Rosa,Santa Rosa,county,,,,early_vote,County Commission Building,"4530 Spike Way, Milton, FL",,website,2020-11-03,,POINT (-87.0715579 30.6002076),,,POINT (-87.07152000000001 30.60005),POINT (-87.0715579 30.6002076)
2020-11-03,FL,Okaloosa,Okaloosa,county,,,,early_vote,County Commission Building,"1250 Eglin Parkway, Shalimar",,website,2020-11-03,,POINT (-86.58031849999999 30.4459456),POINT (-86.58009 30.44546),POINT (-86.57946699999999 30.445695),POINT (-86.58043000000001 30.446),POINT (-86.58031849999999 30.4459456)
2020-11-03,FL,Okaloosa,Okaloosa,county,,,,early_vote,Public Library,"1446 Commerce Dr, Crestview",,website,2020-11-03,,POINT (-86.5537149 30.7907897),POINT (-86.55338 30.79078),POINT (-86.553365 30.791104),POINT (-86.55338 30.79078),POINT (-86.5537149 30.7907897)
2020-11-03,FL,Okaloosa,Okaloosa,county,,,,early_vote,Supervisor of Elections Office,"302 Wilson Street N, Crestview",,website,2020-11-03,,POINT (-86.5721295 30.7588813),POINT (-86.56862 30.75518),POINT (-86.571792 30.758944),POINT (-86.57207 30.75875),POINT (-86.5721295 30.7588813)
2020-11-03,FL,Okaloosa,Okaloosa,county,,,,early_vote,Community Center,"101 Stahlman Ave, Destin",,website,2020-11-03,,POINT (-86.50983979999999 30.3964316),POINT (-86.50968 30.39649),POINT (-86.50936799999999 30.396161),POINT (-86.50968 30.39649),POINT (-86.50983979999999 30.3964316)
2020-11-03,FL,Okaloosa,Okaloosa,county,,,,early_vote,City Hall,"208 Partin Dr N, Niceville",,website,2020-11-03,,POINT (-86.4755655 30.5244145),POINT (-86.47554 30.52443),POINT (-86.47493299999999 30.5238),POINT (-86.47554 30.52443),POINT (-86.4755655 30.5244145)
2020-11-03,FL,Pasco,Pasco,county,,,,early_vote,Supervisor of Elections Office,"8731 Citizens Dr, New Port Richey FL  34654",,website,2020-11-03,,POINT (-82.6700314 28.2682188),POINT (-82.66977 28.26739),POINT (-82.672319 28.268122),POINT (-82.67005 28.22657),POINT (-82.6700314 28.2682188)
2020-11-03,FL,Pasco,Pasco,county,,,,early_vote,County Commission Building,"14236 6th St, Dade City FL 33523",,website,2020-11-03,,POINT (-82.1879562 28.3660975),POINT (-82.18783999999999 28.36599),POINT (-82.18822900000001 28.365385),POINT (-82.1878 28.36609),POINT (-82.1879562 28.3660975)
2020-11-03,FL,Pasco,Pasco,county,,,,early_vote,County Commission Building,"3032 Collier Parkway, Land O' Lakes FL 34639",,website,2020-11-03,,POINT (-82.43223689999999 28.1993476),POINT (-82.43279 28.19952),POINT (-82.433948 28.199614),POINT (-82.43216 28.19939),POINT (-82.43223689999999 28.1993476)
2020-11-03,FL,Pasco,Pasco,county,,,,early_vote,Public Library,"8012 Library Rd, Hudson FL 34667",,website,2020-11-03,,POINT (-82.6813555 28.3535363),POINT (-82.68156 28.35373),POINT (-82.682412 28.354489),POINT (-82.68156 28.35376),POINT (-82.6813555 28.3535363)
2020-11-03,FL,Pasco,Pasco,county,,,,early_vote,Public Library,"34043 State Road 54, Wesley Chapel FL 33543",,website,2020-11-03,,POINT (-82.2529998 28.2191527),POINT (-82.25275999999999 28.21934),POINT (-82.252914 28.218807),POINT (-82.25291 28.21951),POINT (-82.2529998 28.2191527)
2020-11-03,FL,Pasco,Pasco,county,,,,early_vote,Community Center,"1627 Chesapeake Dr, Odessa FL 33556",,website,2020-11-03,,POINT (-82.5780525 28.1823647),POINT (-82.57844 28.18296),,POINT (-82.57810000000001 28.18486),POINT (-82.5780525 28.1823647)
2020-11-03,FL,Pasco,Pasco,county,,,,early_vote,County Commission Building,"19420 Central Blvd, Land O' Lakes FL 34637",,website,2020-11-03,,POINT (-82.49515679999999 28.3015857),POINT (-82.49369 28.30142),POINT (-82.494609 28.302743),POINT (-82.49369 28.30142),POINT (-82.49515679999999 28.3015857)
2020-11-03,FL,Pasco,Pasco,county,,,,early_vote,Public Library,"9701 Little Rd, New Port Richey FL 34654",,website,2020-11-03,,POINT (-82.6729 28.2983476),POINT (-82.67256 28.29865),POINT (-82.672262 28.298425),POINT (-82.67256999999999 28.29866),POINT (-82.6729 28.2983476)
2020-11-03,FL,Pasco,Pasco,county,,,,early_vote,Public Library,"4649 Mile Stretch Dr, Holiday FL 34690",,website,2020-11-03,,POINT (-82.73673529999999 28.18927),POINT (-82.73681999999999 28.18934),POINT (-82.736794 28.187947),POINT (-82.73681999999999 28.18934),POINT (-82.73673529999999 28.18927)
2020-11-03,FL,Pasco,Pasco,county,,,,early_vote,Wildcard,"3173 Cypress Ridge Blvd, Wesley Chapel FL 33544",,website,2020-11-03,,POINT (-82.38095320000001 28.1963643),POINT (-82.38047 28.19548),POINT (-82.380236 28.195661),POINT (-82.38085 28.1961),POINT (-82.38095320000001 28.1963643)
2020-11-03,FL,Pasco,Pasco,county,,,,early_vote,Community Center,"38116 5th Ave, Zephyrhills FL 33542",,website,2020-11-03,,POINT (-82.18586060000001 28.2311989),POINT (-82.18628 28.23088),POINT (-82.18629 28.231542),POINT (-82.1859 28.23081),POINT (-82.18586060000001 28.2311989)
2020-11-03,FL,Pasco,Pasco,county,,,,early_vote,Community Center,"3211 Lajuana Blvd, Wesley Chapel FL 33543",,website,2020-11-03,,POINT (-82.33875569999999 28.195149),,,POINT (-82.28646999999999 28.20397),POINT (-82.33875569999999 28.195149)
2020-11-03,FL,Pasco,Pasco,county,,,,early_vote,Community Center,"14333 Hicks Rd, Hudson FL 34669",,website,2020-11-03,,POINT (-82.6523952 28.365803),POINT (-82.65182 28.36561),POINT (-82.649644 28.36561),POINT (-82.65183 28.36563),POINT (-82.6523952 28.365803)
2020-11-03,FL,Pasco,Pasco,county,,,,early_vote,Community Center,"2830 Gulf Trace Blvd, Holiday FL 34691",,website,2020-11-03,,POINT (-82.7664005 28.1952965),POINT (-82.76681000000001 28.19609),POINT (-82.76619599999999 28.198837),POINT (-82.76702 28.19625),POINT (-82.7664005 28.1952965)
2020-11-03,FL,Lafayette,Lafayette,county,,,,early_vote,Community Center,"150 SW Community Cir, Mayo, FL 32066",,website,2020-11-03,,POINT (-83.18427939999999 30.0556248),POINT (-83.18436 30.0557),POINT (-83.1845 30.055801),POINT (-80.36883 27.26362),POINT (-83.18427939999999 30.0556248)
2020-11-03,FL,Liberty,Liberty,county,,,,early_vote,Supervisor of Elections Office,"10818 NW State Rd 20 Bristol, FL 32321",,website,2020-11-03,,POINT (-84.98010599999999 30.4321917),POINT (-84.98009 30.43187),POINT (-84.980071 30.431749),POINT (-86.61613 30.44947),POINT (-84.98010599999999 30.4321917)
2020-11-03,FL,Liberty,Liberty,county,,,,early_vote,Community Center,"17081 NE SR 65 Hosford, FL 32334",,website,2020-11-03,,POINT (-84.79877119999999 30.385748),,POINT (-84.798361 30.385618),POINT (-84.79874 30.38573),POINT (-84.79877119999999 30.385748)
2020-11-03,FL,Leon,Leon,county,,,,early_vote,Supervisor of Elections Office,"2990-1 Apalachee Pkwy, Tallahassee, 32301",,website,2020-11-03,,POINT (-84.2282517 30.4283335),POINT (-84.22893999999999 30.42844),POINT (-84.22814200000001 30.427365),POINT (-84.22821 30.42828),POINT (-84.2282517 30.4283335)
2020-11-03,FL,Leon,Leon,county,,,,early_vote,Courthouse,"301 S Monroe St, Tallahassee, 32301",,website,2020-11-03,,POINT (-84.2802239 30.4396576),POINT (-84.27997999999999 30.43968),POINT (-84.28066200000001 30.439407),POINT (-84.28009 30.43941),POINT (-84.2802239 30.4396576)
2020-11-03,FL,Leon,Leon,county,,,,early_vote,Public Library,"5513 Thomasville Rd, Tallahassee, 32312",,website,2020-11-03,,POINT (-84.22582129999999 30.5443049),POINT (-84.22593999999999 30.54457),POINT (-84.226975 30.54444),POINT (-84.22596 30.54458),POINT (-84.22582129999999 30.5443049)
2020-11-03,FL,Leon,Leon,county,,,,early_vote,Community Center,"3840 N Monroe St, Ste 301, Tallahassee, 32303",,website,2020-11-03,,POINT (-84.3318616 30.5025711),POINT (-84.33128000000001 30.50285),POINT (-84.329773 30.503236),POINT (-84.33158 30.50241),POINT (-84.3318616 30.5025711)
2020-11-03,FL,Leon,Leon,county,,,,early_vote,Public Library,"1583 Pedrick Rd, Tallahassee, 32317",,website,2020-11-03,,POINT (-84.18200390000001 30.4736841),POINT (-84.18257 30.47303),POINT (-84.182716 30.474297),POINT (-84.18098000000001 30.4743),POINT (-84.18200390000001 30.4736841)
2020-11-03,FL,Leon,Leon,county,,,,early_vote,Community Center,"16387 Blountstown Hwy, Tallahassee, 32310",,website,2020-11-03,,POINT (-84.53452609999999 30.4259879),POINT (-84.53465 30.42599),POINT (-84.53535599999999 30.426107),POINT (-84.53443 30.42612),POINT (-84.53452609999999 30.4259879)
2020-11-03,FL,Leon,Leon,county,,,,early_vote,Civic Center,"505 W Pensacola St, Tallahassee, 32301",,website,2020-11-03,,POINT (-84.2866581 30.4377823),POINT (-84.28749000000001 30.43779),POINT (-84.28630200000001 30.438755),POINT (-84.2867 30.43779),POINT (-84.2866581 30.4377823)
2020-11-03,FL,Leon,Leon,county,,,,early_vote,Community Center,"1628 MLK Jr Blvd, Tallahassee, 32307",,website,2020-11-03,,POINT (-84.28600539999999 30.425555),POINT (-84.28601999999999 30.42588),,POINT (-84.28765 30.4302),POINT (-84.28600539999999 30.425555)
2020-11-03,FL,Leon,Leon,county,,,,early_vote,Public Library,"2817 S Adams St, Tallahassee, 32301",,website,2020-11-03,,POINT (-84.28231629999999 30.41060779999999),POINT (-84.28242 30.41085),POINT (-84.283276 30.410859),POINT (-84.28259 30.41079),POINT (-84.28231629999999 30.41060779999999)
2020-11-03,FL,Leon,Leon,county,,,,early_vote,Community Center,"8000 Old Woodville Rd, Tallahassee, 32305",,website,2020-11-03,,POINT (-84.2531085 30.3315991),POINT (-84.25317 30.3321),POINT (-84.25249599999999 30.331947),POINT (-84.25305 30.33166),POINT (-84.2531085 30.3315991)
2020-11-03,FL,Duval,Duval,county,,,,early_vote,Supervisor of Elections Office,105 E Monroe Street,,website,2020-11-03,,POINT (-81.6554323 30.3283858),POINT (-81.65544 30.32833),,POINT (-81.65544 30.32833),POINT (-81.6554323 30.3283858)
2020-11-03,FL,Duval,Duval,county,,,,early_vote,Public Library,7973 Old Middleburg Rd S,,website,2020-11-03,,POINT (-81.821198 30.2013033),POINT (-81.82098000000001 30.20126),POINT (-81.82176 30.201453),POINT (-81.82093 30.20125),POINT (-81.821198 30.2013033)
2020-11-03,FL,Duval,Duval,county,,,,early_vote,Public Library,600 3rd Street,,website,2020-11-03,,POINT (-81.398104 30.3197719),POINT (-81.3981 30.31973),,POINT (-81.39807 30.31952),POINT (-81.398104 30.3197719)
2020-11-03,FL,Duval,Duval,county,,,,early_vote,Public Library,1755 Edgewood Ave W,,website,2020-11-03,,POINT (-81.68624749999999 30.3872716),POINT (-81.68648 30.3872),POINT (-81.686227 30.38688),POINT (-81.68648 30.38721),POINT (-81.68624749999999 30.3872716)
2020-11-03,FL,Duval,Duval,county,,,,early_vote,Community Center,9911 Old Baymeadows Rd,,website,2020-11-03,,POINT (-81.55372939999999 30.22186629999999),POINT (-81.55304 30.22153),POINT (-81.55475300000001 30.220885),POINT (-81.55468999999999 30.22299),POINT (-81.55372939999999 30.22186629999999)
2020-11-03,FL,Duval,Duval,county,,,,early_vote,County Commission Building,910 W 44th Street,,website,2020-11-03,,POINT (-81.66771 30.369192),POINT (-81.66313 30.37133),POINT (-81.666138 30.370375),POINT (-81.66676 30.3717),POINT (-81.66771 30.369192)
2020-11-03,FL,Duval,Duval,county,,,,early_vote,Public Library,1826 Dunn Ave,,website,2020-11-03,,POINT (-81.67586539999999 30.4344804),POINT (-81.67568 30.43415),POINT (-81.674819 30.434331),POINT (-81.67563 30.43415),POINT (-81.67586539999999 30.4344804)
2020-11-03,FL,Duval,Duval,county,,,,early_vote,Community Center,5130 Soutel Dr,,website,2020-11-03,,POINT (-81.7259368 30.3962154),POINT (-81.72494 30.39652),POINT (-81.726063 30.397207),POINT (-81.72495000000001 30.39653),POINT (-81.7259368 30.3962154)
2020-11-03,FL,Duval,Duval,county,,,,early_vote,Public Library,3330 Korl Road,,website,2020-11-03,,POINT (-81.6208903 30.2052403),POINT (-81.6206 30.2054),POINT (-81.620621 30.205023),POINT (-81.63018 30.29503),POINT (-81.6208903 30.2052403)
2020-11-03,FL,Duval,Duval,county,,,,early_vote,Wildcard,4101 College Street,,website,2020-11-03,,POINT (-81.7214331 30.314674),POINT (-81.72108 30.31471),,POINT (-96.35241000000001 30.62509),POINT (-81.7214331 30.314674)
2020-11-03,FL,Duval,Duval,county,,,,early_vote,Community Center,12215 Sago Ave W,,website,2020-11-03,,POINT (-81.63178739999999 30.459424),POINT (-81.63155999999999 30.45915),POINT (-81.63309700000001 30.459131),POINT (-81.63157 30.45914),POINT (-81.63178739999999 30.459424)
2020-11-03,FL,Duval,Duval,county,,,,early_vote,Public Library,13295 Beach Blvd,,website,2020-11-03,,POINT (-81.47330409999999 30.28821859999999),POINT (-81.47329000000001 30.28903),POINT (-81.473264 30.287587),POINT (-81.47328 30.28905),POINT (-81.47330409999999 30.28821859999999)
2020-11-03,FL,Duval,Duval,county,,,,early_vote,Convention Center,1000 Water Street,,website,2020-11-03,,POINT (-81.671284 30.3278617),POINT (-81.67 30.32744),,POINT (-82.10536 29.93484),POINT (-81.671284 30.3278617)
2020-11-03,FL,Duval,Duval,county,,,,early_vote,Public Library,9900 Regency Square Blvd,,website,2020-11-03,,POINT (-81.54275860000001 30.32564799999999),POINT (-81.54273999999999 30.3257),POINT (-81.542644 30.326302),POINT (-81.54264000000001 30.32574),POINT (-81.54275860000001 30.32564799999999)
2020-11-03,FL,Duval,Duval,county,,,,early_vote,Public Library,1513 LaSalle Street,,website,2020-11-03,,POINT (-81.65414849999999 30.30916149999999),POINT (-81.65414 30.30915),POINT (-81.653408 30.308933),POINT (-81.65363000000001 30.30961),POINT (-81.65414849999999 30.30916149999999)
2020-11-03,FL,Duval,Duval,county,,,,early_vote,Public Library,12125 San Jose Blvd,,website,2020-11-03,,POINT (-81.6322052 30.1502536),POINT (-81.63209999999999 30.15019),POINT (-81.632514 30.150082),POINT (-81.63191999999999 30.15008),POINT (-81.6322052 30.1502536)
2020-11-03,FL,Duval,Duval,county,,,,early_vote,Public Library,10599 Deerwood Park Blvd,,website,2020-11-03,,POINT (-81.53950139999999 30.249046),POINT (-81.53955000000001 30.24861),POINT (-81.539615 30.24766),POINT (-81.53964999999999 30.24863),POINT (-81.53950139999999 30.249046)
2020-11-03,FL,Duval,Duval,county,,,,early_vote,Public Library,3435 University Blvd N,,website,2020-11-03,,POINT (-81.60439199999999 30.3620834),POINT (-81.60472 30.36185),POINT (-81.605997 30.361537),POINT (-81.60478999999999 30.36184),POINT (-81.60439199999999 30.3620834)
2020-11-03,FL,Duval,Duval,county,,,,early_vote,Public Library,6887 103rd Street,,website,2020-11-03,,POINT (-81.7569108 30.2491531),POINT (-81.75698 30.24901),POINT (-81.756998 30.248362),POINT (-81.75699 30.249),POINT (-81.7569108 30.2491531)
2020-11-03,FL,Duval,Duval,county,,,,early_vote,Public Library,1425 Chaffee Rd S,,website,2020-11-03,,POINT (-81.84773849999999 30.2943798),POINT (-81.84753000000001 30.29422),POINT (-81.848572 30.294259),POINT (-81.84754 30.29423),POINT (-81.84773849999999 30.2943798)
2020-11-03,FL,Columbia,Columbia,county,,,,early_vote,Supervisor of Elections Office,"971 W Duval Street, Suite 102, Lake City Florida 32055",,website,2020-11-03,,POINT (-82.6516312 30.1882722),POINT (-82.65132 30.18763),POINT (-82.651054 30.187801),POINT (-81.37963000000001 28.51443),POINT (-82.6516312 30.1882722)
