election_date,state,county_name,jurisdiction,jurisdiction_type,precinct_id,precinct_name,polling_place_id,location_type,name,address,notes,source,source_date,source_notes,Google_geog,HERE_geog,MapQuest_geog,AzureMaps_geog,geog
2020-11-03,IN,ADAMS,ADAMS,county,,,,unknown,BRIDGE COMMUNITY CHURCH ELECTION  DAY,"1403 WINCHESTER RD, DECATUR IN 46733",,ORR,2020-11-02,,POINT (-84.93931790000001 40.84494189999999),POINT (-84.9393 40.84522),POINT (-84.93875 40.845715),POINT (-84.93937 40.84488),POINT (-84.93931790000001 40.84494189999999)
2020-11-03,IN,ADAMS,ADAMS,county,,,,unknown,FIRST MISSIONARY CHURCH ELECTION DAY,"950  US HWY 27 S, BERNE  IN 46711",,ORR,2020-11-02,,POINT (-84.9562863 40.6488815),POINT (-84.95495 40.64871),POINT (-84.954759 40.648976),POINT (-84.95602 40.64897),POINT (-84.9562863 40.6488815)
2020-11-03,IN,ADAMS,ADAMS,county,,,,unknown,FIRST UNITED METHODIST CHURCH ,"100 W LINE ST, GENEVA IN 46740",,ORR,2020-11-02,,POINT (-84.9610684 40.5918248),POINT (-84.96119 40.5914),POINT (-84.96105900000001 40.591973),POINT (-84.96105 40.59178),POINT (-84.9610684 40.5918248)
2020-11-03,IN,ADAMS,ADAMS,county,,,,unknown,KNIGHTS OF COLUMBUS HALL,"1703 HIGH ST, DECATUR IN 46733",,ORR,2020-11-02,,POINT (-84.91662339999999 40.8102713),POINT (-84.91724000000001 40.80982),POINT (-84.918333 40.809823),POINT (-84.91661999999999 40.81029),POINT (-84.91662339999999 40.8102713)
2020-11-03,IN,ADAMS,ADAMS,county,,,,unknown,LEHMAN PARK PAVILION,"PARK AVE & HWY 27, BERNE  IN 46711",,ORR,2020-11-02,,POINT (-84.95478370000001 40.6503399),POINT (-84.93626 40.65828),,POINT (-74.17392 40.75549),POINT (-84.95478370000001 40.6503399)
2020-11-03,IN,ADAMS,ADAMS,county,,,,unknown,MONROE FIRE STATION,"233 TOWER DR, MONROE IN 46772",,ORR,2020-11-02,,POINT (-84.94948429999999 40.7476607),POINT (-84.94947999999999 40.74766),POINT (-84.948769 40.748142),POINT (-84.94920999999999 40.74748),POINT (-84.94948429999999 40.7476607)
2020-11-03,IN,ALLEN,ALLEN,county,,,,unknown,PUBLIC SAFETY ACADEMY,"7602 PATRIOT CROSSING, FORT WAYNE IN 46816",,ORR,2020-11-02,,POINT (-85.1215055 41.011556),POINT (-85.12170999999999 41.01177),POINT (-85.120825 41.01287),POINT (-85.12161999999999 41.01159),POINT (-85.1215055 41.011556)
2020-11-03,IN,ALLEN,ALLEN,county,,,,unknown,SALOMON FARM PARK,"817 W DUPONT RD, FORT WAYNE IN 46825",,ORR,2020-11-02,,POINT (-85.15279099999999 41.1751776),POINT (-85.15375 41.17552),POINT (-85.15349000000001 41.177861),POINT (-85.15349999999999 41.17777),POINT (-85.15279099999999 41.1751776)
2020-11-03,IN,ALLEN,ALLEN,county,,,,unknown,ABOITE BAPTIST CHURCH," 5700 HOMESTEAD RD, FORT WAYNE IN 468144971",,ORR,2020-11-02,,POINT (-85.28490769999999 41.0310102),POINT (-85.28454000000001 41.03145),POINT (-85.28432599999999 41.0316),POINT (-85.28443 41.03161),POINT (-85.28490769999999 41.0310102)
2020-11-03,IN,ALLEN,ALLEN,county,,,,unknown,ABUNDANT LIFE TABERNACLE," 3301 E  COLISEUM BLVD, FORT WAYNE IN 46805",,ORR,2020-11-02,,POINT (-85.09580270000001 41.1099674),POINT (-85.09703 41.10903),POINT (-85.097089 41.108872),POINT (-85.09705 41.10895),POINT (-85.09580270000001 41.1099674)
