election_date,state,county_name,jurisdiction,jurisdiction_type,precinct_id,precinct_name,polling_place_id,location_type,name,address,notes,source,source_date,source_notes,Google_geog,HERE_geog,MapQuest_geog,AzureMaps_geog,geog
2020-11-03,IA,Adair,Adair,county,1NW,1NW ADAIR,,election_day,ADAIR CITY HALL,"320 AUDUBON ST, ADAIR, IA 50002",,ORR,2020-10-09,,POINT (-94.64205419999999 41.5003453),POINT (-94.64218 41.50054),POINT (-94.641487 41.500657),POINT (-94.64203000000001 41.50049),POINT (-94.64205419999999 41.5003453)
2020-11-03,IA,Adair,Adair,county,2NE,2NE STUART,,election_day,STUART RECREATIONAL CENTER,"323 SW 2ND ST, STUART, IA 50250",,ORR,2020-10-09,,,POINT (-94.32216 41.50279),POINT (-94.321444 41.502738),POINT (-94.32208 41.50293),POINT (-94.32216 41.50279)
2020-11-03,IA,Adair,Adair,county,3SW,3SW FONTANELLE,,election_day,FONTANELLE COMMUNITY BUILDING,"224 3RD ST, FONTANELLE, IA 50846",,ORR,2020-10-09,,POINT (-94.5642809 41.2893009),POINT (-94.56413000000001 41.2892),POINT (-94.564109 41.288753),POINT (-94.56421 41.28931),POINT (-94.5642809 41.2893009)
2020-11-03,IA,Adair,Adair,county,4SE,4SE ORIENT,,election_day,ORIENT UNITED METHODIST CHURCH,"124 S MAPLE ST, ORIENT, IA 50858",,ORR,2020-10-09,,POINT (-94.4184131 41.2016046),POINT (-94.41818000000001 41.20158),POINT (-94.418052 41.200323),POINT (-94.41840000000001 41.2019),POINT (-94.4184131 41.2016046)
2020-11-03,IA,Adair,Adair,county,5GF,5GF GREENFIELD,,election_day,ADAIR CO HEALTH & FITNESS CENTER,"202 N TOWNLINE RD, GREENFIELD, IA 50849",,ORR,2020-10-09,,POINT (-94.45911219999999 41.3153441),POINT (-94.45711 41.31614),POINT (-94.460576 41.316267),POINT (-94.45911 41.31549),POINT (-94.45911219999999 41.3153441)
2020-11-03,IA,Adams,Adams,county,AD1,ADAMS 1,,election_day,CORNING COMMUNITY CENTER,"606 6TH STREET, CORNING, IA 50841",,ORR,2020-10-09,,POINT (-94.7360193 40.9884774),POINT (-94.73523 40.98821),POINT (-94.73625699999999 40.988096),POINT (-94.73626 40.98834),POINT (-94.7360193 40.9884774)
2020-11-03,IA,Adams,Adams,county,AD2,ADAMS 2,,election_day,CORNING CITY LIBRARY,"603 9TH STREET, CORNING, IA 50841",,ORR,2020-10-09,,POINT (-94.73539679999999 40.9907638),POINT (-94.73535 40.99077),POINT (-94.73518900000001 40.990927),POINT (-94.7354 40.9908),POINT (-94.73539679999999 40.9907638)
2020-11-03,IA,Adams,Adams,county,AD3,ADAMS 3,,election_day,REDEEMER LUTHERAN CHURCH,"800 17TH ST, CORNING, IA 50841",,ORR,2020-10-09,,POINT (-94.73742670000001 40.9989738),POINT (-94.73730999999999 40.99897),POINT (-94.73755 40.99881),POINT (-94.73757000000001 40.99911),POINT (-94.73742670000001 40.9989738)
2020-11-03,IA,Adams,Adams,county,AD4,ADAMS 4,,election_day,NODAWAY COMMUNITY BUILDING,"300 7TH AVE, NODAWAY, IA 50857",,ORR,2020-10-09,,POINT (-94.8947718 40.93694120000001),POINT (-94.8946 40.93682),POINT (-94.89355500000001 40.936966),POINT (-94.89449999999999 40.93681),POINT (-94.8947718 40.93694120000001)
2020-11-03,IA,Adams,Adams,county,AD5,ADAMS 5,,election_day,PRESCOTT CITY HALL,"607 2ND ST, PRESCOTT, IA 50859",,ORR,2020-10-09,,POINT (-94.61021220000001 41.0233126),POINT (-94.61011999999999 41.02323),POINT (-94.61029499999999 41.023128),POINT (-94.61006999999999 41.02353),POINT (-94.61021220000001 41.0233126)
2020-11-03,IA,Allamakee,Allamakee,county,PCT 1,WL/HV,,election_day,ST. MARY'S CHURCH DORCHESTER,"590 WATERLOO CREEK DR, DORCHESTER, IA 52140",,ORR,2020-10-09,,POINT (-91.51159310000001 43.4715611),POINT (-91.51161 43.47154),POINT (-91.511595 43.470848),POINT (-91.51161 43.47154),POINT (-91.51159310000001 43.4715611)
2020-11-03,IA,Allamakee,Allamakee,county,PCT 10,WK 2 CITY,,election_day,FIRST BAPTIST CHURCH,"614 ROSSVILLE RD, WAUKON, IA 52172",,ORR,2020-10-09,,POINT (-91.4723996 43.2628783),POINT (-91.47241 43.26257),POINT (-91.473705 43.262313),POINT (-91.47242 43.26256),POINT (-91.4723996 43.2628783)
2020-11-03,IA,Allamakee,Allamakee,county,PCT 11,WK 3 CITY,,election_day,FIRST BAPTIST CHURCH,"614 ROSSVILLE RD, WAUKON, IA 52172",,ORR,2020-10-09,,POINT (-91.4723996 43.2628783),POINT (-91.47241 43.26257),POINT (-91.473705 43.262313),POINT (-91.47242 43.26256),POINT (-91.4723996 43.2628783)
2020-11-03,IA,Allamakee,Allamakee,county,PCT 2,UP/MK/FC/JF/LL,,election_day,WAUKON BANQUET CENTER,"612 ROSSVILLE RD, WAUKON, IA 52146",,ORR,2020-10-09,,POINT (-91.47274519999999 43.2630679),POINT (-91.47281 43.26301),POINT (-91.473888 43.262821),POINT (-91.47277 43.26303),POINT (-91.47274519999999 43.2630679)
2020-11-03,IA,Allamakee,Allamakee,county,PCT 3,PO/FK,,election_day,MEMORIAL HALL,"119 E GREENE ST, POSTVILLE, IA 52162",,ORR,2020-10-09,,POINT (-91.56774799999999 43.0866772),POINT (-91.56793999999999 43.08679),POINT (-91.567601 43.086692),POINT (-91.56735 43.08694),POINT (-91.56774799999999 43.0866772)
2020-11-03,IA,Allamakee,Allamakee,county,PCT 4,PV CITY,,election_day,MEMORIAL HALL,"119 E GREENE ST, POSTVILLE, IA 52162",,ORR,2020-10-09,,POINT (-91.56774799999999 43.0866772),POINT (-91.56793999999999 43.08679),POINT (-91.567601 43.086692),POINT (-91.56735 43.08694),POINT (-91.56774799999999 43.0866772)
2020-11-03,IA,Allamakee,Allamakee,county,PCT 5,PC/LT/WV CITY,,election_day,WATERVILLE SCHOOL COMM CTR,"115 MAIN ST, WATERVILLE, IA 52170",,ORR,2020-10-09,,POINT (-91.29735959999999 43.2130279),POINT (-91.29803 43.21283),POINT (-91.296701 43.212742),POINT (-91.29803 43.21283),POINT (-91.29735959999999 43.2130279)
2020-11-03,IA,Allamakee,Allamakee,county,PCT 6,FV/TL/HF CITY,,election_day,HARPERS FERRY COMMUNITY CENTER,"238 N 4, HARPERS FERRY, IA 52146",,ORR,2020-10-09,,POINT (-91.150916 43.2025546),POINT (-91.15124 43.20271),POINT (-91.15047300000001 43.202441),POINT (-91.15112999999999 43.2028),POINT (-91.150916 43.2025546)
2020-11-03,IA,Allamakee,Allamakee,county,PCT 7,LF/CN/LS/LS CITY,,election_day,IC CATHOLIC CHURCH LANSING,"648 MAIN ST, LANSING, IA 52151",,ORR,2020-10-09,,POINT (-91.2231355 43.3619758),POINT (-91.22318 43.36209),POINT (-91.22339100000001 43.361808),POINT (-95.23041000000001 41.88942),POINT (-91.2231355 43.3619758)
2020-11-03,IA,Allamakee,Allamakee,county,PCT 8,UC/IA/NA CITY,,election_day,NEW ALBIN COMMUNITY CENTER,"137 RAILROAD AVE SW, NEW ALBIN, IA 52160",,ORR,2020-10-09,,POINT (-91.2901193 43.4972014),POINT (-91.29022000000001 43.49703),POINT (-91.290282 43.496821),POINT (-91.12821 42.47241),POINT (-91.2901193 43.4972014)
2020-11-03,IA,Allamakee,Allamakee,county,PCT 9,WK 1 CITY,,election_day,FIRST BAPTIST CHURCH,"614 ROSSVILLE RD, WAUKON, IA 52172",,ORR,2020-10-09,,POINT (-91.4723996 43.2628783),POINT (-91.47241 43.26257),POINT (-91.473705 43.262313),POINT (-91.47242 43.26256),POINT (-91.4723996 43.2628783)
2020-11-03,IA,Appanoose,Appanoose,county,BL,Bellair Lincoln,,election_day,NUMA COMMUNITY CENTER,"104 WALNUT ST, NUMA, IA 52544",,ORR,2020-10-09,,POINT (-92.97823869999999 40.6887948),POINT (-92.97727999999999 40.6891),POINT (-92.888093 40.798636),POINT (-92.97703 40.68897),POINT (-92.97823869999999 40.6887948)
2020-11-03,IA,Appanoose,Appanoose,county,CV1,Centerville W1,,election_day,IHCC - BLDG #12,"721 N 1ST ST, BLDG #12, CENTERVILLE, IA 52544",,ORR,2020-10-09,,POINT (-92.88690360000001 40.7395526),POINT (-92.88681 40.74032),POINT (-92.884395 40.74339),POINT (-92.86736000000001 40.73985),POINT (-92.88690360000001 40.7395526)
2020-11-03,IA,Appanoose,Appanoose,county,CV2,Centerville W2,,election_day,CENTERVILLE CITY HALL,"312 E MAPLE, CENTERVILLE, IA 52544",,ORR,2020-10-09,,POINT (-92.87131049999999 40.7321654),POINT (-92.87139000000001 40.7322),POINT (-92.871407 40.732519),POINT (-92.87139000000001 40.7322),POINT (-92.87131049999999 40.7321654)
2020-11-03,IA,Appanoose,Appanoose,county,CV3,Centerville W3,,election_day,YMCA,"708 S MAIN ST, CENTERVILLE, IA 52544",,ORR,2020-10-09,,POINT (-92.87463169999999 40.72808939999999),POINT (-92.87434 40.7284),POINT (-92.87418700000001 40.728461),POINT (-92.86563 40.72793),POINT (-92.87463169999999 40.72808939999999)
2020-11-03,IA,Appanoose,Appanoose,county,CW,Caldwell,,election_day,EXLINE COMMUNITY BUILDING,"MAIN ST, EXLINE, IA 52555",,ORR,2020-10-09,,POINT (-92.8432852 40.64820590000001),,,,POINT (-92.8432852 40.64820590000001)
2020-11-03,IA,Appanoose,Appanoose,county,JO,Johns Independence,,election_day,CHRISTIAN CHURCH FELLOWSHIP HALL,"2ND ST, PLANO, IA 52581",,ORR,2020-10-09,,,,,POINT (-95.63976 41.11203),
2020-11-03,IA,Appanoose,Appanoose,county,PS,Pleasant Franklin,,election_day,CINCINNATI COMMUNITY BLDG,"102 DEPOT LANE, CINCINNATI, IA 52549",,ORR,2020-10-09,,,POINT (-92.92236 40.63035),,POINT (-82.01437 29.59265),POINT (-92.92236 40.63035)
2020-11-03,IA,Appanoose,Appanoose,county,TY,Taylor Chariton,,election_day,MORAVIA CITY HALL,"116 S WILLIAM, MORAVIA, IA 52571",,ORR,2020-10-09,,POINT (-92.81494839999999 40.8917073),POINT (-92.81474 40.89094),POINT (-92.81458499999999 40.890978),POINT (-92.79969 41.02548),POINT (-92.81494839999999 40.8917073)
2020-11-03,IA,Appanoose,Appanoose,county,UD,Union/Udell,,election_day,UNIONVILLE AMERICAN LEGION,"MAIN ST, UNIONVILLE, IA 52594",,ORR,2020-10-09,,,,,,
2020-11-03,IA,Appanoose,Appanoose,county,VM,Vermillion Douglas Sharon,,election_day,COURTHOUSE-1ST FLOOR,"201 N 12TH, CENTERVILLE, IA 52544",,ORR,2020-10-09,,POINT (-92.874999 40.7336011),POINT (-92.87421999999999 40.73379),POINT (-92.875016 40.733626),POINT (-92.87421000000001 40.73424),POINT (-92.874999 40.7336011)
2020-11-03,IA,Appanoose,Appanoose,county,WALNUT,Walnut,,election_day,MYSTIC COMMUNITY CENTER,"107 S 2ND ST, MYSTIC, IA 52574",,ORR,2020-10-09,,POINT (-92.9457297 40.7788118),POINT (-92.94557 40.7775),POINT (-92.94542300000001 40.778814),POINT (-92.94573 40.77881),POINT (-92.9457297 40.7788118)
2020-11-03,IA,Appanoose,Appanoose,county,WS,Washington Wells,,election_day,MOULTON CITY HALL,"MAIN ST, MOULTON, IA 52572",,ORR,2020-10-09,,POINT (-92.67698299999999 40.6842929),POINT (-92.67702 40.68466),,,POINT (-92.67698299999999 40.6842929)
2020-11-03,IA,Audubon,Audubon,county,01,Precinct 1,,election_day,AUDUBON AGRIHALL,"400 N DIVISION ST W, AUDUBON, IA 50025",,ORR,2020-10-09,,POINT (-94.9415607 41.7246447),POINT (-94.94105999999999 41.72422),POINT (-94.941334 41.724057),POINT (-94.93338 41.72011),POINT (-94.9415607 41.7246447)
2020-11-03,IA,Audubon,Audubon,county,02,Precinct 2,,election_day,EXIRA EVENT CENTER,"106 N JEFFERSON, EXIRA, IA 50076",,ORR,2020-10-09,,POINT (-94.87614289999999 41.5918494),POINT (-94.87624 41.59184),POINT (-94.87634300000001 41.591646),POINT (-94.87625 41.59185),POINT (-94.87614289999999 41.5918494)
2020-11-03,IA,Benton,Benton,county,BG,Precinct Bg,,election_day,VAN HORNE COMMUNITY CENTER,"508 1ST AVE, VAN HORNE, IA 52346",,ORR,2020-10-09,,POINT (-92.0912544 42.0075413),POINT (-92.09138 42.00742),POINT (-92.09235 42.00759),POINT (-92.08076 42.00726),POINT (-92.0912544 42.0075413)
2020-11-03,IA,Benton,Benton,county,BN,Precinct Bn,,election_day,SHELLSBURG LEGION HALL,"114 MAIN STREET SW, SHELLSBURG, IA 52332",,ORR,2020-10-09,,POINT (-91.8703656 42.0943245),POINT (-91.87032000000001 42.0943),POINT (-91.869743 42.094555),POINT (-91.87039 42.08754),POINT (-91.8703656 42.0943245)
2020-11-03,IA,Benton,Benton,county,BP1,Precinct Bp1,,election_day,BELLE PLAINE COMMUNITY CENTER RSVP RM,"1309 5TH AVE, BELLE PLAINE, IA 52208",,ORR,2020-10-09,,POINT (-92.2808594 41.89780810000001),POINT (-92.28126 41.89723),POINT (-92.28147199999999 41.897131),POINT (-92.27145 41.89779),POINT (-92.2808594 41.89780810000001)
2020-11-03,IA,Benton,Benton,county,BP2,Precinct Bp2,,election_day,BELLE PLAINE COMMUNITY CENTER DINING ROOM,"1309 5TH AVENUE, BELLE PLAINE, IA 52208",,ORR,2020-10-09,,POINT (-92.2808594 41.89780810000001),POINT (-92.28126 41.89723),POINT (-92.28147199999999 41.897131),POINT (-92.27145 41.89779),POINT (-92.2808594 41.89780810000001)
2020-11-03,IA,Benton,Benton,county,BP3,Precinct Bp3,,election_day,BELLE PLAINE FIRE STATION,"504 13TH STREET, BELLE PLAINE, IA 52208",,ORR,2020-10-09,,POINT (-92.2810521 41.8972948),POINT (-92.28098 41.8971),POINT (-92.281076 41.897051),POINT (-92.28108 41.89733),POINT (-92.2810521 41.8972948)
2020-11-03,IA,Benton,Benton,county,BR,Precinct Br,,election_day,CEDAR-MT AUBURN HALL,"203 2ND STREET, MT. AUBURN, IA 52313",,ORR,2020-10-09,,POINT (-92.0919191 42.2550957),POINT (-92.09193999999999 42.25511),POINT (-92.09242 42.255266),POINT (-94.87967999999999 42.25018),POINT (-92.0919191 42.2550957)
2020-11-03,IA,Benton,Benton,county,ED,Precinct Ed,,election_day,BENTON COUNTY COURTHOUSE,"111 E 4TH STREET, VINTON, IA 52349",,ORR,2020-10-09,,POINT (-92.0236175 42.1681712),POINT (-92.02361999999999 42.16816),POINT (-92.023658 42.167695),POINT (-92.02366000000001 42.16819),POINT (-92.0236175 42.1681712)
2020-11-03,IA,Benton,Benton,county,EL,Precinct El,,election_day,NEWHALL CITY HALL,"11 2ND AVE, NEWHALL, IA 52315",,ORR,2020-10-09,,POINT (-91.96907929999999 41.9951849),POINT (-91.96923 41.99526),POINT (-91.968722 41.995405),POINT (-91.96885 41.99541),POINT (-91.96907929999999 41.9951849)
2020-11-03,IA,Benton,Benton,county,FL,Precinct Fl,,election_day,ST. MICHAEL'S PARISH CENTER,"512 EVERGREEN STREET, NORWAY, IA 52318",,ORR,2020-10-09,,POINT (-91.92633149999999 41.902793),POINT (-91.92644 41.90228),POINT (-91.926236 41.902604),POINT (-91.92623 41.90292),POINT (-91.92633149999999 41.902793)
