election_date,state,county_name,jurisdiction,jurisdiction_type,precinct_id,precinct_name,polling_place_id,location_type,name,address,notes,source,source_date,source_notes,Google_geog,HERE_geog,MapQuest_geog,AzureMaps_geog,geog
2020-11-03,LA,ACADIA,ACADIA,parish,01-01,RAYNE 01-01,,election_day,MIRE FIRE STATION,"5248 MIRE HWY, RAYNE, LA",,ORR,2020-10-20,,POINT (-92.19321570000001 30.2935494),POINT (-92.19336 30.29345),POINT (-92.193482 30.29368),POINT (-111.1841 45.75027),POINT (-92.19321570000001 30.2935494)
2020-11-03,LA,ACADIA,ACADIA,parish,01-02A,RAYNE 01-02A,,election_day,RAYNE CITY COURTROOM,"301 E LOUISIANA AVE, RAYNE, LA",,ORR,2020-10-20,,POINT (-92.26669509999999 30.2361537),POINT (-92.26671 30.23602),POINT (-92.266863 30.235895),POINT (-92.26690000000001 30.24248),POINT (-92.26669509999999 30.2361537)
2020-11-03,LA,ACADIA,ACADIA,parish,01-02B,RAYNE 01-02B,,election_day,RAYNE CITY COURTROOM,"301 E LOUISIANA AVE, RAYNE, LA",,ORR,2020-10-20,,POINT (-92.26669509999999 30.2361537),POINT (-92.26671 30.23602),POINT (-92.266863 30.235895),POINT (-92.26690000000001 30.24248),POINT (-92.26669509999999 30.2361537)
2020-11-03,LA,ACADIA,ACADIA,parish,01-03A,RAYNE 01-03A,,election_day,RAYNE HIGH SCHOOL GYM,"1020 N POLK ST, RAYNE, LA",,ORR,2020-10-20,,POINT (-92.26657229999999 30.2475961),POINT (-92.26738 30.24682),POINT (-92.267492 30.244857),POINT (-90.10080000000001 30.48736),POINT (-92.26657229999999 30.2475961)
2020-11-03,LA,ACADIA,ACADIA,parish,01-03B,RAYNE 01-03B,,election_day,RAYNE HIGH SCHOOL GYM,"1020 N POLK ST, RAYNE, LA",,ORR,2020-10-20,,POINT (-92.26657229999999 30.2475961),POINT (-92.26738 30.24682),POINT (-92.267492 30.244857),POINT (-90.10080000000001 30.48736),POINT (-92.26657229999999 30.2475961)
2020-11-03,LA,ACADIA,ACADIA,parish,01-04A,RAYNE 01-04A,,election_day,MARTIN PETITJEAN ELEM SCHOOL,"4039 CROWLEY RAYNE HWY, RAYNE, LA",,ORR,2020-10-20,,POINT (-92.28075109999999 30.2282289),POINT (-92.28142 30.22734),POINT (-92.280891 30.227207),POINT (-92.28129 30.2282),POINT (-92.28075109999999 30.2282289)
2020-11-03,LA,ACADIA,ACADIA,parish,01-04B,RAYNE 01-04B,,election_day,MARTIN PETITJEAN ELEM SCHOOL,"4039 CROWLEY RAYNE HWY, RAYNE, LA",,ORR,2020-10-20,,POINT (-92.28075109999999 30.2282289),POINT (-92.28142 30.22734),POINT (-92.280891 30.227207),POINT (-92.28129 30.2282),POINT (-92.28075109999999 30.2282289)
2020-11-03,LA,ACADIA,ACADIA,parish,01-05A,RAYNE 01-05A,,election_day,SOUTH SIDE COMMUNITY CENTER,"403 4TH ST, RAYNE, LA",,ORR,2020-10-20,,POINT (-92.2727641 30.2329486),POINT (-92.27262 30.23283),POINT (-92.27279900000001 30.232315),POINT (115.99797 -32.05017),POINT (-92.2727641 30.2329486)
2020-11-03,LA,ACADIA,ACADIA,parish,01-05B,RAYNE 01-05B,,election_day,SOUTH SIDE COMMUNITY CENTER,"403 4TH ST, RAYNE, LA",,ORR,2020-10-20,,POINT (-92.2727641 30.2329486),POINT (-92.27262 30.23283),POINT (-92.27279900000001 30.232315),POINT (115.99797 -32.05017),POINT (-92.2727641 30.2329486)
2020-11-03,LA,ACADIA,ACADIA,parish,01-06,RAYNE 01-06,,election_day,NORTH SIDE COMMUNITY CENTER,"608 MARTIN LUTHER KING DR, RAYNE, LA",,ORR,2020-10-20,,POINT (-92.2738533 30.245438),POINT (-92.27395 30.24532),,POINT (-92.62943 32.51951),POINT (-92.2738533 30.245438)
2020-11-03,LA,ACADIA,ACADIA,parish,01-07,RAYNE 01-07,,election_day,RAYNE FEDERAL HOUSING,"403 WEST OAK ST, RAYNE, LA",,ORR,2020-10-20,,POINT (-92.2718943 30.2475678),POINT (-92.27187000000001 30.24756),POINT (-92.268058 30.247725),POINT (-84.73107 41.07825),POINT (-92.2718943 30.2475678)
2020-11-03,LA,ACADIA,ACADIA,parish,01-08,RAYNE 01-08,,election_day,B&C SELF-STORAGE,"1931 E JEFF DAVIS AVE, RAYNE, LA",,ORR,2020-10-20,,POINT (-92.24972 30.242947),POINT (-92.24969 30.24289),POINT (-92.249689 30.242194),POINT (-92.24975000000001 30.24244),POINT (-92.24972 30.242947)
2020-11-03,LA,ACADIA,ACADIA,parish,01-09,RAYNE 01-09,,election_day,MARTIN PETITJEAN ELEM SCHOOL,"4039 CROWLEY RAYNE HWY, RAYNE, LA",,ORR,2020-10-20,,POINT (-92.28075109999999 30.2282289),POINT (-92.28142 30.22734),POINT (-92.280891 30.227207),POINT (-92.28129 30.2282),POINT (-92.28075109999999 30.2282289)
2020-11-03,LA,ACADIA,ACADIA,parish,02-01,RAYNE 02-01,,election_day,MIRE FIRE STATION,"5248 MIRE HWY, RAYNE, LA",,ORR,2020-10-20,,POINT (-92.19321570000001 30.2935494),POINT (-92.19336 30.29345),POINT (-92.193482 30.29368),POINT (-111.1841 45.75027),POINT (-92.19321570000001 30.2935494)
2020-11-03,LA,ACADIA,ACADIA,parish,02-02,RAYNE 02-02,,election_day,CRAMER DRYERS,"1190 WABASH RD, RAYNE, LA",,ORR,2020-10-20,,POINT (-92.3062491 30.2797026),POINT (-92.29791 30.28759),POINT (-92.298666 30.287012),POINT (-80.63894000000001 27.9573),POINT (-92.29791 30.28759)
2020-11-03,LA,ACADIA,ACADIA,parish,02-03,BRANCH 02-03,,election_day,BRANCH FIRE STATION,"173 DR PARROT RD, BRANCH, LA",,ORR,2020-10-20,,POINT (-92.26898399999999 30.3469971),POINT (-92.26877 30.34659),,POINT (-92.39264 30.27695),POINT (-92.26898399999999 30.3469971)
2020-11-03,LA,ACADIA,ACADIA,parish,02-04,CROWLEY/EUNICE 02-04,,election_day,MOWATA CATHOLIC CHURCH HALL,"29057 CROWLEY EUNICE HWY, CROWLEY/EUNICE, LA",,ORR,2020-10-20,,POINT (-92.39818099999999 30.3802934),POINT (-92.39803999999999 30.39454),,,POINT (-92.39818099999999 30.3802934)
2020-11-03,LA,ACADIA,ACADIA,parish,02-05,CROWLEY 02-05,,election_day,CROWLEY HIGH SCH COMMONS AREA,"263 HENSGENS RD, CROWLEY, LA",,ORR,2020-10-20,,POINT (-92.4029645 30.2574527),POINT (-92.40299 30.25922),POINT (-92.403065 30.259729),POINT (-92.33631 30.1915),POINT (-92.4029645 30.2574527)
2020-11-03,LA,ACADIA,ACADIA,parish,03-01,CHURCH POINT 03-01,,election_day,CHURCH POINT CITY HALL,"102 CHURCH BLVD, COUNCIL RM, CHURCH POINT, LA",,ORR,2020-10-20,,POINT (-92.2177245 30.4066974),POINT (-92.21777 30.40653),POINT (-92.217755 30.406349),POINT (-88.61299 42.41978),POINT (-92.2177245 30.4066974)
2020-11-03,LA,ACADIA,ACADIA,parish,03-02,CHURCH POINT 03-02,,election_day,RICHARD ELEMENTARY SCHOOL,"1616 CHARLENE HWY, CHURCH POINT, LA",,ORR,2020-10-20,,POINT (-92.3117427 30.4225642),POINT (-92.31258 30.42234),POINT (-92.312681 30.421803),POINT (-92.20632000000001 30.47241),POINT (-92.3117427 30.4225642)
2020-11-03,LA,ACADIA,ACADIA,parish,03-03A,CHURCH POINT 03-03A,,election_day,CHURCH POINT HIGH & ELEM SCH CAFETERIA,"415 E LOUGARRE ST, CHURCH POINT, LA",,ORR,2020-10-20,,POINT (-92.20877369999999 30.4008678),POINT (-92.21014 30.40083),POINT (-92.209729 30.401233),POINT (-92.21596 30.41265),POINT (-92.20877369999999 30.4008678)
2020-11-03,LA,ACADIA,ACADIA,parish,03-03B,CHURCH POINT 03-03B,,election_day,CHURCH POINT HIGH & ELEM SCH CAFETERIA,"415 E LOUGARRE ST, CHURCH POINT, LA",,ORR,2020-10-20,,POINT (-92.20877369999999 30.4008678),POINT (-92.21014 30.40083),POINT (-92.209729 30.401233),POINT (-92.21596 30.41265),POINT (-92.20877369999999 30.4008678)
2020-11-03,LA,ACADIA,ACADIA,parish,03-04,CHURCH POINT 03-04,,election_day,CHURCH POINT JR HIGH SCHOOL,"340 W MARTIN LUTHER KING DR, CHURCH POINT, LA",,ORR,2020-10-20,,POINT (-92.2253843 30.4108132),POINT (-92.22541 30.41043),POINT (-92.224676 30.410241),POINT (-91.25371 35.00068),POINT (-92.2253843 30.4108132)
2020-11-03,LA,ACADIA,ACADIA,parish,03-05,CHURCH POINT 03-05,,election_day,RICHARD ELEMENTARY SCHOOL,"1616 CHARLENE HWY, CHURCH POINT, LA",,ORR,2020-10-20,,POINT (-92.3117427 30.4225642),POINT (-92.31258 30.42234),POINT (-92.312681 30.421803),POINT (-92.20632000000001 30.47241),POINT (-92.3117427 30.4225642)
2020-11-03,LA,ACADIA,ACADIA,parish,03-06,CHURCH POINT 03-06,,election_day,CHURCH POINT CITY HALL,"102 CHURCH BLVD, COUNCIL RM, CHURCH POINT, LA",,ORR,2020-10-20,,POINT (-92.2177245 30.4066974),POINT (-92.21777 30.40653),POINT (-92.217755 30.406349),POINT (-88.61299 42.41978),POINT (-92.2177245 30.4066974)
2020-11-03,LA,ACADIA,ACADIA,parish,03-07,CHURCH POINT 03-07,,election_day,CHURCH POINT HIGH & ELEM SCH CAFETERIA,"415 E LOUGARRE ST, CHURCH POINT, LA",,ORR,2020-10-20,,POINT (-92.20877369999999 30.4008678),POINT (-92.21014 30.40083),POINT (-92.209729 30.401233),POINT (-92.21596 30.41265),POINT (-92.20877369999999 30.4008678)
2020-11-03,LA,ACADIA,ACADIA,parish,04-01,BASILE 04-01,,election_day,TE-MAMOU KC COUNCIL 4906,"4998 EVANGELINE HWY, BASILE, LA",,ORR,2020-10-20,,POINT (-92.5842521 30.3090866),POINT (-92.58508 30.32261),,POINT (-92.52872000000001 30.54723),POINT (-92.5842521 30.3090866)
