election_date,state,county_name,jurisdiction,jurisdiction_type,precinct_id,precinct_name,polling_place_id,location_type,name,address,notes,source,source_date,source_notes,Google_geog,HERE_geog,MapQuest_geog,AzureMaps_geog,geog
2020-11-03,ME,Piscataquis,ABBOT ,municipality,1-1,ABBOT  1-1,,election_day,Abbot Town Hall ,"133 Main Road, Abbot, ME",,website,2020-11-01,,POINT (-69.4531327 45.1905685),POINT (-69.45399999999999 45.19293),POINT (-69.45911599999999 45.200564),POINT (-69.45399999999999 45.19293),POINT (-69.4531327 45.1905685)
2020-11-03,ME,York,ACTON,municipality,1-1,ACTON 1-1,,election_day,Acton Town Hall ,"35 H Road, Acton, ME",,website,2020-11-01,,POINT (-70.909735 43.5324775),POINT (-70.90917 43.53193),POINT (-70.90907799999999 43.531932),POINT (-70.90917 43.53193),POINT (-70.909735 43.5324775)
2020-11-03,ME,Washington,ADDISON,municipality,1-1,ADDISON 1-1,,election_day,Addison Town Hall ,"334 Water Street, Addison, ME",,website,2020-11-01,,POINT (-67.74297779999999 44.61856359999999),POINT (-67.74299000000001 44.61842),POINT (-67.743009 44.618366),POINT (-67.74299000000001 44.61842),POINT (-67.74297779999999 44.61856359999999)
2020-11-03,ME,Oxford,ALBANY TWP ,municipality,1-1,ALBANY TWP  1-1,,election_day,Albany Twp Town House,"1581 Hunts Corner Road, Albany Twp, ME",,website,2020-11-01,,POINT (-70.76897049999999 44.3241402),POINT (-70.76895 44.32393),POINT (-70.768964 44.323901),POINT (-70.76884 44.32408),POINT (-70.76897049999999 44.3241402)
2020-11-03,ME,Kennebec,ALBION,municipality,1-1,ALBION 1-1,,election_day,Besse Building ,"22 Main Street, Albion, ME",,website,2020-11-01,,POINT (-69.43997539999999 44.5327312),POINT (-69.43987 44.53249),POINT (-69.43983900000001 44.532433),POINT (-69.43987 44.53249),POINT (-69.43997539999999 44.5327312)
2020-11-03,ME,Washington,ALEXANDER,municipality,1-1,ALEXANDER 1-1,,election_day,Alexander Municipal Building ,"50 Cooper Road, Alexander, ME",,website,2020-11-01,,POINT (-67.46910079999999 45.0905941),POINT (-67.46938 45.09076),POINT (-67.469492 45.090771),POINT (-67.46938 45.09076),POINT (-67.46910079999999 45.0905941)
2020-11-03,ME,York,ALFRED,municipality,1-1,ALFRED 1-1,,election_day,Alfred Elementary,"21 Sanford Road, Alfred, ME",,website,2020-11-01,,POINT (-70.72225779999999 43.4709784),POINT (-70.72225 43.4713),POINT (-70.721453 43.470315),POINT (-70.72242 43.47133),POINT (-70.72225779999999 43.4709784)
2020-11-03,ME,York,ALFRED,municipality,1-2,ALFRED 1-2,,election_day,Alfred Elementary,"21 Sanford Road, Alfred, ME",,website,2020-11-01,,POINT (-70.72225779999999 43.4709784),POINT (-70.72225 43.4713),POINT (-70.721453 43.470315),POINT (-70.72242 43.47133),POINT (-70.72225779999999 43.4709784)
2020-11-03,ME,Aroostook,ALLAGASH,municipality,1-1,ALLAGASH 1-1,,election_day,Allagash Community Center,"1063 Allagash Road, Allagash, ME",,website,2020-11-01,,POINT (-69.0433455 47.08340099999999),POINT (-69.04298 47.083),POINT (-69.043007 47.082917),POINT (-69.04298 47.083),POINT (-69.0433455 47.08340099999999)
2020-11-03,ME,Lincoln,ALNA,municipality,1-1,ALNA 1-1,,election_day,Alna Fire Station,"1579 Alna Road, Alna, ME",,website,2020-11-01,,POINT (-69.6176273 44.0794046),POINT (-69.61803 44.07879),POINT (-69.618101 44.078809),POINT (-69.61781999999999 44.07877),POINT (-69.6176273 44.0794046)
2020-11-03,ME,Penobscot,ALTON,municipality,1-1,ALTON 1-1,,election_day,Alton Municipal Building ,"3352 Bennoch Road, Alton, ME",,website,2020-11-01,,POINT (-68.7268189 45.0277118),POINT (-68.72641 45.02764),POINT (-68.726372 45.02758),POINT (-68.72682 45.02759),POINT (-68.7268189 45.0277118)
2020-11-03,ME,Hancock,AMHERST,municipality,1-1,AMHERST 1-1,,election_day,Amherst Town Hall ,"572 Airline Road, Amherst, ME",,website,2020-11-01,,POINT (-68.3665833 44.831681),POINT (-68.3663 44.8315),POINT (-68.366111 44.831575),POINT (-68.36648 44.83175),POINT (-68.3665833 44.831681)
2020-11-03,ME,Aroostook,AMITY,municipality,1-1,AMITY 1-1,,election_day,Amity Town Office ,"1143 US Route 1, Amity, ME",,website,2020-11-01,,POINT (-67.9666806 44.5136891),POINT (-67.83 45.94056),POINT (-67.83017599999999 45.938199),POINT (-68.03497 44.48632),POINT (-67.83 45.94056)
2020-11-03,ME,Oxford,ANDOVER,municipality,1-1,ANDOVER 1-1,,election_day,Andover Town Hall ,"24 Elm Street, Andover, ME",,website,2020-11-01,,,POINT (-70.74977 44.6357),POINT (-70.74960900000001 44.635901),POINT (-70.7496 44.63588),POINT (-70.74977 44.6357)
2020-11-03,ME,Somerset,ANSON,municipality,1-1,ANSON 1-1,,election_day,Anson Town Hall ,"5 Kennebec Street, Anson, ME",,website,2020-11-01,,POINT (-69.8897218 44.7976558),POINT (-69.89008 44.79732),POINT (-69.889832 44.797334),POINT (-69.89008 44.79687),POINT (-69.8897218 44.7976558)
2020-11-03,ME,Knox,APPLETON,municipality,1-1,APPLETON 1-1,,election_day,Appleton Fire Station,"2988 Sennebec Road, Appleton, ME",,website,2020-11-01,,POINT (-69.2503459 44.2886369),POINT (-69.25004 44.28865),POINT (-69.25012700000001 44.288782),POINT (-69.05285000000001 44.67823),POINT (-69.2503459 44.2886369)
2020-11-03,ME,Sagadahoc,ARROWSIC,municipality,1-1,ARROWSIC 1-1,,election_day,Arrowsic Town Hall ,"340 Arrowsic Road, Arrowsic, ME",,website,2020-11-01,,POINT (-69.78792319999999 43.8877243),POINT (-69.78843000000001 43.88774),POINT (-69.78858 43.887766),POINT (-69.78797 43.88776),POINT (-69.78792319999999 43.8877243)
2020-11-03,ME,York,ARUNDEL,municipality,1-1,ARUNDEL 1-1,,election_day,Arundel Municipal Office,"257 Limerick Road, Arundel, ME",,website,2020-11-01,,POINT (-70.53098319999999 43.4223775),POINT (-70.53073000000001 43.42304),POINT (-70.530709 43.42365),POINT (-67.91324 46.10398),POINT (-70.53098319999999 43.4223775)
2020-11-03,ME,Aroostook,ASHLAND,municipality,1-1,ASHLAND 1-1,,election_day,Ashland Recreation Building,"65 Exchange Street, Ashland, ME",,website,2020-11-01,,POINT (-68.4004716 46.6306215),POINT (-68.40033 46.63075),POINT (-68.400339 46.63092),POINT (-68.40013999999999 46.63005),POINT (-68.4004716 46.6306215)
2020-11-03,ME,Somerset,ATHENS,municipality,1-1,ATHENS 1-1,,election_day,Somerset Academy Building,"26 Academy Street, Athens, ME",,website,2020-11-01,,POINT (-69.67169419999999 44.9269807),POINT (-69.67162 44.92671),POINT (-69.671588 44.926586),POINT (-69.67162 44.92671),POINT (-69.67169419999999 44.9269807)
2020-11-03,ME,Piscataquis,ATKINSON TWP (with Sebec),municipality,1-1,ATKINSON TWP (with Sebec) 1-1,,election_day,Harland Ladd Municipal Building,"29 North Road, Sebec, ME",,website,2020-11-01,,POINT (-69.1073344 45.2403994),POINT (-69.10706999999999 45.24007),POINT (-69.107073 45.240079),POINT (-69.10706999999999 45.24007),POINT (-69.1073344 45.2403994)
2020-11-03,ME,Androscoggin,AUBURN,municipality,1-1,AUBURN 1-1,,election_day,Auburn Senior Community Center,"48 Pettengill Park Road, Auburn, ME",,website,2020-11-01,,POINT (-70.2372168 44.1090417),POINT (-70.23715 44.10844),POINT (-70.23689400000001 44.1084),POINT (-70.23717000000001 44.10872),POINT (-70.2372168 44.1090417)
2020-11-03,ME,Androscoggin,AUBURN,municipality,2-1,AUBURN 2-1,,election_day,Auburn Senior Community Center,"48 Pettengill Park Road, Auburn, ME",,website,2020-11-01,,POINT (-70.2372168 44.1090417),POINT (-70.23715 44.10844),POINT (-70.23689400000001 44.1084),POINT (-70.23717000000001 44.10872),POINT (-70.2372168 44.1090417)
2020-11-03,ME,Androscoggin,AUBURN,municipality,3-1,AUBURN 3-1,,election_day,Auburn Hall Council Chambers,"60 Court Street, Auburn, ME",,website,2020-11-01,,POINT (-70.22581439999999 44.09726999999999),POINT (-70.22571000000001 44.09686),POINT (-70.22562499999999 44.097454),POINT (-70.22575000000001 44.09744),POINT (-70.22581439999999 44.09726999999999)
2020-11-03,ME,Androscoggin,AUBURN,municipality,4-1,AUBURN 4-1,,election_day,Auburn Hall Council Chambers,"60 Court Street, Auburn, ME",,website,2020-11-01,,POINT (-70.22581439999999 44.09726999999999),POINT (-70.22571000000001 44.09686),POINT (-70.22562499999999 44.097454),POINT (-70.22575000000001 44.09744),POINT (-70.22581439999999 44.09726999999999)
2020-11-03,ME,Androscoggin,AUBURN,municipality,5-1,AUBURN 5-1,,election_day,Boys & Girls Club,"43 Second Street, Auburn, ME",,website,2020-11-01,,POINT (-70.2220038 44.0869887),POINT (-70.22195000000001 44.087),POINT (-70.221754 44.087168),POINT (-70.22195000000001 44.087),POINT (-70.2220038 44.0869887)
2020-11-03,ME,Kennebec,AUGUSTA,municipality,1-1,AUGUSTA 1-1,,election_day,Augusta Armory,"179 Western Avenue, Augusta, ME",,website,2020-11-01,,POINT (-69.7961492 44.3139181),POINT (-69.7971 44.31359),POINT (-69.796792 44.31352),POINT (-69.7967 44.31389),POINT (-69.7961492 44.3139181)
