election_date,state,county_name,jurisdiction,jurisdiction_type,precinct_id,precinct_name,polling_place_id,location_type,name,address,notes,source,source_date,source_notes,Google_geog,HERE_geog,MapQuest_geog,AzureMaps_geog,geog
2020-11-03,MD,Allegany,Allegany,county,,,,vote_center,"Allegany County Office Complex, Room 100","701 Kelly Road, Cumberland, MD 21502",,ORR,2020-11-01,,POINT (-78.78029719999999 39.6436002),POINT (-78.77916999999999 39.64428),POINT (-78.781824 39.639521),POINT (-78.78229 39.63976),POINT (-78.77916999999999 39.64428)
2020-11-03,MD,Allegany,Allegany,county,,,,vote_center,Allegany High School,"900 Seton Drive, Cumberland, MD 21502",,ORR,2020-11-01,,POINT (-78.79545159999999 39.6555171),POINT (-78.79719 39.65434),POINT (-78.795421 39.654616),POINT (-78.795 39.6545),POINT (-78.79545159999999 39.6555171)
2020-11-03,MD,Allegany,Allegany,county,,,,vote_center,Flintstone Volunteer Fire Dept,"21701 Flintstone Drive NE, Flintstone, MD 21530",,ORR,2020-11-01,,POINT (-78.5683032 39.7079203),POINT (-78.568 39.70812),POINT (-78.56796 39.707546),POINT (-78.568 39.708),POINT (-78.5683032 39.7079203)
2020-11-03,MD,Allegany,Allegany,county,,,,vote_center,Fort Hill High School,"500 Greenway Avenue, Cumberland, MD 21502",,ORR,2020-11-01,,POINT (-78.74804189999999 39.6442962),POINT (-78.74903999999999 39.64404),POINT (-78.749205 39.643309),POINT (-78.74798 39.64331),POINT (-78.74804189999999 39.6442962)
2020-11-03,MD,Allegany,Allegany,county,,,,vote_center,Mountain Ridge High School,"100 Dr. Nancy S Grasmick Lane, Frostburg, MD 21532",,ORR,2020-11-01,,POINT (-78.913442 39.6506954),POINT (-78.91197 39.65064),POINT (-78.914365 39.650392),POINT (-78.91338 39.65006),POINT (-78.913442 39.6506954)
2020-11-03,MD,Allegany,Allegany,county,,,,vote_center,Westmar Middle School,"16915 Lower Georges Creek Road SW, Lonaconing, MD 21539",,ORR,2020-11-01,,POINT (-78.9879433 39.5609601),POINT (-78.98774 39.56013),POINT (-78.986772 39.56091),POINT (-78.98741 39.56136),POINT (-78.9879433 39.5609601)
2020-11-03,MD,Anne Arundel,Anne Arundel,county,,,,vote_center,Annapolis High School,"2700 Riva Road, Annapolis, MD 21401",,ORR,2020-11-01,,POINT (-76.5656204 38.9746745),POINT (-76.56338 38.97246),POINT (-76.56199599999999 38.973232),POINT (-76.59177 38.95889),POINT (-76.5656204 38.9746745)
2020-11-03,MD,Anne Arundel,Anne Arundel,county,,,,vote_center,Arnold Elementary School,"95 E Joyce Lane, Arnold, MD 21012",,ORR,2020-11-01,,POINT (-76.50350000000002 39.033986),POINT (-76.50408 39.03446),POINT (-76.502441 39.034525),POINT (-76.50266000000001 39.03446),POINT (-76.50350000000002 39.033986)
2020-11-03,MD,Anne Arundel,Anne Arundel,county,,,,vote_center,Arundel High School,"1001 Annapolis Road, Gambrills, MD 21054",,ORR,2020-11-01,,POINT (-76.68241789999999 39.0703653),POINT (-76.6806 39.07429),POINT (-76.67950999999999 39.073589),POINT (-76.67962 39.0735),POINT (-76.68241789999999 39.0703653)
2020-11-03,MD,Anne Arundel,Anne Arundel,county,,,,vote_center,Bates Middle School,"701 Chase Street, Annapolis, MD 21401",,ORR,2020-11-01,,POINT (-76.5057341 38.9722802),POINT (-76.50391999999999 38.9725),POINT (-76.504045 38.972755),POINT (-76.50248999999999 38.98016),POINT (-76.5057341 38.9722802)
2020-11-03,MD,Anne Arundel,Anne Arundel,county,,,,vote_center,Broadneck High School,"1265 Green Holly Drive, Annapolis, MD 21409",,ORR,2020-11-01,,POINT (-76.45351549999999 39.0398132),POINT (-76.45659000000001 39.03786),POINT (-76.456805 39.038432),POINT (-76.4528 39.03862),POINT (-76.45351549999999 39.0398132)
