election_date,state,county_name,jurisdiction,jurisdiction_type,precinct_id,precinct_name,polling_place_id,location_type,name,address,notes,source,source_date,source_notes,Google_geog,HERE_geog,MapQuest_geog,AzureMaps_geog,geog
2020-11-03,MA,Plymouth,ABINGTON,municipality,0-1,ABINGTON 0-1,,election_day,EMERALD HALL (VFW),"30 CENTRAL ST, ABINGTON, MA",,ORR,2020-10-20,,POINT (-70.93271369999999 42.115938),POINT (-70.93276 42.11602),POINT (-70.93289799999999 42.116413),POINT (-70.93286999999999 42.11611),POINT (-70.93271369999999 42.115938)
2020-11-03,MA,Plymouth,ABINGTON,municipality,0-2,ABINGTON 0-2,,election_day,EMERALD HALL (VFW),"30 CENTRAL ST, ABINGTON, MA",,ORR,2020-10-20,,POINT (-70.93271369999999 42.115938),POINT (-70.93276 42.11602),POINT (-70.93289799999999 42.116413),POINT (-70.93286999999999 42.11611),POINT (-70.93271369999999 42.115938)
2020-11-03,MA,Plymouth,ABINGTON,municipality,0-3,ABINGTON 0-3,,election_day,EMERALD HALL (VFW),"30 CENTRAL ST, ABINGTON, MA",,ORR,2020-10-20,,POINT (-70.93271369999999 42.115938),POINT (-70.93276 42.11602),POINT (-70.93289799999999 42.116413),POINT (-70.93286999999999 42.11611),POINT (-70.93271369999999 42.115938)
2020-11-03,MA,Plymouth,ABINGTON,municipality,0-4,ABINGTON 0-4,,election_day,EMERALD HALL (VFW),"30 CENTRAL ST, ABINGTON, MA",,ORR,2020-10-20,,POINT (-70.93271369999999 42.115938),POINT (-70.93276 42.11602),POINT (-70.93289799999999 42.116413),POINT (-70.93286999999999 42.11611),POINT (-70.93271369999999 42.115938)
2020-11-03,MA,Plymouth,ABINGTON,municipality,0-5,ABINGTON 0-5,,election_day,EMERALD HALL (VFW),"30 CENTRAL ST, ABINGTON, MA",,ORR,2020-10-20,,POINT (-70.93271369999999 42.115938),POINT (-70.93276 42.11602),POINT (-70.93289799999999 42.116413),POINT (-70.93286999999999 42.11611),POINT (-70.93271369999999 42.115938)
2020-11-03,MA,Middlesex,ACTON,municipality,0-1,ACTON 0-1,,election_day,R J GREY JR HIGH SCHOOL,"12 CHARTER RD, ACTON, MA",,ORR,2020-10-20,,POINT (-71.45835269999999 42.4775013),POINT (-71.45838000000001 42.47755),POINT (-71.458331 42.482186),POINT (-71.45899 42.48203),POINT (-71.45835269999999 42.4775013)
2020-11-03,MA,Middlesex,ACTON,municipality,0-2,ACTON 0-2,,election_day,R J GREY JR HIGH SCHOOL,"12 CHARTER RD, ACTON, MA",,ORR,2020-10-20,,POINT (-71.45835269999999 42.4775013),POINT (-71.45838000000001 42.47755),POINT (-71.458331 42.482186),POINT (-71.45899 42.48203),POINT (-71.45835269999999 42.4775013)
2020-11-03,MA,Middlesex,ACTON,municipality,0-3,ACTON 0-3,,election_day,R J GREY JR HIGH SCHOOL,"12 CHARTER ROAD, ACTON, MA",,ORR,2020-10-20,,POINT (-71.45835269999999 42.4775013),POINT (-71.45838000000001 42.47755),POINT (-71.458331 42.482186),POINT (-71.45899 42.48203),POINT (-71.45835269999999 42.4775013)
2020-11-03,MA,Middlesex,ACTON,municipality,0-4,ACTON 0-4,,election_day,R J GREY JR HIGH SCHOOL,"12 CHARTER ROAD, ACTON, MA",,ORR,2020-10-20,,POINT (-71.45835269999999 42.4775013),POINT (-71.45838000000001 42.47755),POINT (-71.458331 42.482186),POINT (-71.45899 42.48203),POINT (-71.45835269999999 42.4775013)
2020-11-03,MA,Middlesex,ACTON,municipality,0-5,ACTON 0-5,,election_day,R J GREY JR HIGH SCHOOL,"12 CHARTER ROAD, ACTON, MA",,ORR,2020-10-20,,POINT (-71.45835269999999 42.4775013),POINT (-71.45838000000001 42.47755),POINT (-71.458331 42.482186),POINT (-71.45899 42.48203),POINT (-71.45835269999999 42.4775013)
2020-11-03,MA,Middlesex,ACTON,municipality,0-6,ACTON 0-6,,election_day,R J GREY JR HIGH SCHOOL,"12 CHARTER RD, ACTON, MA",,ORR,2020-10-20,,POINT (-71.45835269999999 42.4775013),POINT (-71.45838000000001 42.47755),POINT (-71.458331 42.482186),POINT (-71.45899 42.48203),POINT (-71.45835269999999 42.4775013)
2020-11-03,MA,Bristol,ACUSHNET,municipality,0-1,ACUSHNET 0-1,,election_day,ACUSHNET ELEMENTARY SCHOO,"800 MIDDLE ROAD, ACUSHNET, MA",,ORR,2020-10-20,,POINT (-70.9050764 41.7251898),POINT (-70.90675 41.72491),POINT (-70.906672 41.724054),POINT (-70.9054 41.72428),POINT (-70.9050764 41.7251898)
2020-11-03,MA,Bristol,ACUSHNET,municipality,0-2,ACUSHNET 0-2,,election_day,ACUSHNET ELEMENTARY SCHOO,"800 MIDDLE ROAD, ACUSHNET, MA",,ORR,2020-10-20,,POINT (-70.9050764 41.7251898),POINT (-70.90675 41.72491),POINT (-70.906672 41.724054),POINT (-70.9054 41.72428),POINT (-70.9050764 41.7251898)
2020-11-03,MA,Bristol,ACUSHNET,municipality,0-3,ACUSHNET 0-3,,election_day,ACUSHNET ELEMENTARY SCHOO,"800 MIDDLE ROAD, ACUSHNET, MA",,ORR,2020-10-20,,POINT (-70.9050764 41.7251898),POINT (-70.90675 41.72491),POINT (-70.906672 41.724054),POINT (-70.9054 41.72428),POINT (-70.9050764 41.7251898)
2020-11-03,MA,Berkshire,ADAMS,municipality,0-1,ADAMS 0-1,,election_day,ADAMS DPW GARAGE,"92 NORTH SUMMER STREET, ADAMS, MA",,ORR,2020-10-20,,POINT (-73.1108488 42.6323116),POINT (-73.11116 42.63246),POINT (-73.110175 42.632229),POINT (-73.11073 42.63225),POINT (-73.1108488 42.6323116)
