election_date,state,county_name,jurisdiction,jurisdiction_type,precinct_id,precinct_name,polling_place_id,location_type,name,address,notes,source,source_date,source_notes,Google_geog,HERE_geog,MapQuest_geog,AzureMaps_geog,geog
2020-11-03,MI,ALCONA,ALCONA TOWNSHIP,municipality,1,,1285,election_day,ALCONA TOWNSHIP HALL,"5576 U.S. 23 SOUTH, BLACK RIVER MI 48721",,ORR,2020-10-15,,POINT (-83.3601563 44.8169203),POINT (-83.36094 44.81721),POINT (-83.36068 44.816663),POINT (-83.36027 44.81689),POINT (-83.3601563 44.8169203)
2020-11-03,MI,ALCONA,CALEDONIA TOWNSHIP,municipality,1,,1286,election_day,CALEDONIA TWP. HALL,"6461 GILLARD RD., SPRUCE MI 48762",,ORR,2020-10-15,,POINT (-83.4663618 44.84312389999999),POINT (-83.46611 44.84309),POINT (-83.465943 44.843254),POINT (-83.40579 44.84218),POINT (-83.4663618 44.84312389999999)
2020-11-03,MI,ALCONA,CURTIS TOWNSHIP,municipality,1,,810,election_day,CURTIS TOWNSHIP FIRE HALL,"5019 BAMFIELD ROAD, GLENNIE MI 48737",,ORR,2020-10-15,,POINT (-83.72668609999999 44.5603437),POINT (-83.72646 44.56046),POINT (-83.73032000000001 44.56058),POINT (-83.74845999999999 44.42357),POINT (-83.72668609999999 44.5603437)
2020-11-03,MI,ALCONA,GREENBUSH TOWNSHIP,municipality,1,,809,election_day,GREENBUSH TWP HALL,"5039 E. CAMPBELL STREET, GREENBUSH MI 48738",,ORR,2020-10-15,,POINT (-83.3180813 44.58587860000001),POINT (-83.32211 44.58581),POINT (-83.321793 44.585984),POINT (-83.32178 44.58588),POINT (-83.3180813 44.58587860000001)
2020-11-03,MI,ALCONA,GUSTIN TOWNSHIP,municipality,1,,1289,election_day,GUSTIN TWP. HALL,"113 S. SECOND ST., LINCOLN MI 48742",,ORR,2020-10-15,,POINT (-83.41176 44.68563390000001),POINT (-83.41186 44.68561),,POINT (-96.96167 35.87136),POINT (-83.41176 44.68563390000001)
2020-11-03,MI,ALCONA,HARRISVILLE CITY,municipality,1,,1290,election_day,CITY HALL,"200 N. FIFTH ST., HARRISVILLE MI 48740",,ORR,2020-10-15,,POINT (-83.295985 44.6588649),POINT (-83.29595 44.65831),POINT (-83.296457 44.657322),POINT (-83.2963 44.65726),POINT (-83.295985 44.6588649)
2020-11-03,MI,ALCONA,HARRISVILLE TOWNSHIP,municipality,1,,1291,election_day,HARRISVILLE TWP.HALL,"114 S. POOR FARM RD., HARRISVILLE MI 48740",,ORR,2020-10-15,,POINT (-83.3421403 44.6531825),POINT (-83.34216000000001 44.65386),POINT (-83.34203599999999 44.653305),POINT (-88.49117 42.32647),POINT (-83.3421403 44.6531825)
2020-11-03,MI,ALCONA,HAWES TOWNSHIP,municipality,1,,1292,election_day,VFW HALL POST 8135,"2120 W. TRASK LAKE RD., BARTON CITY MI 48705",,ORR,2020-10-15,,POINT (-83.61167209999999 44.6835929),POINT (-83.61315999999999 44.68343),POINT (-83.610619 44.683273),POINT (-86.18902 43.36566),POINT (-83.61167209999999 44.6835929)
2020-11-03,MI,ALCONA,HAYNES TOWNSHIP,municipality,1,,1293,election_day,HAYNES TWP. HALL,"3930 E. MCNEIL RD., LINCOLN MI 48742",,ORR,2020-10-15,,POINT (-83.36683339999999 44.74286770000001),POINT (-83.37587000000001 44.74291),POINT (-83.36176399999999 44.743425),POINT (-111.95568 43.51075),POINT (-83.36683339999999 44.74286770000001)
2020-11-03,MI,ALCONA,MIKADO TOWNSHIP,municipality,1,,1294,election_day,MIKADO TWP. HALL,"2291 S. F-41, POB 60, MIKADO MI 48745",,ORR,2020-10-15,,POINT (-83.41667169999999 44.4978105),POINT (-83.42237 44.59119),,,POINT (-83.41667169999999 44.4978105)
