election_date,state,county_name,jurisdiction,jurisdiction_type,precinct_id,precinct_name,polling_place_id,location_type,name,address,notes,source,source_date,source_notes,Google_geog,HERE_geog,MapQuest_geog,AzureMaps_geog,geog
2020-11-03,MN,Aitkin,Aitkin,county,0005,AITKIN,12646,election_day,CITY OF AITKIN - PUBLIC LIBRARY,110 1ST AVE NE AITKIN MN 56431,COMMUNITY ROOM,ORR,2020-10-05,,POINT (-93.7047237 46.53265440000001),POINT (-93.70465 46.53268),POINT (-93.70508599999999 46.532678),POINT (-93.70464 46.53267),POINT (-93.7047237 46.53265440000001)
2020-11-03,MN,Aitkin,Aitkin,county,0010,AITKIN TWP,32165,election_day,MAIL BALLOTING (AITKIN TWP),307 2ND ST NW RM 121 AITKIN MN 56431,"For this election, the ballot will be mailed to all registered voters.;YOUR BALLOT WILL BE MAILED TO YOU FOR ALL STATE & FEDERAL ELECTIONS",ORR,2020-10-05,,POINT (-93.71158029999999 46.5329676),POINT (-93.71111000000001 46.5332),POINT (-93.711214 46.533356),POINT (-93.95807000000001 46.48442),POINT (-93.71158029999999 46.5329676)
2020-11-03,MN,Aitkin,Aitkin,county,0015,BALL BLUFF TWP,31968,election_day,MAIL BALLOTING (BALL BLUFF TWP),307 2ND ST NW RM 121 AITKIN MN 56431,"For this election, the ballot will be mailed to all registered voters.;YOUR BALLOT WILL BE MAILED TO YOU FOR STATE & FEDERAL ELECTIONS",ORR,2020-10-05,,POINT (-93.71158029999999 46.5329676),POINT (-93.71111000000001 46.5332),POINT (-93.711214 46.533356),POINT (-93.95807000000001 46.48442),POINT (-93.71158029999999 46.5329676)
2020-11-03,MN,Aitkin,Aitkin,county,0020,BALSAM TWP,29898,election_day,MAIL BALLOTING (BALSAM TWP),307 2ND ST NW RM 121 AITKIN MN 56431,"For this election, the ballot will be mailed to all registered voters.;YOUR BALLOT WILL BE MAILED TO YOU FOR STATE & FEDERAL ELECTIONS",ORR,2020-10-05,,POINT (-93.71158029999999 46.5329676),POINT (-93.71111000000001 46.5332),POINT (-93.711214 46.533356),POINT (-93.95807000000001 46.48442),POINT (-93.71158029999999 46.5329676)
2020-11-03,MN,Aitkin,Aitkin,county,0025,BEAVER TWP,29643,election_day,MAIL BALLOTING (BEAVER TWP),307 2ND ST NW RM 121 AITKIN MN 56431,"For this election, the ballot will be mailed to all registered voters.;YOUR BALLOT WILL BE MAILED TO YOU FOR STATE & FEDERAL ELECTIONS",ORR,2020-10-05,,POINT (-93.71158029999999 46.5329676),POINT (-93.71111000000001 46.5332),POINT (-93.711214 46.533356),POINT (-93.95807000000001 46.48442),POINT (-93.71158029999999 46.5329676)
2020-11-03,MN,Aitkin,Aitkin,county,0030,CLARK TWP,27737,election_day,TAMARACK SNO-FLYERS BUILDING,195 MAIN ST N TAMARACK MN 55787,,ORR,2020-10-05,,POINT (-93.12765639999999 46.6459744),POINT (-93.12774 46.646),POINT (-93.127387 46.646208),POINT (-93.12774 46.646),POINT (-93.12765639999999 46.6459744)
2020-11-03,MN,Aitkin,Aitkin,county,0035,CORNISH TWP,27666,election_day,MAIL BALLOTING (CORNISH TWP),307 2ND ST NW RM 121 AITKIN MN 56431,"For this election, the ballot will be mailed to all registered voters.;YOUR BALLOT WILL BE MAILED TO YOU FOR STATE & FEDERAL ELECTIONS",ORR,2020-10-05,,POINT (-93.71158029999999 46.5329676),POINT (-93.71111000000001 46.5332),POINT (-93.711214 46.533356),POINT (-93.95807000000001 46.48442),POINT (-93.71158029999999 46.5329676)
2020-11-03,MN,Aitkin,Aitkin,county,0038,UNORG 47-24 (DAVIDSON UNORG),32202,election_day,MAIL BALLOTING (UNORG 47-24/DAVIDSON),307 2ND ST NW RM 121 AITKIN MN 56431,"For this election, the ballot will be mailed to all registered voters.;BALLOTS WILL BE MAILED TO YOU FOR FED, STATE, COUNTY ELECTIONS",ORR,2020-10-05,,POINT (-93.71158029999999 46.5329676),POINT (-93.71111000000001 46.5332),POINT (-93.711214 46.533356),POINT (-93.95807000000001 46.48442),POINT (-93.71158029999999 46.5329676)
2020-11-03,MN,Aitkin,Aitkin,county,0040,FARM ISLAND TWP,13789,election_day,FARM ISLAND TOWN HALL,32788 416TH AVE AITKIN MN 56431,,ORR,2020-10-05,,POINT (-93.7215808 46.4859106),POINT (-93.72162 46.48592),POINT (-93.722252 46.485857),POINT (-93.72163 46.48592),POINT (-93.7215808 46.4859106)
2020-11-03,MN,Aitkin,Aitkin,county,0045,FLEMING TWP,13878,election_day,FLEMING TOWN HALL,29977 430TH LN AITKIN MN 56431,,ORR,2020-10-05,,POINT (-93.4843015 46.6377436),POINT (-93.77012999999999 46.48818),,POINT (-93.53377999999999 44.96823),POINT (-93.4843015 46.6377436)
