election_date,state,county_name,jurisdiction,jurisdiction_type,precinct_id,precinct_name,polling_place_id,location_type,name,address,notes,source,source_date,source_notes,Google_geog,HERE_geog,MapQuest_geog,AzureMaps_geog,geog
2020-11-03,NE,Adams,Adams,county,,,,election_day,Barrett Alumni Center - 1001 N 6th Ave 26 4-C,"1001 N 6th Ave, Hastings, NE 68901",,ORR,2020-10-21,,POINT (-98.36476879999999 40.5952565),POINT (-98.36478 40.59514),POINT (-98.364301 40.595136),POINT (-98.36476999999999 40.59522),POINT (-98.36476879999999 40.5952565)
2020-11-03,NE,Adams,Adams,county,,,,election_day,Kenesaw Senior Center,"110 W Maple Ave, Kenesaw, NE 68956",,ORR,2020-10-21,,POINT (-98.6581248 40.6213948),POINT (-98.65795 40.62111),POINT (-98.658205 40.621263),POINT (-98.65819999999999 40.62141),POINT (-98.6581248 40.6213948)
2020-11-03,NE,Adams,Adams,county,,,,election_day,Lincoln Park Fire Stat.-1145 S Hastings 11 1-A,"1145 S Hastings Ave, Hastings, NE 68901",,ORR,2020-10-21,,POINT (-98.38955679999999 40.5685745),POINT (-98.38958 40.56858),POINT (-98.39001399999999 40.568669),POINT (-98.3896 40.56858),POINT (-98.38955679999999 40.5685745)
2020-11-03,NE,Adams,Adams,county,,,,election_day,1st Christian Church 16 2-C,"1201 Sheridan, Hastings, NE 68901",,ORR,2020-10-21,,POINT (-98.4104126 40.5976072),POINT (-98.41039000000001 40.59763),POINT (-98.40980500000001 40.597787),POINT (-98.41041 40.59781),POINT (-98.4104126 40.5976072)
2020-11-03,NE,Adams,Adams,county,,,,election_day,Juniata Fire Hall 02 Verona,"1202 N Juniata Ave, Juniata, NE 68955",,ORR,2020-10-21,,POINT (-98.50660859999999 40.5971808),POINT (-98.50644 40.60332),POINT (-98.506383 40.59542),POINT (-98.50456 40.59563),POINT (-98.50660859999999 40.5971808)
2020-11-03,NE,Adams,Adams,county,,,,election_day,Ayr School,"1270 S First St, Ayr, NE 68925",,ORR,2020-10-21,,POINT (-98.4419693 40.437169),,,POINT (-114.01531 46.86912),POINT (-98.4419693 40.437169)
2020-11-03,NE,Adams,Adams,county,,,,election_day,Church of the Good Shepherd 21 3-C,"1338 N Saunders Ave, Hastings, NE 68901",,ORR,2020-10-21,,POINT (-98.39636539999999 40.6003668),POINT (-98.39662 40.60035),POINT (-98.396888 40.600198),POINT (-98.39660000000001 40.60033),POINT (-98.39636539999999 40.6003668)
2020-11-03,NE,Adams,Adams,county,,,,election_day,Evangel. Free Church-2015 N St Joe 23 3-E,"2015 N Saint Joseph Ave, Hastings, NE 68901",,ORR,2020-10-21,,POINT (-98.3878441 40.606545),POINT (-98.38817 40.60673),POINT (-98.38731300000001 40.607299),POINT (-98.3879 40.6073),POINT (-98.3878441 40.606545)
2020-11-03,NE,Adams,Adams,county,,,,election_day,Crosier Park 223 E 14th St 25 4-B,"223 E 14th St, Hastings, NE 68901",,ORR,2020-10-21,,POINT (-98.37873169999999 40.6014759),POINT (-98.37873 40.60148),POINT (-98.378725 40.600742),POINT (-98.37923000000001 40.60142),POINT (-98.37873169999999 40.6014759)
2020-11-03,NE,Adams,Adams,county,,,,election_day,1st Congregational Church 14 2-A,"2810 W 7th St, Hastings, NE 68901",,ORR,2020-10-21,,POINT (-98.4213724 40.5906957),POINT (-98.42137 40.5907),POINT (-98.42145499999999 40.590175),POINT (-98.42133 40.59063),POINT (-98.4213724 40.5906957)
2020-11-03,NE,Adams,Adams,county,,,,election_day,Hastings Airport-Terminal Bldg 01 West Blue/Highla,"3300 W 12th St, Hastings, NE 68901",,ORR,2020-10-21,,POINT (-98.42748170000002 40.59709489999999),POINT (-98.42746 40.59997),POINT (-98.427931 40.597025),POINT (-98.42752 40.59998),POINT (-98.42748170000002 40.59709489999999)
2020-11-03,NE,Adams,Adams,county,,,,election_day,Dawson Bldg-Fir Rm Ccc 06 Blaine,"550 S Technical Blvd, PO Box 1024, Hastings, NE 68902",,ORR,2020-10-21,,POINT (-98.33168809999999 40.5775083),POINT (-98.32669 40.56993),,,POINT (-98.33168809999999 40.5775083)
2020-11-03,NE,Adams,Adams,county,,,,election_day,Peace Lutheran - 906 N California 24 4-A,"906 N California Ave, Hastings, NE 68901",,ORR,2020-10-21,,POINT (-98.378018 40.593761),POINT (-98.37801 40.59379),POINT (-98.378309 40.593794),POINT (-98.37797999999999 40.59382),POINT (-98.378018 40.593761)
2020-11-03,NE,Adams,Adams,county,,,,election_day,Senior Center - Gsv 13 1-C,"926 East E St, Hastings, NE 68901",,ORR,2020-10-21,,POINT (-98.36885199999999 40.57767),POINT (-98.36884999999999 40.57766),POINT (-98.36743199999999 40.577853),POINT (-98.37117000000001 40.58216),POINT (-98.36885199999999 40.57767)
2020-11-03,NE,Adams,Adams,county,,,,election_day,Comm Serv Bldg - Fairgrounds 05 Denver,"947 S Baltimore Ave, Hastings, NE 68901",,ORR,2020-10-21,,POINT (-98.4012901 40.57284540000001),POINT (-98.40115 40.57189),POINT (-98.40212099999999 40.568669),POINT (-98.39975 40.56862),POINT (-98.4012901 40.57284540000001)
2020-11-03,NE,Adams,Adams,county,,,,election_day,Holstein Fire Hall 10 Holstein,"9610 S Holstein Ave, Holstein, NE 68950",,ORR,2020-10-21,,POINT (-98.64841389999999 40.4661214),POINT (-98.64851 40.46607),POINT (-98.648174 40.466074),POINT (-98.64843 40.46606),POINT (-98.64841389999999 40.4661214)
2020-11-03,NE,Adams,Adams,county,,,,election_day,Roseland Town Hall 09 Roseland,"PO Box 170, Roseland, NE 68973",,ORR,2020-10-21,,POINT (-98.55867599999999 40.4700143),,,,POINT (-98.55867599999999 40.4700143)
2020-11-03,NE,Adams,Adams,county,,,,election_day,1st St Pauls Luth - 918 W 4th St 19 3-a,"YOUTH AND FAMILY CENTER, 418 W 4TH ST, Hastings, NE 68901",,ORR,2020-10-21,,POINT (-98.3869886 40.58724309999999),,,POINT (-98.38697999999999 40.59732),POINT (-98.3869886 40.58724309999999)
2020-11-03,NE,Antelope,Antelope,county,,,,election_day,American Legion Club Post 172,"115 W 3rd St, Joyce Cameron, Neligh, NE 68756",,ORR,2020-10-21,,POINT (-98.030964 42.127335),POINT (-98.03086 42.12715),,POINT (-98.03086 42.12715),POINT (-98.030964 42.127335)
2020-11-03,NE,Antelope,Antelope,county,,,,election_day,American Legion Post 267,"507 Main St, PO Box 104, Clearwater, NE 68726",,ORR,2020-10-21,,POINT (-98.1886715 42.1702771),POINT (-98.18819999999999 42.17582),,POINT (-98.19309 42.17057),POINT (-98.1886715 42.1702771)
2020-11-03,NE,Antelope,Antelope,county,,,,election_day,Brunswick Community Room,"203 Franklin Street, Ashlee Masat, Brunswick, NE 68720",,ORR,2020-10-21,,POINT (-97.9706255 42.3368289),POINT (-97.97042999999999 42.33733),,POINT (-97.26711 42.61945),POINT (-97.9706255 42.3368289)
