election_date,state,county_name,jurisdiction,jurisdiction_type,precinct_id,precinct_name,polling_place_id,location_type,name,address,notes,source,source_date,source_notes,Google_geog,HERE_geog,MapQuest_geog,AzureMaps_geog,geog
2020-11-03,NV,Eureka,Eureka,county,1,,,election_day,Courthouse,"10 S. Main St., NV 89316",Clerk Recorder's Office,Website,2020-10-26,,POINT (-115.9611209 39.5122776),POINT (-115.96119 39.51217),POINT (-115.96084 39.512223),POINT (-115.9612 39.51226),POINT (-115.9611209 39.5122776)
2020-11-03,NV,Eureka,Eureka,county,2,,,election_day,Courthouse,"10 S. Main St., NV 89316",Clerk Recorder's Office,Website,2020-10-26,,POINT (-115.9611209 39.5122776),POINT (-115.96119 39.51217),POINT (-115.96084 39.512223),POINT (-115.9612 39.51226),POINT (-115.9611209 39.5122776)
2020-11-03,NV,Eureka,Eureka,county,3,,,election_day,Crescent Valley Community Center,"64 McDaniel Way, NV 89821",Community Center,Website,2020-10-26,,POINT (-116.5746608 40.421233),POINT (-116.57569 40.42133),POINT (-116.583279 40.421094),POINT (-115.09648 36.03122),POINT (-116.5746608 40.421233)
2020-11-03,NV,Eureka,Eureka,county,4,,,election_day,Crescent Valley Community Center,"64 McDaniel Way, NV 89821",Community Center,Website,2020-10-26,,POINT (-116.5746608 40.421233),POINT (-116.57569 40.42133),POINT (-116.583279 40.421094),POINT (-115.09648 36.03122),POINT (-116.5746608 40.421233)
2020-11-03,NV,Douglas,Douglas,county,1,,,election_day,DOUGLAS COUNTY COMMUNITY CENTER,"1329 WATERLOO LANE, NV 89410",UNKNOWN,Website,2020-10-26,,POINT (-119.740625 38.93332669999999),POINT (-119.74068 38.93473),,POINT (-119.7395 38.93329),POINT (-119.740625 38.93332669999999)
2020-11-03,NV,Douglas,Douglas,county,2,,,election_day,DOUGLAS COUNTY COMMUNITY CENTER,"1329 WATERLOO LANE, NV 89410",UNKNOWN,Website,2020-10-26,,POINT (-119.740625 38.93332669999999),POINT (-119.74068 38.93473),,POINT (-119.7395 38.93329),POINT (-119.740625 38.93332669999999)
2020-11-03,NV,Douglas,Douglas,county,3,,,election_day,DOUGLAS COUNTY COMMUNITY CENTER,"1329 WATERLOO LANE, NV 89410",UNKNOWN,Website,2020-10-26,,POINT (-119.740625 38.93332669999999),POINT (-119.74068 38.93473),,POINT (-119.7395 38.93329),POINT (-119.740625 38.93332669999999)
2020-11-03,NV,Douglas,Douglas,county,4,,,election_day,DOUGLAS COUNTY COMMUNITY CENTER,"1329 WATERLOO LANE, NV 89410",UNKNOWN,Website,2020-10-26,,POINT (-119.740625 38.93332669999999),POINT (-119.74068 38.93473),,POINT (-119.7395 38.93329),POINT (-119.740625 38.93332669999999)
2020-11-03,NV,Douglas,Douglas,county,5,,,election_day,DOUGLAS COUNTY COMMUNITY CENTER,"1329 WATERLOO LANE, NV 89410",UNKNOWN,Website,2020-10-26,,POINT (-119.740625 38.93332669999999),POINT (-119.74068 38.93473),,POINT (-119.7395 38.93329),POINT (-119.740625 38.93332669999999)
2020-11-03,NV,Douglas,Douglas,county,6,,,election_day,DOUGLAS COUNTY COMMUNITY CENTER,"1329 WATERLOO LANE, NV 89410",UNKNOWN,Website,2020-10-26,,POINT (-119.740625 38.93332669999999),POINT (-119.74068 38.93473),,POINT (-119.7395 38.93329),POINT (-119.740625 38.93332669999999)
2020-11-03,NV,Douglas,Douglas,county,7,,,election_day,DOUGLAS COUNTY COMMUNITY CENTER,"1329 WATERLOO LANE, NV 89410",UNKNOWN,Website,2020-10-26,,POINT (-119.740625 38.93332669999999),POINT (-119.74068 38.93473),,POINT (-119.7395 38.93329),POINT (-119.740625 38.93332669999999)
2020-11-03,NV,Douglas,Douglas,county,8,,,election_day,DOUGLAS COUNTY COMMUNITY CENTER,"1329 WATERLOO LANE, NV 89410",UNKNOWN,Website,2020-10-26,,POINT (-119.740625 38.93332669999999),POINT (-119.74068 38.93473),,POINT (-119.7395 38.93329),POINT (-119.740625 38.93332669999999)
2020-11-03,NV,Douglas,Douglas,county,9,,,election_day,DOUGLAS COUNTY COMMUNITY CENTER,"1329 WATERLOO LANE, NV 89410",UNKNOWN,Website,2020-10-26,,POINT (-119.740625 38.93332669999999),POINT (-119.74068 38.93473),,POINT (-119.7395 38.93329),POINT (-119.740625 38.93332669999999)
2020-11-03,NV,Douglas,Douglas,county,10,,,election_day,DOUGLAS COUNTY COMMUNITY CENTER,"1329 WATERLOO LANE, NV 89410",UNKNOWN,Website,2020-10-26,,POINT (-119.740625 38.93332669999999),POINT (-119.74068 38.93473),,POINT (-119.7395 38.93329),POINT (-119.740625 38.93332669999999)
2020-11-03,NV,Douglas,Douglas,county,11,,,election_day,DOUGLAS COUNTY COMMUNITY CENTER,"1329 WATERLOO LANE, NV 89410",UNKNOWN,Website,2020-10-26,,POINT (-119.740625 38.93332669999999),POINT (-119.74068 38.93473),,POINT (-119.7395 38.93329),POINT (-119.740625 38.93332669999999)
2020-11-03,NV,Douglas,Douglas,county,12,,,election_day,DOUGLAS COUNTY COMMUNITY CENTER,"1329 WATERLOO LANE, NV 89410",UNKNOWN,Website,2020-10-26,,POINT (-119.740625 38.93332669999999),POINT (-119.74068 38.93473),,POINT (-119.7395 38.93329),POINT (-119.740625 38.93332669999999)
2020-11-03,NV,Douglas,Douglas,county,13,,,election_day,DOUGLAS COUNTY COMMUNITY CENTER,"1329 WATERLOO LANE, NV 89410",UNKNOWN,Website,2020-10-26,,POINT (-119.740625 38.93332669999999),POINT (-119.74068 38.93473),,POINT (-119.7395 38.93329),POINT (-119.740625 38.93332669999999)
2020-11-03,NV,Douglas,Douglas,county,14,,,election_day,DOUGLAS COUNTY COMMUNITY CENTER,"1329 WATERLOO LANE, NV 89410",UNKNOWN,Website,2020-10-26,,POINT (-119.740625 38.93332669999999),POINT (-119.74068 38.93473),,POINT (-119.7395 38.93329),POINT (-119.740625 38.93332669999999)
2020-11-03,NV,Douglas,Douglas,county,15,,,election_day,DOUGLAS COUNTY COMMUNITY CENTER,"1329 WATERLOO LANE, NV 89410",UNKNOWN,Website,2020-10-26,,POINT (-119.740625 38.93332669999999),POINT (-119.74068 38.93473),,POINT (-119.7395 38.93329),POINT (-119.740625 38.93332669999999)
2020-11-03,NV,Douglas,Douglas,county,16,,,election_day,DOUGLAS COUNTY COMMUNITY CENTER,"1329 WATERLOO LANE, NV 89410",UNKNOWN,Website,2020-10-26,,POINT (-119.740625 38.93332669999999),POINT (-119.74068 38.93473),,POINT (-119.7395 38.93329),POINT (-119.740625 38.93332669999999)
2020-11-03,NV,Douglas,Douglas,county,17,,,election_day,DOUGLAS COUNTY COMMUNITY CENTER,"1329 WATERLOO LANE, NV 89410",UNKNOWN,Website,2020-10-26,,POINT (-119.740625 38.93332669999999),POINT (-119.74068 38.93473),,POINT (-119.7395 38.93329),POINT (-119.740625 38.93332669999999)
2020-11-03,NV,Douglas,Douglas,county,18,,,election_day,DOUGLAS COUNTY COMMUNITY CENTER,"1329 WATERLOO LANE, NV 89410",UNKNOWN,Website,2020-10-26,,POINT (-119.740625 38.93332669999999),POINT (-119.74068 38.93473),,POINT (-119.7395 38.93329),POINT (-119.740625 38.93332669999999)
2020-11-03,NV,Douglas,Douglas,county,19,,,election_day,DOUGLAS COUNTY COMMUNITY CENTER,"1329 WATERLOO LANE, NV 89410",UNKNOWN,Website,2020-10-26,,POINT (-119.740625 38.93332669999999),POINT (-119.74068 38.93473),,POINT (-119.7395 38.93329),POINT (-119.740625 38.93332669999999)
2020-11-03,NV,Douglas,Douglas,county,20,,,election_day,DOUGLAS COUNTY COMMUNITY CENTER,"1329 WATERLOO LANE, NV 89410",UNKNOWN,Website,2020-10-26,,POINT (-119.740625 38.93332669999999),POINT (-119.74068 38.93473),,POINT (-119.7395 38.93329),POINT (-119.740625 38.93332669999999)
2020-11-03,NV,Douglas,Douglas,county,21,,,election_day,DOUGLAS COUNTY COMMUNITY CENTER,"1329 WATERLOO LANE, NV 89410",UNKNOWN,Website,2020-10-26,,POINT (-119.740625 38.93332669999999),POINT (-119.74068 38.93473),,POINT (-119.7395 38.93329),POINT (-119.740625 38.93332669999999)
2020-11-03,NV,Douglas,Douglas,county,22,,,election_day,DOUGLAS COUNTY COMMUNITY CENTER,"1329 WATERLOO LANE, NV 89410",UNKNOWN,Website,2020-10-26,,POINT (-119.740625 38.93332669999999),POINT (-119.74068 38.93473),,POINT (-119.7395 38.93329),POINT (-119.740625 38.93332669999999)
2020-11-03,NV,Douglas,Douglas,county,23,,,election_day,DOUGLAS COUNTY COMMUNITY CENTER,"1329 WATERLOO LANE, NV 89410",UNKNOWN,Website,2020-10-26,,POINT (-119.740625 38.93332669999999),POINT (-119.74068 38.93473),,POINT (-119.7395 38.93329),POINT (-119.740625 38.93332669999999)
2020-11-03,NV,Douglas,Douglas,county,24,,,election_day,DOUGLAS COUNTY COMMUNITY CENTER,"1329 WATERLOO LANE, NV 89410",UNKNOWN,Website,2020-10-26,,POINT (-119.740625 38.93332669999999),POINT (-119.74068 38.93473),,POINT (-119.7395 38.93329),POINT (-119.740625 38.93332669999999)
2020-11-03,NV,Douglas,Douglas,county,25,,,election_day,DOUGLAS COUNTY COMMUNITY CENTER,"1329 WATERLOO LANE, NV 89410",UNKNOWN,Website,2020-10-26,,POINT (-119.740625 38.93332669999999),POINT (-119.74068 38.93473),,POINT (-119.7395 38.93329),POINT (-119.740625 38.93332669999999)
2020-11-03,NV,Douglas,Douglas,county,26,,,election_day,DOUGLAS COUNTY COMMUNITY CENTER,"1329 WATERLOO LANE, NV 89410",UNKNOWN,Website,2020-10-26,,POINT (-119.740625 38.93332669999999),POINT (-119.74068 38.93473),,POINT (-119.7395 38.93329),POINT (-119.740625 38.93332669999999)
2020-11-03,NV,Douglas,Douglas,county,27,,,election_day,DOUGLAS COUNTY COMMUNITY CENTER,"1329 WATERLOO LANE, NV 89410",UNKNOWN,Website,2020-10-26,,POINT (-119.740625 38.93332669999999),POINT (-119.74068 38.93473),,POINT (-119.7395 38.93329),POINT (-119.740625 38.93332669999999)
2020-11-03,NV,Douglas,Douglas,county,28,,,election_day,DOUGLAS COUNTY COMMUNITY CENTER,"1329 WATERLOO LANE, NV 89410",UNKNOWN,Website,2020-10-26,,POINT (-119.740625 38.93332669999999),POINT (-119.74068 38.93473),,POINT (-119.7395 38.93329),POINT (-119.740625 38.93332669999999)
2020-11-03,NV,Douglas,Douglas,county,29,,,election_day,DOUGLAS COUNTY COMMUNITY CENTER,"1329 WATERLOO LANE, NV 89410",UNKNOWN,Website,2020-10-26,,POINT (-119.740625 38.93332669999999),POINT (-119.74068 38.93473),,POINT (-119.7395 38.93329),POINT (-119.740625 38.93332669999999)
2020-11-03,NV,Douglas,Douglas,county,30,,,election_day,DOUGLAS COUNTY COMMUNITY CENTER,"1329 WATERLOO LANE, NV 89410",UNKNOWN,Website,2020-10-26,,POINT (-119.740625 38.93332669999999),POINT (-119.74068 38.93473),,POINT (-119.7395 38.93329),POINT (-119.740625 38.93332669999999)
