election_date,state,county_name,jurisdiction,jurisdiction_type,precinct_id,precinct_name,polling_place_id,location_type,name,address,notes,source,source_date,source_notes,Google_geog,HERE_geog,MapQuest_geog,AzureMaps_geog,geog
2020-11-03,NH,,ACWORTH,municipality,,,,election_day,Acworth Town Hall,13 Town Hall Rd Acworth NH 03601,,scraper,2020-10-27,,POINT (-72.29436199999999 43.219094),POINT (-72.29437 43.21893),,POINT (-71.15121000000001 44.1031),POINT (-72.29436199999999 43.219094)
2020-11-03,NH,,ALBANY,municipality,,,,election_day,Albany Town Hall,1972 Route 16 Albany NH 03818,,scraper,2020-10-27,,POINT (-71.19799519999999 43.9593765),POINT (-71.19344 43.96011),,POINT (-71.19342 43.96051),POINT (-71.19799519999999 43.9593765)
2020-11-03,NH,,ALEXANDRIA,municipality,,,,election_day,Old Town Hall,45 Washburn Rd Alexandria NH 03222,,scraper,2020-10-27,,POINT (-71.79575919999999 43.6128487),POINT (-71.79582000000001 43.61222),,POINT (-71.75332 43.62824),POINT (-71.79575919999999 43.6128487)
2020-11-03,NH,,ALLENSTOWN,municipality,,,,election_day,St Jean The Baptist Parish,Hall 10 School St Allenstown NH 03275,,scraper,2020-10-27,,POINT (-71.45400819999999 43.1271312),POINT (-71.45319000000001 43.12707),,POINT (-71.45243000000001 43.1271),POINT (-71.45400819999999 43.1271312)
2020-11-03,NH,,ALSTEAD,municipality,,,,election_day,Town Hall,9 Main St Alstead NH 03602,,scraper,2020-10-27,,POINT (-72.3613289 43.1482558),POINT (-72.36123000000001 43.14866),,POINT (-72.36060000000001 43.14937),POINT (-72.3613289 43.1482558)
2020-11-03,NH,,ALTON,municipality,,,,election_day,St. Katharine Drexel Church,40 Hidden Spring Rd Alton NH 03809,,scraper,2020-10-27,,POINT (-71.21904870000002 43.5069659),POINT (-71.21858 43.50681),,POINT (-71.21937 43.50762),POINT (-71.21904870000002 43.5069659)
2020-11-03,NH,,AMHERST,municipality,,,,election_day,Souhegan High School,412 Boston Post Rd Amherst NH 03031,,scraper,2020-10-27,,POINT (-71.57877599999999 42.826047),POINT (-71.57897 42.82606),,POINT (-71.57877999999999 42.82605),POINT (-71.57877599999999 42.826047)
2020-11-03,NH,,ANDOVER,municipality,,,,election_day,Andover Elementary Middle,School 20 School St Andover NH 03216,,scraper,2020-10-27,,POINT (-71.8230652 43.4365471),POINT (-71.82134000000001 43.43634),,POINT (-71.13809999999999 42.65028),POINT (-71.8230652 43.4365471)
2020-11-03,NH,,ANTRIM,municipality,,,,election_day,Antrim Town Hall,66 Main St Antrim NH 03440,,scraper,2020-10-27,,POINT (-71.93842049999999 43.0298446),POINT (-71.93859 43.02983),,POINT (-71.93859 43.02983),POINT (-71.93842049999999 43.0298446)
2020-11-03,NH,,ASHLAND,municipality,,,,election_day,William J. Tirone Gymnasium,27 Highland St Ashland NH 03217,,scraper,2020-10-27,,POINT (-71.6334791 43.6974722),POINT (-71.63297 43.69673),,POINT (-71.62730999999999 43.69144),POINT (-71.6334791 43.6974722)
