election_date,state,county_name,jurisdiction,jurisdiction_type,precinct_id,precinct_name,polling_place_id,location_type,name,address,notes,source,source_date,source_notes,Google_geog,HERE_geog,MapQuest_geog,AzureMaps_geog,geog
2020-11-03,NM,Bernalillo,Bernalillo,county,,,,unknown,VCC 01 - 98th and Central Shopping Center,"120 98th St NW, Suite B101 B102, Albuquerque, NM 87121",,ORR,2020-10-22,,POINT (-106.7419392 35.074941),POINT (-106.74305 35.07353),POINT (-106.74298 35.074821),POINT (-106.74192 35.07498),POINT (-106.7419392 35.074941)
2020-11-03,NM,Bernalillo,Bernalillo,county,,,,unknown,VCC 21 - A Montoya Elementary School,"24 Public School Rd, Tijeras, NM 87059",,ORR,2020-10-22,,POINT (-106.39066 35.076937),POINT (-106.39411 35.0768),POINT (-106.394115 35.077451),POINT (-106.39391 35.07679),POINT (-106.39066 35.076937)
2020-11-03,NM,Bernalillo,Bernalillo,county,,,,unknown,VCC 22 - Adobe Acres Elementary School,"1724 Camino del Valle SW, Albuquerque, NM 87105",,ORR,2020-10-22,,POINT (-106.6856197 35.0218272),POINT (-106.68638 35.02221),POINT (-106.685892 35.021577),POINT (-106.6856 35.02178),POINT (-106.6856197 35.0218272)
2020-11-03,NM,Bernalillo,Bernalillo,county,,,,unknown,VCC 23 - Albuquerque High School,"800 Odelia Rd NE, Albuquerque, NM 87102",,ORR,2020-10-22,,POINT (-106.6356697 35.096572),POINT (-106.6352 35.09802),POINT (-106.634781 35.098487),POINT (-106.63556 35.09631),POINT (-106.6356697 35.096572)
2020-11-03,NM,Bernalillo,Bernalillo,county,,,,unknown,VCC 46 - La Mesa Elementary School,"7500 Cooper Ave NE, Albuquerque, NM 87108",,ORR,2020-10-22,,POINT (-106.5626109 35.0795486),POINT (-106.56262 35.07956),POINT (-106.56252 35.080066),POINT (-106.56269 35.07959),POINT (-106.5626109 35.0795486)
2020-11-03,NM,Bernalillo,Bernalillo,county,,,,unknown,VCC 24 - Arroyo Del Oso Elementary School,"6504 Harper Dr NE, Albuquerque, NM 87109",,ORR,2020-10-22,,POINT (-106.5752487 35.152679),POINT (-106.57534 35.15198),POINT (-106.575459 35.153357),POINT (-106.57566 35.15289),POINT (-106.5752487 35.152679)
2020-11-03,NM,Bernalillo,Bernalillo,county,,,,unknown,VCC 25 - Bandelier Elementary School,"3309 Pershing Ave SE, Albuquerque, NM 87106",,ORR,2020-10-22,,POINT (-106.6066585 35.0707954),POINT (-106.60694 35.07092),POINT (-106.606939 35.070023),POINT (-106.60665 35.07036),POINT (-106.6066585 35.0707954)
2020-11-03,NM,Bernalillo,Bernalillo,county,,,,unknown,VCC 26 - Bellehaven Elementary School,"8701 Princess Jeanne Ave NE, Albuquerque, NM 87112",,ORR,2020-10-22,,POINT (-106.5471976 35.0985425),POINT (-106.54687 35.09813),POINT (-106.547197 35.097834),POINT (-106.5468 35.09819),POINT (-106.5471976 35.0985425)
2020-11-03,NM,Bernalillo,Bernalillo,county,,,,unknown,VCC 10 - Four Hills Shopping Center,"13140 Central Ave SE, Suite 1420, Albuquerque, NM 87123",,ORR,2020-10-22,,POINT (-106.4999696 35.0680359),POINT (-106.50034 35.0668),POINT (-106.499586 35.068376),POINT (-106.49979 35.06713),POINT (-106.4999696 35.0680359)
2020-11-03,NM,Bernalillo,Bernalillo,county,,,,unknown,VCC 27 - Chaparral Elementary School,"6325 Milne Rd NW, Albuquerque, NM 87120",,ORR,2020-10-22,,POINT (-106.7120385 35.1328578),POINT (-106.71186 35.133),POINT (-106.711606 35.132129),POINT (-106.71151 35.13235),POINT (-106.7120385 35.1328578)
2020-11-03,NM,Bernalillo,Bernalillo,county,,,,unknown,VCC 28 - Cibola High School,"1510 Ellison Dr NW, Albuquerque, NM 87114",,ORR,2020-10-22,,POINT (-106.6634763 35.2044096),POINT (-106.66307 35.20412),POINT (-106.66181 35.205813),POINT (-106.66351 35.20376),POINT (-106.6634763 35.2044096)
