election_date,state,county_name,jurisdiction,jurisdiction_type,precinct_id,precinct_name,polling_place_id,location_type,name,address,notes,source,source_date,source_notes,Google_geog,HERE_geog,MapQuest_geog,AzureMaps_geog,geog
2020-11-03,NC,ALAMANCE,ALAMANCE,county,,COBLE,1,election_day,ALAMANCE CIVITAN CLUB HOUSE,"3328 DOCTOR PICKETT RD, BURLINGTON, NC 27215",,scraper,2020-10-25,,POINT (-79.46137929999999 36.0206042),POINT (-79.46137 36.02055),,POINT (-79.46138000000001 36.02055),POINT (-79.46137929999999 36.0206042)
2020-11-03,NC,ALAMANCE,ALAMANCE,county,,BURLINGTON 7,10,election_day,ELMIRA COMMUNITY CENTER,"810 WICKER ST, BURLINGTON, NC 27217",,scraper,2020-10-25,,POINT (-79.442567 36.1069844),POINT (-79.44253999999999 36.10699),POINT (-79.442519 36.107133),POINT (-79.44253999999999 36.10699),POINT (-79.442567 36.1069844)
2020-11-03,NC,ALAMANCE,ALAMANCE,county,,NORTH BOONE,12,election_day,FIRST BAPTIST CHURCH OF ELON,"621 HAGGARD AVE, ELON, NC 27244",,scraper,2020-10-25,,POINT (-79.49530200000001 36.1035903),POINT (-79.49589 36.10408),POINT (-79.495558 36.104333),POINT (-79.49531 36.10382),POINT (-79.49530200000001 36.1035903)
2020-11-03,NC,ALAMANCE,ALAMANCE,county,,FAUCETTE,13,election_day,LAKEVIEW COMMUNITY CHURCH,"101 BOONE RD, BURLINGTON, NC 27217",,scraper,2020-10-25,,POINT (-79.42265159999999 36.1558717),POINT (-79.42312 36.15557),POINT (-79.423659 36.155406),POINT (-79.42310000000001 36.15641),POINT (-79.42265159999999 36.1558717)
2020-11-03,NC,ALAMANCE,ALAMANCE,county,,GRAHAM 4,14,election_day,FELLOWSHIP BAPTIST CHURCH,"2744 MAPLE AVE, BURLINGTON, NC 27215",,scraper,2020-10-25,,POINT (-79.43329129999999 36.0576557),POINT (-79.43351 36.0584),POINT (-79.434082 36.057478),POINT (-79.43286000000001 36.0579),POINT (-79.43329129999999 36.0576557)
2020-11-03,NC,ALAMANCE,ALAMANCE,county,,WEST BURLINGTON,15,election_day,FIRST PRESBYTERIAN CHURCH,"508 DAVIS ST, BURLINGTON, NC 27215",,scraper,2020-10-25,,POINT (-79.4423032 36.0950368),POINT (-79.44219 36.09533),POINT (-79.442606 36.095892),POINT (-79.44265 36.09504),POINT (-79.4423032 36.0950368)
2020-11-03,NC,ALAMANCE,ALAMANCE,county,,EAST GRAHAM,16,election_day,GRAHAM CIVIC CENTER,"503 MCGEE ST, GRAHAM, NC 27253",,scraper,2020-10-25,,POINT (-79.39250659999999 36.0643405),POINT (-79.39239999999999 36.06442),POINT (-79.39256 36.064664),POINT (-79.39256 36.06397),POINT (-79.39250659999999 36.0643405)
2020-11-03,NC,ALAMANCE,ALAMANCE,county,,NORTH GRAHAM,17,election_day,GRAHAM RECREATION CENTER,"311 COLLEGE ST, GRAHAM, NC 27253",,scraper,2020-10-25,,POINT (-79.4062941 36.0766773),POINT (-79.40618000000001 36.07674),POINT (-79.406115 36.07622),POINT (-79.40609000000001 36.07678),POINT (-79.4062941 36.0766773)
2020-11-03,NC,ALAMANCE,ALAMANCE,county,,BURLINGTON 5,18,election_day,GROVE PARK BAPTIST CHURCH,"108 TRAIL ONE, BURLINGTON, NC 27215",,scraper,2020-10-25,,POINT (-79.46203849999999 36.0817942),POINT (-79.46205 36.08169),POINT (-79.46153099999999 36.08167),POINT (-79.46211 36.08155),POINT (-79.46203849999999 36.0817942)
2020-11-03,NC,ALAMANCE,ALAMANCE,county,,EAST BURLINGTON,2,election_day,FAIRCHILD COMMUNITY CENTER,"827 GRAHAM-HOPEDALE RD, BURLINGTON, NC 27217",,scraper,2020-10-25,,POINT (-79.408171 36.0870958),POINT (-79.40817 36.0871),POINT (-79.40722700000001 36.086853),POINT (-79.40817 36.0871),POINT (-79.408171 36.0870958)
2020-11-03,NC,ALAMANCE,ALAMANCE,county,,BURLINGTON 4,20,election_day,HILLCREST ELEMENTARY SCHOOL,"1714 DAVIS ST, BURLINGTON, NC 27215",,scraper,2020-10-25,,POINT (-79.4648653 36.1031392),POINT (-79.46462 36.10299),POINT (-79.462461 36.103883),POINT (-79.46487 36.10314),POINT (-79.4648653 36.1031392)
2020-11-03,NC,ALAMANCE,ALAMANCE,county,,BURLINGTON 8,22,election_day,KERNODLE SENIOR ACTIVITIES CEN,"1535 MEBANE ST, BURLINGTON, NC 27215",,scraper,2020-10-25,,POINT (-79.45122809999999 36.0796289),POINT (-79.44958 36.07905),POINT (-79.449809 36.078846),POINT (-79.45117 36.07967),POINT (-79.45122809999999 36.0796289)
2020-11-03,NC,ALAMANCE,ALAMANCE,county,,NORTH BURLINGTON,23,election_day,MAYCO BIGELO CENTER,"849 SHARPE RD, BURLINGTON, NC 27217",,scraper,2020-10-25,,POINT (-79.42089559999999 36.11272599999999),POINT (-79.42258 36.11262),POINT (-79.42326199999999 36.112739),POINT (-79.42245 36.11435),POINT (-79.42089559999999 36.11272599999999)
2020-11-03,NC,ALAMANCE,ALAMANCE,county,,SOUTH MELVILLE,24,election_day,MEBANE ARTS COMMUNITY CENTER,"622 CORREGIDOR ST, MEBANE, NC 27302",,scraper,2020-10-25,,POINT (-79.28413689999999 36.085725),POINT (-79.28266000000001 36.08455),POINT (-79.28454499999999 36.088602),POINT (-79.28521000000001 36.08837),POINT (-79.28413689999999 36.085725)
2020-11-03,NC,ALAMANCE,ALAMANCE,county,,PATTERSON,26,election_day,SYLVAN ELEMENTARY SCHOOL,"7718 SYLVAN RD, SNOW CAMP, NC 27349",,scraper,2020-10-25,,POINT (-79.4368082 35.8796478),POINT (-79.43655 35.87999),POINT (-79.437518 35.879868),POINT (-79.43685000000001 35.87955),POINT (-79.4368082 35.8796478)
2020-11-03,NC,ALAMANCE,ALAMANCE,county,,GRAHAM 3,27,election_day,R HOMER ANDREWS ELEMENTARY SCH,"2630 BUCKINGHAM RD, BURLINGTON, NC 27217",,scraper,2020-10-25,,POINT (-79.3834238 36.0944585),POINT (-79.38329 36.09458),POINT (-79.383815 36.09457),POINT (-79.38254000000001 36.09447),POINT (-79.3834238 36.0944585)
2020-11-03,NC,ALAMANCE,ALAMANCE,county,,SOUTH BURLINGTON,28,election_day,NEW BIRTH BAPTISH CHURCH,"424 FLANNER ST, BURLINGTON, NC 27215",,scraper,2020-10-25,,POINT (-79.42970819999999 36.0839876),POINT (-79.4297 36.08401),POINT (-79.42907200000001 36.084655),POINT (-79.42897000000001 36.08454),POINT (-79.42970819999999 36.0839876)
2020-11-03,NC,ALAMANCE,ALAMANCE,county,,WEST GRAHAM,29,election_day,HARVEY R NEWLIN ELEMENTARY SCH,"316 CARDEN ST, BURLINGTON, NC 27215",,scraper,2020-10-25,,POINT (-79.42054109999999 36.0734088),POINT (-79.42066 36.07341),POINT (-79.421159 36.073812),POINT (-79.42068999999999 36.07333),POINT (-79.42054109999999 36.0734088)
2020-11-03,NC,ALAMANCE,ALAMANCE,county,,PLEASANT GROVE,30,election_day,PLEASANT GROVE ELEMENTARY SCHO,"2847 PLEASANT GROVE UNION SCHOOL RD, BURLINGTON, NC 27217",,scraper,2020-10-25,,POINT (-79.30560190000001 36.217398),POINT (-79.30682 36.21739),POINT (-79.307058 36.2183),POINT (-79.3056 36.2174),POINT (-79.30560190000001 36.217398)
2020-11-03,NC,ALAMANCE,ALAMANCE,county,,SOUTH THOMPSON,31,election_day,SALEM UNITED METHODIST CHURCH,"4924 SALEM CHURCH RD, HAW RIVER, NC 27258",,scraper,2020-10-25,,POINT (-79.3106823 35.9739851),POINT (-79.31068999999999 35.97399),POINT (-79.309425 35.979864),POINT (-79.31019999999999 35.97417),POINT (-79.3106823 35.9739851)
2020-11-03,NC,ALAMANCE,ALAMANCE,county,,SOUTH BOONE,32,election_day,MARVIN B SMITH ELEMENTARY SCHO,"2235 DELANEY DR, BURLINGTON, NC 27215",,scraper,2020-10-25,,POINT (-79.4787377 36.0772234),POINT (-79.47871000000001 36.07723),POINT (-79.47758899999999 36.076356),POINT (-79.47909 36.07702),POINT (-79.4787377 36.0772234)
