election_date,state,county_name,jurisdiction,jurisdiction_type,precinct_id,precinct_name,polling_place_id,location_type,name,address,notes,source,source_date,source_notes,Google_geog,HERE_geog,MapQuest_geog,AzureMaps_geog,geog
2020-11-03,ND,Adams,Adams,county,1,,,election_day,Adams County Courthouse,"602 Adams Ave Ste 201, Hettinger, ND 58639",,website,2020-11-01,,POINT (-102.6348635 46.001565),POINT (-102.63373 46.00132),POINT (-102.6352 46.0012),POINT (-101.0515 48.0894),POINT (-102.6348635 46.001565)
2020-11-03,ND,Barnes,Barnes,county,1,,,election_day,Barnes County Courthouse,"230 4th St NW, Valley City, ND 58072",,website,2020-11-01,,POINT (-98.00536459999999 46.9271869),POINT (-98.00539000000001 46.92639),POINT (-98.005156 46.926249),POINT (-102.94227 48.40011),POINT (-98.00536459999999 46.9271869)
2020-11-03,ND,Barnes,Barnes,county,2,,,election_day,Barnes County Courthouse,"230 4th St NW, Valley City, ND 58072",,website,2020-11-01,,POINT (-98.00536459999999 46.9271869),POINT (-98.00539000000001 46.92639),POINT (-98.005156 46.926249),POINT (-102.94227 48.40011),POINT (-98.00536459999999 46.9271869)
2020-11-03,ND,Barnes,Barnes,county,3,,,election_day,Barnes County Courthouse,"230 4th St NW, Valley City, ND 58072",,website,2020-11-01,,POINT (-98.00536459999999 46.9271869),POINT (-98.00539000000001 46.92639),POINT (-98.005156 46.926249),POINT (-102.94227 48.40011),POINT (-98.00536459999999 46.9271869)
2020-11-03,ND,Barnes,Barnes,county,4,,,election_day,Barnes County Courthouse,"230 4th St NW, Valley City, ND 58072",,website,2020-11-01,,POINT (-98.00536459999999 46.9271869),POINT (-98.00539000000001 46.92639),POINT (-98.005156 46.926249),POINT (-102.94227 48.40011),POINT (-98.00536459999999 46.9271869)
2020-11-03,ND,Barnes,Barnes,county,5,,,election_day,Barnes County Courthouse,"230 4th St NW, Valley City, ND 58072",,website,2020-11-01,,POINT (-98.00536459999999 46.9271869),POINT (-98.00539000000001 46.92639),POINT (-98.005156 46.926249),POINT (-102.94227 48.40011),POINT (-98.00536459999999 46.9271869)
2020-11-03,ND,Barnes,Barnes,county,6,,,election_day,Barnes County Courthouse,"230 4th St NW, Valley City, ND 58072",,website,2020-11-01,,POINT (-98.00536459999999 46.9271869),POINT (-98.00539000000001 46.92639),POINT (-98.005156 46.926249),POINT (-102.94227 48.40011),POINT (-98.00536459999999 46.9271869)
2020-11-03,ND,Barnes,Barnes,county,7,,,election_day,Barnes County Courthouse,"230 4th St NW, Valley City, ND 58072",,website,2020-11-01,,POINT (-98.00536459999999 46.9271869),POINT (-98.00539000000001 46.92639),POINT (-98.005156 46.926249),POINT (-102.94227 48.40011),POINT (-98.00536459999999 46.9271869)
2020-11-03,ND,Barnes,Barnes,county,8,,,election_day,Barnes County Courthouse,"230 4th St NW, Valley City, ND 58072",,website,2020-11-01,,POINT (-98.00536459999999 46.9271869),POINT (-98.00539000000001 46.92639),POINT (-98.005156 46.926249),POINT (-102.94227 48.40011),POINT (-98.00536459999999 46.9271869)
2020-11-03,ND,Barnes,Barnes,county,9,,,election_day,Barnes County Courthouse,"230 4th St NW, Valley City, ND 58072",,website,2020-11-01,,POINT (-98.00536459999999 46.9271869),POINT (-98.00539000000001 46.92639),POINT (-98.005156 46.926249),POINT (-102.94227 48.40011),POINT (-98.00536459999999 46.9271869)
