election_date,state,county_name,jurisdiction,jurisdiction_type,precinct_id,precinct_name,polling_place_id,location_type,name,address,notes,source,source_date,source_notes,Google_geog,HERE_geog,MapQuest_geog,AzureMaps_geog,geog
2020-11-03,OH,ADAMS,ADAMS,county,01AAA,PEEBLES 01AAA,,election_day,BRATTON TWP BLDG,"2535 LOUDEN RD, PEEBLES, OH 45660",,ORR,2020-10-19,,POINT (-83.454357 39.025143),POINT (-83.45435000000001 39.02514),POINT (-83.454097 39.025103),POINT (-83.45471000000001 39.02515),POINT (-83.454357 39.025143)
2020-11-03,OH,ADAMS,ADAMS,county,01AAB,WEST UNION 01AAB,,election_day,LYNX OLD SCHOOL BLDG,"505 LYNX DRIVE, WEST UNION, OH 45693",,ORR,2020-10-19,,POINT (-83.4154357 38.7727385),POINT (-83.41573 38.77277),POINT (-83.415454 38.772926),POINT (-83.41544 38.77277),POINT (-83.4154357 38.7727385)
2020-11-03,OH,ADAMS,ADAMS,county,01AAD,PEEBLES 01AAD,,election_day,FRANKLIN TWP BLDG,"2259 CEMETERY RD, PEEBLES, OH 45660",,ORR,2020-10-19,,POINT (-83.38686799999999 38.9792469),POINT (-83.38861 38.97944),POINT (-83.386883 38.979276),POINT (-83.38688 38.97926),POINT (-83.38686799999999 38.9792469)
2020-11-03,OH,ADAMS,ADAMS,county,01AAE,STOUT 01AAE,,election_day,GREEN TWP FIREHOUSE,"2243 BLUE CREEK RD, STOUT, OH 45684",,ORR,2020-10-19,,POINT (-83.3785055 38.6985974),POINT (-83.37846999999999 38.69857),POINT (-83.378252 38.698584),POINT (-83.37854 38.69875),POINT (-83.3785055 38.6985974)
2020-11-03,OH,ADAMS,ADAMS,county,01AAG,BLUE CREEK 01AAG,,election_day,JEFFERSON SCHOOL GYM,"8990 BLUE CREEK RD, BLUE CREEK, OH 45616",,ORR,2020-10-19,,POINT (-83.32952299999999 38.778844),POINT (-83.32953000000001 38.77885),POINT (-83.329404 38.779051),POINT (-83.32952 38.77884),POINT (-83.32952299999999 38.778844)
2020-11-03,OH,ADAMS,ADAMS,county,01AAI,WEST UNION 01AAI,,election_day,LIBERTY TWP BLDG,"8632 SR 136, WEST UNION, OH 45693",,ORR,2020-10-19,,POINT (-83.60335719999999 38.8028705),POINT (-83.60337 38.80265),POINT (-83.603561 38.802609),POINT (-83.60337 38.80284),POINT (-83.60335719999999 38.8028705)
2020-11-03,OH,ADAMS,ADAMS,county,01AAK,MANCHESTER 01AAK,,election_day,MANCHESTER COMMUNITY BLDG,"400 PIKE STREET, MANCHESTER, OH 45144",,ORR,2020-10-19,,POINT (-83.6095309 38.6891094),POINT (-83.60948999999999 38.6891),POINT (-83.609584 38.688842),POINT (-83.60926000000001 38.68891),POINT (-83.6095309 38.6891094)
2020-11-03,OH,ADAMS,ADAMS,county,01AAN,PEEBLES 01AAN,,election_day,PEEBLES FIREHOUSE,"182 ELM ST., PEEBLES, OH 45660",,ORR,2020-10-19,,POINT (-83.40093139999999 38.9482825),POINT (-83.40092 38.94829),POINT (-83.400932 38.948204),POINT (-83.40085000000001 38.9485),POINT (-83.40093139999999 38.9482825)
2020-11-03,OH,ADAMS,ADAMS,county,01AAP,PEEBLES 01AAP,,election_day,PEEBLES FIREHOUSE,"182 ELM ST., PEEBLES, OH 45660",,ORR,2020-10-19,,POINT (-83.40093139999999 38.9482825),POINT (-83.40092 38.94829),POINT (-83.400932 38.948204),POINT (-83.40085000000001 38.9485),POINT (-83.40093139999999 38.9482825)
2020-11-03,OH,ADAMS,ADAMS,county,01AAR,MANCHESTER 01AAR,,election_day,MONROE TWP. BLDG.,"2416 SR 247, MANCHESTER, OH 45144",,ORR,2020-10-19,,POINT (-83.51646839999999 38.7345242),POINT (-83.51657 38.73455),POINT (-83.516739 38.734603),POINT (-83.51658 38.73455),POINT (-83.51646839999999 38.7345242)
2020-11-03,OH,ADAMS,ADAMS,county,01AAS,WEST UNION 01AAS,,election_day,OLIVER TWP FIRE STATION,"4613 UNITY RD., WEST UNION, OH 45693",,ORR,2020-10-19,,POINT (-83.52144799999999 38.894671),POINT (-83.52144 38.89467),POINT (-83.52108 38.894971),POINT (-83.52249999999999 38.89559),POINT (-83.52144799999999 38.894671)
2020-11-03,OH,ADAMS,ADAMS,county,01AAT,SEAMAN 01AAT,,election_day,SEAMAN FIRE STATION,"6493 TRI-COUNTY RD, SEAMAN, OH 45679",,ORR,2020-10-19,,POINT (-83.5753888 38.9409393),POINT (-83.58049 38.9407),POINT (-83.584686 38.943326),POINT (-83.58008 38.93988),POINT (-83.584686 38.943326)
2020-11-03,OH,ADAMS,ADAMS,county,01AAU,SEAMAN 01AAU,,election_day,SEAMAN FIRE STATION,"6493 TRI-COUNTY RD, SEAMAN, OH 45679",,ORR,2020-10-19,,POINT (-83.5753888 38.9409393),POINT (-83.58049 38.9407),POINT (-83.584686 38.943326),POINT (-83.58008 38.93988),POINT (-83.584686 38.943326)
2020-11-03,OH,ADAMS,ADAMS,county,01AAW,WEST UNION 01AAW,,election_day,SPRIGG TWP BLDG,"315 POPLAR FLAT RD, WEST UNION, OH 45693",,ORR,2020-10-19,,POINT (-83.606888 38.749212),POINT (-83.60689000000001 38.74922),POINT (-83.606886 38.749061),POINT (-83.60682 38.74946),POINT (-83.606888 38.749212)
2020-11-03,OH,ADAMS,ADAMS,county,01AAY,WEST UNION 01AAY,,election_day,ADAMS CO FAIRGROUNDS,"836 BOYD AVE, WEST UNION, OH 45693",,ORR,2020-10-19,,POINT (-83.53974149999999 38.8005409),POINT (-83.53995 38.80066),POINT (-83.540058 38.80079),POINT (-93.60668 41.62146),POINT (-83.53974149999999 38.8005409)
2020-11-03,OH,ADAMS,ADAMS,county,01AAZ,WEST UNION 01AAZ,,election_day,ADAMS CO FAIRGROUNDS,"836 BOYD AVE, WEST UNION, OH 45693",,ORR,2020-10-19,,POINT (-83.53974149999999 38.8005409),POINT (-83.53995 38.80066),POINT (-83.540058 38.80079),POINT (-93.60668 41.62146),POINT (-83.53974149999999 38.8005409)
2020-11-03,OH,ADAMS,ADAMS,county,01ABA,WEST UNION 01ABA,,election_day,ADAMS CO FAIRGROUNDS,"836 BOYD AVE, WEST UNION, OH 45693",,ORR,2020-10-19,,POINT (-83.53974149999999 38.8005409),POINT (-83.53995 38.80066),POINT (-83.540058 38.80079),POINT (-93.60668 41.62146),POINT (-83.53974149999999 38.8005409)
2020-11-03,OH,ADAMS,ADAMS,county,01ABC,WEST UNION 01ABC,,election_day,ADAMS CO FAIRGROUNDS,"836 BOYD AVE, WEST UNION, OH 45693",,ORR,2020-10-19,,POINT (-83.53974149999999 38.8005409),POINT (-83.53995 38.80066),POINT (-83.540058 38.80079),POINT (-93.60668 41.62146),POINT (-83.53974149999999 38.8005409)
2020-11-03,OH,ADAMS,ADAMS,county,01ABE,CHERRY FORK 01ABE,,election_day,WAYNE TWP FIREHOUSE,"14815 SR 136, CHERRY FORK, OH 45618",,ORR,2020-10-19,,POINT (-83.61460269999999 38.8895254),POINT (-83.68397 38.88512),,POINT (-83.6146 38.88953),POINT (-83.61460269999999 38.8895254)
2020-11-03,OH,ADAMS,ADAMS,county,01ABG,WINCHESTER 01ABG,,election_day,RED BARN PAVILION,"2223A RUSSELLVILLE RD, WINCHESTER, OH 45697",,ORR,2020-10-19,,POINT (-83.6587746 38.93331939999999),POINT (-83.65891999999999 38.93329),POINT (-83.65881299999999 38.933174),POINT (-83.66106000000001 38.93393),POINT (-83.6587746 38.93331939999999)
