election_date,state,county_name,jurisdiction,jurisdiction_type,precinct_id,precinct_name,polling_place_id,location_type,name,address,notes,source,source_date,source_notes,Google_geog,HERE_geog,MapQuest_geog,AzureMaps_geog,geog
2020-11-03,OK,ADAIR,ADAIR,county,010001,,,election_day,DAHLONEGAH SCHOOL," RT 1 BOX 351, STILWELL OK 74960",,ORR,2020-10-20,,POINT (-94.67005309999999 35.7481471),POINT (-94.67055000000001 35.74875),,,POINT (-94.67005309999999 35.7481471)
2020-11-03,OK,ADAIR,ADAIR,county,010002,,,election_day,LYONS COMMUNITY BUILDING," 463101 E. 914 RD, BUNCH OK 74931",,ORR,2020-10-20,,,POINT (-94.77028 35.69204),POINT (-94.769198 35.691786),POINT (103.92448 1.31217),POINT (-94.77028 35.69204)
2020-11-03,OK,ADAIR,ADAIR,county,010003,,,election_day,PROCTOR COMMUNITY BUILDING," P.O. BOX 193, PROCTOR OK 74457",,ORR,2020-10-20,,POINT (-94.7752575 35.9656972),,,,POINT (-94.7752575 35.9656972)
2020-11-03,OK,ADAIR,ADAIR,county,010004,,,election_day,STILWELL COMMUNITY BUILDING,"422 W POPLAR, STILWELL OK 74960",,ORR,2020-10-20,,POINT (-94.6307822 35.8187636),POINT (-94.6305 35.8187),POINT (-94.63132 35.81894),POINT (-94.63244 35.80904),POINT (-94.6307822 35.8187636)
2020-11-03,OK,ADAIR,ADAIR,county,010005,,,election_day,ROCKY MTN COMMUNITY CHURCH,"ROCKY MTN COMMUNITY CHUR, STILWELL OK 74960",,ORR,2020-10-20,,POINT (-94.6285553 35.81453),,,,POINT (-94.6285553 35.81453)
2020-11-03,OK,ADAIR,ADAIR,county,010006,,,election_day,LIGHTHOUSE CHURCH STONEY POINT,"LIGHTHOUSE CHURCH, HWY 51 WEST, STILWELL OK 74960",,ORR,2020-10-20,,POINT (-94.60065899999999 35.826948),,,POINT (-79.62069 39.66666),POINT (-94.60065899999999 35.826948)
2020-11-03,OK,ADAIR,ADAIR,county,010007,,,election_day,CHURCH OF CHRIST HWY 100W,"CHURCH OF CHRIST, P.O. BOX 209, STILWELL OK 74960",,ORR,2020-10-20,,POINT (-95.1915013 36.6280175),POINT (-92.55762 40.194),,POINT (-74.23081000000001 40.40776),POINT (-95.1915013 36.6280175)
2020-11-03,OK,ADAIR,ADAIR,county,010008,,,election_day,MID COUNTY COMMUNITY BUILDING,"75371 HWY 59, WESTVILLE OK 74965",,ORR,2020-10-20,,POINT (-94.6166432 35.9220213),POINT (-94.61593000000001 35.92365),POINT (-94.615674 35.92431),POINT (-74.27991 40.83832),POINT (-94.6166432 35.9220213)
2020-11-03,OK,ADAIR,ADAIR,county,010010,,,election_day,CHRISTIE COMMUNITY BUILDING,"73596 S. 4677 RD, WESTVILLE OK 74965",,ORR,2020-10-20,,POINT (-94.6906513 35.9509061),,,,POINT (-94.6906513 35.9509061)
2020-11-03,OK,ADAIR,ADAIR,county,010011,,,election_day,BELL SCHOOL," RT. 5 BOX 4470, STILWELL OK 74960",,ORR,2020-10-20,,POINT (-94.57690699999999 35.7257607),POINT (-94.62948 35.81856),,,POINT (-94.57690699999999 35.7257607)
2020-11-03,OK,ADAIR,ADAIR,county,010012,,,election_day,FOUR CORNER CHURCH OF CHRIST,"FOUR CORNERS CHURCH OF CHRIST, HWY 100 EAST, STILWELL OK 74960",,ORR,2020-10-20,,POINT (-94.64948059999999 35.8063634),,,POINT (-77.00745000000001 39.01869),POINT (-94.64948059999999 35.8063634)
2020-11-03,OK,ADAIR,ADAIR,county,010013,,,election_day,FAITH TABERNACLE CHURCH," CHALK BLUFF HWY 51 EAST, STILWELL OK 74960",,ORR,2020-10-20,,POINT (-94.57711289999999 35.8260939),,,POINT (-97.94837 34.64608),POINT (-94.57711289999999 35.8260939)
2020-11-03,OK,ADAIR,ADAIR,county,010014,,,election_day,FIRST CHRISTIAN CHURCH 2ND ST,"FIRST CHRISTIAN CHURCH, P.O. BOX 152, STILWELL OK 74960",,ORR,2020-10-20,,POINT (-94.62837859999999 35.8178039),POINT (-94.628 35.81771),,POINT (78.77601 10.07119),POINT (-94.62837859999999 35.8178039)
2020-11-03,OK,ADAIR,ADAIR,county,010016,,,election_day,CHEWEY COMMUNITY BUILDING,"RIVER RD AND CHEWEY RD, WATTS OK 74964",,ORR,2020-10-20,,POINT (-94.7676694 36.1036731),,,,POINT (-94.7676694 36.1036731)
2020-11-03,OK,ADAIR,ADAIR,county,010017,,,election_day,WATTS BAPTIST CHURCH," 4TH STREET, WATTS OK 74964",,ORR,2020-10-20,,POINT (-94.57449779999999 36.1082093),POINT (-94.57492000000001 36.10521),,POINT (-95.88375000000001 35.93888),POINT (-94.57449779999999 36.1082093)
2020-11-03,OK,ADAIR,ADAIR,county,010018,,,election_day,WESTVILLE TOWN HALL," 221 S WILLIAMS, WESTVILLE OK 74965",,ORR,2020-10-20,,POINT (-94.56826819999999 35.9953308),POINT (-94.56734 35.98996),POINT (-94.567595 35.991663),POINT (-119.00486 36.06215),POINT (-94.56826819999999 35.9953308)
2020-11-03,OK,ADAIR,ADAIR,county,010019,,,election_day,WESTVILLE COMMUNITY BUILDING,"1256 BUFFINGTON RD., WESTVILLE OK 74960",,ORR,2020-10-20,,POINT (-94.57120669999999 35.9954555),,,POINT (-94.95238000000001 35.92939),POINT (-94.57120669999999 35.9954555)
2020-11-03,OK,ALFALFA,ALFALFA,county,020110,,,election_day,BURLINGTON FIREHOUSE,"410 MAPLE, BURLINGTON OK 73722",,ORR,2020-10-20,,POINT (-98.42393949999999 36.89901589999999),POINT (-98.42162999999999 36.8989),,POINT (-74.94816 40.05166),POINT (-98.42393949999999 36.89901589999999)
2020-11-03,OK,ALFALFA,ALFALFA,county,020120,,,election_day,BYRON COMMUNITYCENTER-ABFD,"502 4TH STREET, BYRON OK 73722",,ORR,2020-10-20,,POINT (-98.2943636 36.8985708),POINT (-98.29546999999999 36.9023),,POINT (-98.363 36.75435),POINT (-98.2943636 36.8985708)
2020-11-03,OK,ALFALFA,ALFALFA,county,020140,,,election_day,CHEROKEE H.S. AUDITORIUM LOBBY,"412 E 5 ST, CHEROKEE OK 73728",,ORR,2020-10-20,,POINT (-98.35270779999999 36.7530347),POINT (-98.35297 36.75352),POINT (-98.35256099999999 36.75362),POINT (-97.7302 36.80726),POINT (-98.35270779999999 36.7530347)
2020-11-03,OK,ALFALFA,ALFALFA,county,020220,,,election_day,ALFALFA COUNTY FAIRGROUNDS,"EXHIBIT BUILDING, 520 WEST 5TH STREET, CHEROKEE OK 73728",,ORR,2020-10-20,,POINT (-98.362523 36.7536661),POINT (-98.36312 36.75355),,POINT (-98.36378000000001 36.75638),POINT (-98.362523 36.7536661)
2020-11-03,OK,ALFALFA,ALFALFA,county,020230,,,election_day,CARMEN SENIOR CITIZENS BLDG,"424 W MAIN ST, CARMEN OK 73726",,ORR,2020-10-20,,POINT (-98.45962 36.5791842),POINT (-98.45899 36.57908),POINT (-98.459626 36.578988),POINT (-98.45963 36.57921),POINT (-98.45962 36.5791842)
