election_date,state,county_name,jurisdiction,jurisdiction_type,precinct_id,precinct_name,polling_place_id,location_type,name,address,notes,source,source_date,source_notes,Google_geog,HERE_geog,MapQuest_geog,AzureMaps_geog,geog
2020-11-03,PA,ADAMS,ADAMS,county,01-1,ABBOTTSTOWN,,election_day,ABBOTTSTOWN BOROUGH OFFICE,"241 HIGH ST, ABBOTTSTOWN, PA 17301",01,ORR,2020-11-02,,POINT (-76.9889984 39.8869476),POINT (-76.98802000000001 39.88709),POINT (-76.98770399999999 39.887195),POINT (-76.98801 39.88771),POINT (-76.9889984 39.8869476)
2020-11-03,PA,ADAMS,ADAMS,county,02-1,ARENDTSVILLE,,election_day,ARENDTSVILLE FIRE COMPANY BLDG,"48 PEARL ST, ARENDTSVILLE, PA 17303",02,ORR,2020-11-02,,POINT (-77.29972859999999 39.9245112),POINT (-77.29973 39.92451),,POINT (-77.29977 39.92447),POINT (-77.29972859999999 39.9245112)
2020-11-03,PA,ADAMS,ADAMS,county,03-1,BENDERSVILLE,,election_day,BENDERSVILLE COMMUNITY BLDG,"144 PARK ST, BENDERSVILLE, PA 17306",03,ORR,2020-11-02,,POINT (-77.24531089999999 39.98309510000001),POINT (-77.24550000000001 39.98253),,POINT (-77.24525 39.98284),POINT (-77.24531089999999 39.98309510000001)
2020-11-03,PA,ADAMS,ADAMS,county,04-1,BERWICK,,election_day,BERWICK TWP MUNIC BLDG,"85 MUNICIPAL RD, HANOVER, PA 17331",04,ORR,2020-11-02,,POINT (-77.00854029999999 39.8488419),POINT (-77.00851 39.8488),,POINT (-77.00836 39.84872),POINT (-77.00854029999999 39.8488419)
2020-11-03,PA,ADAMS,ADAMS,county,05-1,BIGLERVILLE,,election_day,TRINITY UNITED CHURCH FELLOWSHIP HALL,"300 E YORK ST, BIGLERVILLE, PA 17307",05,ORR,2020-11-02,,POINT (-77.23948249999999 39.9325862),POINT (-77.2394 39.93314),POINT (-77.239125 39.932383),POINT (-77.23927 39.93253),POINT (-77.23948249999999 39.9325862)
2020-11-03,PA,ADAMS,ADAMS,county,06-1,BONNEAUVILLE,,election_day,BONNEAUVILLE MUNIC BLDG,"46 E HANOVER ST, GETTYSBURG, PA 17325",06,ORR,2020-11-02,,POINT (-77.1313679 39.810515),POINT (-77.13428 39.80989),POINT (-77.131235 39.810815),POINT (-77.13129000000001 39.81069),POINT (-77.1313679 39.810515)
2020-11-03,PA,ADAMS,ADAMS,county,06-2,BONNEAUVILLE,,election_day,BONNEAUVILLE MUNIC BLDG,"46 E HANOVER ST, GETTYSBURG, PA 17325",06,ORR,2020-11-02,,POINT (-77.1313679 39.810515),POINT (-77.13428 39.80989),POINT (-77.131235 39.810815),POINT (-77.13129000000001 39.81069),POINT (-77.1313679 39.810515)
2020-11-03,PA,ADAMS,ADAMS,county,07-1,BUTLER,,election_day,OAKSIDE COMMUNITY PARK,"2880 TABLE ROCK RD, BIGLERVILLE, PA 17307",07,ORR,2020-11-02,,POINT (-77.23835989999999 39.9208873),POINT (-77.23372999999999 39.92352),POINT (-77.233457 39.923391),POINT (-77.23393 39.9231),POINT (-77.23835989999999 39.9208873)
2020-11-03,PA,ADAMS,ADAMS,county,08-1,CARROLL VALLEY #1,,election_day,CARROLL VALLEY BOROUGH OFFICE,"5685 FAIRFIELD RD, FAIRFIELD, PA 17320",08,ORR,2020-11-02,,POINT (-77.3814711 39.76086120000001),POINT (-77.38093000000001 39.76137),POINT (-77.38077699999999 39.760897),POINT (-77.38139 39.76091),POINT (-77.3814711 39.76086120000001)
2020-11-03,PA,ADAMS,ADAMS,county,09-1,CONEWAGO #1,,election_day,SAVES STATION,"5865 HANOVER RD, HANOVER, PA 17331",09,ORR,2020-11-02,,POINT (-77.0349516 39.7961286),POINT (-77.03497 39.79618),,POINT (-77.03503000000001 39.79628),POINT (-77.0349516 39.7961286)
