election_date,state,county_name,jurisdiction,jurisdiction_type,precinct_id,precinct_name,polling_place_id,location_type,name,address,notes,source,source_date,source_notes,Google_geog,HERE_geog,MapQuest_geog,AzureMaps_geog,geog
2020-11-03,RI,,BARRINGTON,municipality,0101,,,election_day,BARRINGTON HIGH SCHOOL,"220 LINCOLN AVE, BARRINGTON, RI 02806",,ORR,2020-10-28,,POINT (-71.3194833 41.7466901),POINT (-71.32176 41.74622),,POINT (-71.32098999999999 41.74689),POINT (-71.3194833 41.7466901)
2020-11-03,RI,,BARRINGTON,municipality,0102,,,election_day,MIDDLE SCHOOL,"261 MIDDLE HWY, BARRINGTON, RI 02806",,ORR,2020-10-28,,POINT (-71.3336331 41.7444433),POINT (-71.33279 41.74465),,POINT (-71.3327 41.74471),POINT (-71.3336331 41.7444433)
2020-11-03,RI,,BARRINGTON,municipality,0103,,,election_day,NAYATT SCHOOL,"400 NAYATT RD, BARRINGTON, RI 02806",,ORR,2020-10-28,,POINT (-71.30621309999999 41.7296585),POINT (-71.30709 41.72993),,POINT (-71.30707 41.72996),POINT (-71.30621309999999 41.7296585)
2020-11-03,RI,,BARRINGTON,municipality,0104,,,election_day,HAMPDEN MEADOWS SCHOOL,"297 NEW MEADOW RD, BARRINGTON, RI 02806",,ORR,2020-10-28,,POINT (-71.3023616 41.7541444),POINT (-71.30301 41.7543),,POINT (-71.30123 41.75361),POINT (-71.3023616 41.7541444)
2020-11-03,RI,,BARRINGTON,municipality,0105,,,election_day,SOWAMS SCHOOL,"364 SOWAMS RD, BARRINGTON, RI 02806",,ORR,2020-10-28,,POINT (-71.294381 41.7568594),POINT (-71.29552 41.75806),,POINT (-71.29537999999999 41.75816),POINT (-71.294381 41.7568594)
2020-11-03,RI,,BARRINGTON,municipality,0106,,,election_day,TOWN HALL - LIMITED,"283 COUNTY RD, BARRINGTON, RI 02806",,ORR,2020-10-28,,POINT (-71.30766029999999 41.7410289),POINT (-71.30768 41.74114),,POINT (-71.30822000000001 41.74082),POINT (-71.30766029999999 41.7410289)
2020-11-03,RI,,BARRINGTON,municipality,0107,,,election_day,TOWN HALL - PRESIDENT ONLY,"283 COUNTY RD, BARRINGTON, RI 02806",,ORR,2020-10-28,,POINT (-71.30766029999999 41.7410289),,,POINT (-71.30822000000001 41.74082),POINT (-71.30766029999999 41.7410289)
2020-11-03,RI,,BRISTOL,municipality,0201,,,election_day,ROCKWELL SCHOOL,"1225 HOPE ST, BRISTOL, RI 02809",,ORR,2020-10-28,,POINT (-71.28064639999999 41.6984738),,POINT (-71.27963 41.698489),POINT (-71.2805 41.69825),POINT (-71.28064639999999 41.6984738)
2020-11-03,RI,,BRISTOL,municipality,0202,,,election_day,ST. MICHAEL'S PARISH HOUSE,"378 HOPE ST, BRISTOL, RI 02809",,ORR,2020-10-28,,POINT (-71.2758053 41.6689466),,POINT (-71.276066 41.669114),POINT (-71.27564 41.6692),POINT (-71.2758053 41.6689466)
2020-11-03,RI,,BRISTOL,municipality,0203,,,election_day,QUINTA-GAMELIN CENTER,"101 ASYLUM RD, BRISTOL, RI 02809",,ORR,2020-10-28,,POINT (-71.2856458 41.6877485),POINT (-71.28197 41.68779),POINT (-71.285718 41.687234),POINT (-71.28583 41.68783),POINT (-71.2856458 41.6877485)
2020-11-03,RI,,BRISTOL,municipality,0204,,,election_day,MOUNT HOPE HIGH SCHOOL,"199 CHESTNUT ST, BRISTOL, RI 02809",,ORR,2020-10-28,,POINT (-71.2686824 41.6873999),POINT (-71.27038 41.68698),POINT (-71.269712 41.686893),POINT (-71.26993 41.68773),POINT (-71.2686824 41.6873999)
2020-11-03,RI,,BRISTOL,municipality,0205,,,election_day,FIRE DEPARTMENT HEADQUARTERS,"4 ANNAWAMSCUTT DR, BRISTOL, RI 02809",,ORR,2020-10-28,,POINT (-71.260594 41.686608),POINT (-71.26155 41.68662),POINT (-71.26063000000001 41.686896),POINT (-71.26065 41.68644),POINT (-71.260594 41.686608)
2020-11-03,RI,,BRISTOL,municipality,0206,,,election_day,GUITERAS SCHOOL,"35 WASHINGTON ST, BRISTOL, RI 02809",,ORR,2020-10-28,,POINT (-71.2768296 41.6773308),POINT (-71.27636 41.67717),POINT (-71.276681 41.676985),POINT (-71.27684000000001 41.67724),POINT (-71.2768296 41.6773308)
2020-11-03,RI,,BRISTOL,municipality,0207,,,election_day,BRISTOL MARITIME CENTER,"127 THAMES ST, BRISTOL, RI 02809",,ORR,2020-10-28,,POINT (-71.27809549999999 41.6678388),POINT (-71.27755000000001 41.66862),POINT (-71.277202 41.668179),POINT (-71.27791999999999 41.6679),POINT (-71.27809549999999 41.6678388)
2020-11-03,RI,,BRISTOL,municipality,0208,,,election_day,FRANKLIN COURT,"150 FRANKLIN ST, BRISTOL, RI 02809",,ORR,2020-10-28,,POINT (-71.2717 41.674494),POINT (-71.2717 41.67449),POINT (-71.271828 41.674854),POINT (-71.27181 41.67444),POINT (-71.2717 41.674494)
2020-11-03,RI,,BRISTOL,municipality,0209,,,election_day,ST. ELIZABETH AUDITORIUM,"577 WOOD ST, BRISTOL, RI 02809",,ORR,2020-10-28,,POINT (-71.2730225 41.67555249999999),POINT (-71.27306 41.67559),POINT (-71.272796 41.675642),POINT (-71.2731 41.67535),POINT (-71.2730225 41.67555249999999)
2020-11-03,RI,,BRISTOL,municipality,0210,,,election_day,TOWN HALL - LIMITED,"10 COURT ST, BRISTOL, RI 02809",,ORR,2020-10-28,,POINT (-71.2753884 41.6694156),,POINT (-71.275431 41.669656),POINT (-71.2754 41.66946),POINT (-71.2753884 41.6694156)
2020-11-03,RI,,BRISTOL,municipality,0211,,,election_day,TOWN HALL - PRESIDENT ONLY,"10 COURT ST, BRISTOL, RI 02809",,ORR,2020-10-28,,POINT (-71.2753884 41.6694156),,POINT (-71.275431 41.669656),POINT (-71.2754 41.66946),POINT (-71.2753884 41.6694156)
