election_date,state,county_name,jurisdiction,jurisdiction_type,precinct_id,precinct_name,polling_place_id,location_type,name,address,notes,source,source_date,source_notes,Google_geog,HERE_geog,MapQuest_geog,AzureMaps_geog,geog
2020-11-03,SC,ABBEVILLE,ABBEVILLE,county,001,Abbeville No. 1,,election_day,Abbeville Civic Center,"404 N Main St, Abbeville SC 29620",,scraper,2020-10-20,,POINT (-82.38456269999999 34.1841297),POINT (-82.38266 34.18073),POINT (-82.385937 34.182045),POINT (-82.38327 34.18175),POINT (-82.38456269999999 34.1841297)
2020-11-03,SC,ABBEVILLE,ABBEVILLE,county,002,Abbeville No. 2,,election_day,Abbeville County Court House,"102 Court Sq, Abbeville SC 29620",,scraper,2020-10-20,,POINT (-82.3786277 34.1781378),POINT (-82.37805 34.17783),POINT (-82.37846500000001 34.177527),POINT (-82.37805 34.17783),POINT (-82.3786277 34.1781378)
2020-11-03,SC,ABBEVILLE,ABBEVILLE,county,003,Abbeville No. 3,,election_day,Abbeville County Complex,"903 W Greenwood St, Abbeville SC 29620",,scraper,2020-10-20,,POINT (-82.38409279999999 34.1593635),POINT (-82.38323 34.16099),POINT (-82.384321 34.159914),POINT (-82.38463 34.16014),POINT (-82.38409279999999 34.1593635)
2020-11-03,SC,ABBEVILLE,ABBEVILLE,county,004,Abbeville No. 4,,election_day,Abbeville Fire Dept Headquarters,"17 Old Calhoun Falls Rd, Abbeville SC 29620",,scraper,2020-10-20,,POINT (-82.41022559999999 34.1669526),POINT (-82.40993 34.16751),POINT (-82.409622 34.167993),POINT (-82.57396 34.28231),POINT (-82.41022559999999 34.1669526)
2020-11-03,SC,ABBEVILLE,ABBEVILLE,county,005,Antreville,,election_day,Antreville Fire Dept,"147 Hwy 184 W, Abbeville SC 29620",,scraper,2020-10-20,,POINT (-82.52609440000001 34.2942733),POINT (-82.52643 34.29351),,POINT (-82.27043999999999 34.1934),POINT (-82.52609440000001 34.2942733)
2020-11-03,SC,ABBEVILLE,ABBEVILLE,county,006,Broadmouth,,election_day,Turkey Creek Fire Dept,"6855 Hwy 252, Donalds SC 29638",,scraper,2020-10-20,,POINT (-82.3145164 34.4364221),POINT (-82.3156 34.43731),POINT (-82.314374 34.436956),POINT (-82.31452 34.43641),POINT (-82.3145164 34.4364221)
2020-11-03,SC,ABBEVILLE,ABBEVILLE,county,007,Calhoun Falls,,election_day,Calhoun Falls Civic Center,"401 Washington St N, Calhoun Falls SC 29628",,scraper,2020-10-20,,POINT (-82.5865781 34.0930755),POINT (-82.58669999999999 34.09254),POINT (-82.586353 34.092862),POINT (-82.58651999999999 34.09309),POINT (-82.5865781 34.0930755)
2020-11-03,SC,ABBEVILLE,ABBEVILLE,county,008,Cold Springs,,election_day,Cold Springs Fire Dept,"2106 Hwy 20, Abbeville SC 29620",,scraper,2020-10-20,,POINT (-82.3839572 34.2544663),POINT (-82.38424000000001 34.25406),POINT (-82.384327 34.254488),POINT (-82.38393000000001 34.25436),POINT (-82.3839572 34.2544663)
2020-11-03,SC,ABBEVILLE,ABBEVILLE,county,009,Donalds,,election_day,Donalds Fire Department,"445 W Main St, Donalds SC 29638",,scraper,2020-10-20,,POINT (-82.3522359 34.3675436),POINT (-82.35223000000001 34.36754),POINT (-82.352642 34.367689),POINT (-82.35223000000001 34.36749),POINT (-82.3522359 34.3675436)
2020-11-03,SC,ABBEVILLE,ABBEVILLE,county,010,Due West,,election_day,Due West Fire Department,"13 Church St, Due West SC 29639",,scraper,2020-10-20,,POINT (-82.39139849999999 34.3385767),POINT (-82.39107 34.33838),POINT (-82.39149999999999 34.338524),POINT (-82.39109999999999 34.33894),POINT (-82.39139849999999 34.3385767)
