election_date,state,county_name,jurisdiction,jurisdiction_type,precinct_id,precinct_name,polling_place_id,location_type,name,address,notes,source,source_date,source_notes,Google_geog,HERE_geog,MapQuest_geog,AzureMaps_geog,geog
2020-11-03,UT,Beaver,Beaver,county,,,,unknown,Beaver County Offices,"105 East Center Street, 2nd Floor, Beaver, UT 84713",,ORR,2020-10-21,,POINT (-112.6390266 38.2745556),POINT (-112.63907 38.27446),POINT (-112.639096 38.274218),POINT (-112.63911 38.27465),POINT (-112.6390266 38.2745556)
2020-11-03,UT,Box Elder,Box Elder,county,,,,unknown,Tremonton Senior Center,"510 West 1000 North, Tremonton, UT 84337",,ORR,2020-10-21,,POINT (-112.175045 41.7265182),POINT (-112.17504 41.72654),POINT (-112.175052 41.726069),POINT (-112.17511 41.72654),POINT (-112.175045 41.7265182)
2020-11-03,UT,Box Elder,Box Elder,county,,,,unknown,USU Brigham City,"989 S. Main, Brigham City, UT 84302",,ORR,2020-10-21,,POINT (-112.0146179 41.4901483),POINT (-112.01463 41.49016),POINT (-112.016123 41.489823),POINT (-112.01528 41.4896),POINT (-112.0146179 41.4901483)
2020-11-03,UT,Box Elder,Box Elder,county,,,,unknown,Vote By Mail,UT,,ORR,2020-10-21,,,,,,
2020-11-03,UT,Cache,Cache,county,,,,unknown,Cache County Event Center,"490 South 500 West, Logan, UT 84321",,ORR,2020-10-21,,POINT (-111.8482551 41.7226216),POINT (-111.84851 41.72254),POINT (-111.848695 41.722454),POINT (-111.84768 41.7259),POINT (-111.8482551 41.7226216)
2020-11-03,UT,Carbon,Carbon,county,,,,unknown,County Courthouse,"751 E 100 N, Downstairs Conference Room, Price, UT",,ORR,2020-10-21,,POINT (-110.797271 39.6014227),,,POINT (-110.79683 39.60182),POINT (-110.797271 39.6014227)
2020-11-03,UT,Daggett,Daggett,county,,,,unknown,Daggett County Courthouse,"95 North 1st West, Clerk/Treasurer's Office, Manila, UT 84046",,ORR,2020-10-21,,POINT (-109.7241664 40.9891699),POINT (-109.7252 40.98982),,POINT (-109.72631 40.98916),POINT (-109.7241664 40.9891699)
2020-11-03,UT,Davis,Davis,county,,,,unknown,Legacy Events Center (Fair Grounds),"151 South 1100 West, Farmington, UT 84025",,ORR,2020-10-21,,POINT (-111.9103297 40.9789975),POINT (-111.91055 40.97921),POINT (-111.911339 40.978384),POINT (-111.90851 40.97888),POINT (-111.9103297 40.9789975)
2020-11-03,UT,Duchesne,Duchesne,county,,,,unknown,Vote Center At The Clerk's Office-DROP BOX,"734 North Center Street, Duchesne, UT 84021",,ORR,2020-10-21,,POINT (-110.4004097 40.1718029),,POINT (-110.401069 40.171871),POINT (-110.39992 40.17178),POINT (-110.4004097 40.1718029)
2020-11-03,UT,Emery,Emery,county,,,,unknown,Emery County Courthouse,"75 E Main, Castle Dale, UT 84513",,ORR,2020-10-21,,POINT (-111.0183305 39.21212999999999),POINT (-111.01849 39.21215),POINT (-111.018253 39.211711),POINT (-111.01832 39.21213),POINT (-111.0183305 39.21212999999999)
2020-11-03,UT,Garfield,Garfield,county,,,,unknown,Garfield County Clerk's Office,"55 South Main Street, Panguitch, UT 84759",,ORR,2020-10-21,,POINT (-112.4351736 37.8217152),POINT (-112.43542 37.82191),POINT (-112.435625 37.821654),POINT (-112.43505 37.82166),POINT (-112.4351736 37.8217152)
2020-11-03,UT,Grand,Grand,county,,,,unknown,Grand County Clerk/Auditor Office,"125 East Center, Moab, UT 84532",,ORR,2020-10-21,,POINT (-109.548162 38.5738642),POINT (-109.54827 38.57358),POINT (-109.548238 38.573279),POINT (-109.54824 38.57373),POINT (-109.548162 38.5738642)
2020-11-03,UT,Iron,Iron,county,,,,unknown,Cedar City Aquatic Center,"Election Day & Ballot Drop Box Location, 2090 W Royal Hunte Dr, Cedar City, UT 84721",,ORR,2020-10-21,,,,,POINT (-113.08784 37.65994),
2020-11-03,UT,Iron,Iron,county,,,,unknown,Cedar City Council Chambers,"10 North Main St, Cedar City, UT 84720",,ORR,2020-10-21,,POINT (-113.0613724 37.6777021),POINT (-113.06134 37.67768),POINT (-113.061736 37.677934),POINT (-113.06141 37.67801),POINT (-113.0613724 37.6777021)
2020-11-03,UT,Iron,Iron,county,,,,unknown,Enoch City Offices,"900 E Midvalley Rd, Enoch, UT 84721",,ORR,2020-10-21,,POINT (-113.0437945 37.7643441),POINT (-113.04384 37.76439),POINT (-113.032595 37.764722),POINT (-113.03259 37.76419),POINT (-113.0437945 37.7643441)
2020-11-03,UT,Iron,Iron,county,,,,unknown,Iron County Courthouse,"Election Day, & Ballot Box Drop Off Location At, 68 S 100 East, Parowan, UT 84761",,ORR,2020-10-21,,,,,,
2020-11-03,UT,Iron,Iron,county,,,,unknown,Iron County Tourism Bureau,"Election Day & Ballot Drop Box Location, 581 N Main St, Cedar City, UT 84721",,ORR,2020-10-21,,,,,POINT (-113.06251 37.68861),
2020-11-03,UT,Juab,Juab,county,,,,unknown,Juab County Administration Building,"160 North Main, Room 115, Nephi, UT 84648",,ORR,2020-10-21,,POINT (-111.8355724 39.71078000000001),POINT (-111.83563 39.7108),POINT (-111.836118 39.710924),POINT (-111.83519 39.71092),POINT (-111.8355724 39.71078000000001)
2020-11-03,UT,Kane,Kane,county,,,,unknown,By Mail Big Water,"Kanab Election Center, 76 N Main, Kanab, UT 84741",,ORR,2020-10-21,,,,,POINT (-112.52789 37.04958),
2020-11-03,UT,Kane,Kane,county,,,,unknown,By Mail Glendale Town,"Valley Vote Center, 475 N State St, Orderville, UT 84758",,ORR,2020-10-21,,,POINT (-112.6249 37.28298),,POINT (-111.70001 40.30548),POINT (-112.6249 37.28298)
2020-11-03,UT,Kane,Kane,county,,,,unknown,By Mail Kane County Courthouse,"Kanab Election Center, 76 N Main, Kanab, UT 84741",,ORR,2020-10-21,,,,,POINT (-112.52789 37.04958),
2020-11-03,UT,Kane,Kane,county,,,,unknown,By Mail Kane County Courthouse,"Kanab Election Center, 76 N Main, Kanab, UT 84741",,ORR,2020-10-21,,,,,POINT (-112.52789 37.04958),
2020-11-03,UT,Kane,Kane,county,,,,unknown,By Mail Kane County Courthouse,"Kanab Election Center, 76 N Main, Kanab, UT 84741",,ORR,2020-10-21,,,,,POINT (-112.52789 37.04958),
2020-11-03,UT,Kane,Kane,county,,,,unknown,By Mail Orderville Town,"Valley Vote Center, 425 E State Street, Orderville, UT 84758",,ORR,2020-10-21,,,POINT (-112.6308 37.27711),,POINT (-112.63737 37.27716),POINT (-112.6308 37.27711)
2020-11-03,UT,Kane,Kane,county,,,,unknown,By Mail Voting Alton,"Valley Vote Center, 475 N State St, Orderville, UT 84758",,ORR,2020-10-21,,,POINT (-112.6249 37.28298),,POINT (-111.70001 40.30548),POINT (-112.6249 37.28298)
2020-11-03,UT,Kane,Kane,county,,,,unknown,By Mail Voting Bullfrog,"Kanab Election Center, 76 N Main, Kanab, UT 84741",,ORR,2020-10-21,,,,,POINT (-112.52789 37.04958),
2020-11-03,UT,Kane,Kane,county,,,,unknown,By Mail Voting Cedar Mountain,"Valley Vote Center, 475 N State St, Orderville, UT 84758",,ORR,2020-10-21,,,POINT (-112.6249 37.28298),,POINT (-111.70001 40.30548),POINT (-112.6249 37.28298)
2020-11-03,UT,Kane,Kane,county,,,,unknown,By Mail Voting Churchwells,"Kanab Election Center, 76 N Main, Kanab, UT 84741",,ORR,2020-10-21,,,,,POINT (-112.52789 37.04958),
2020-11-03,UT,Kane,Kane,county,,,,unknown,Kanab Election Center,"76 N Main St, Kanab, UT 84741",,ORR,2020-10-21,,POINT (-112.5277687 37.0494111),POINT (-112.52794 37.04936),POINT (-112.528549 37.049369),POINT (-112.52789 37.04958),POINT (-112.5277687 37.0494111)
2020-11-03,UT,Kane,Kane,county,,,,unknown,Kane County Courthouse,"76 N Main, Kanab, UT 84741",,ORR,2020-10-21,,POINT (-112.5277687 37.0494111),POINT (-112.52794 37.04936),POINT (-112.528549 37.049369),POINT (-112.52789 37.04958),POINT (-112.5277687 37.0494111)
2020-11-03,UT,Kane,Kane,county,,,,unknown,Valley Vote Center,"Valley Vote Center, 475 N State St, Orderville, UT 84758",,ORR,2020-10-21,,,POINT (-112.6249 37.28298),,POINT (-111.70001 40.30548),POINT (-112.6249 37.28298)
2020-11-03,UT,Millard,Millard,county,,,,unknown,Millard County Clerk's Office,"765 South Highway 99, Fillmore, UT 84631",,ORR,2020-10-21,,POINT (-112.3395057 38.9534135),POINT (-112.33973 38.95376),POINT (-112.339202 38.954354),POINT (-112.33853 38.95382),POINT (-112.3395057 38.9534135)
2020-11-03,UT,Millard,Millard,county,,,,unknown,Millard County Satellite Offices,"71 S 200 W, Delta, UT 84624",,ORR,2020-10-21,,POINT (-112.5788462 39.3510089),POINT (-112.57892 39.35096),POINT (-112.579304 39.35132),POINT (-112.57895 39.35132),POINT (-112.5788462 39.3510089)
2020-11-03,UT,Morgan,Morgan,county,,,,unknown,Morgan County Courthouse - Auditorium,"48 West Young Street, Morgan, UT 84050",,ORR,2020-10-21,,POINT (-111.6783228 41.0362481),POINT (-111.67846 41.03609),POINT (-111.678157 41.035805),POINT (-111.67845 41.03632),POINT (-111.6783228 41.0362481)
2020-11-03,UT,Piute,Piute,county,,,,unknown,Piute County Courthouse,"550 N Main, Junction, UT 84740",,ORR,2020-10-21,,POINT (-112.2208146 38.2447938),POINT (-112.21991 38.24516),POINT (-112.220063 38.245027),POINT (-111.83345 41.73104),POINT (-112.2208146 38.2447938)
2020-11-03,UT,Rich,Rich,county,,,,unknown,Clerk's Office,"20 South Main, Randolph, UT 84064",,ORR,2020-10-21,,POINT (-111.1845041 41.6650274),POINT (-111.18468 41.66506),POINT (-111.184892 41.664495),POINT (-111.18348 41.6645),POINT (-111.1845041 41.6650274)
