election_date,state,county_name,jurisdiction,jurisdiction_type,precinct_id,precinct_name,polling_place_id,location_type,name,address,notes,source,source_date,source_notes,Google_geog,HERE_geog,MapQuest_geog,AzureMaps_geog,geog
2020-11-03,VT,,Addison,municipality,,,,election_day,Addison Town Clerk's Office,"65 VT Route 17 West, Vergennes",,ORR,2020-11-01,,POINT (-73.3041351 44.08871),POINT (-73.30413 44.0887),POINT (-73.304147 44.088924),POINT (-73.30414 44.08871),POINT (-73.3041351 44.08871)
2020-11-03,VT,,Albany,municipality,,,,election_day,Albany Town Hall,"827 Main Street, Albany",,ORR,2020-11-01,,POINT (-72.37902439999999 44.7312082),POINT (-72.37906 44.7312),,POINT (-72.37906 44.7312),POINT (-72.37902439999999 44.7312082)
2020-11-03,VT,,Alburgh,municipality,,,,election_day,Alburgh Fire Hall,"36 Firehouse Road, Alburgh",,ORR,2020-11-01,,POINT (-73.3100329 44.9821284),POINT (-73.3005 44.97722),,POINT (-73.19865 41.27853),POINT (-73.3100329 44.9821284)
2020-11-03,VT,,Andover,municipality,,,,election_day,Andover Town Hall,"59 Town Hall Road, Chester",,ORR,2020-11-01,,POINT (-72.6991192 43.277551),POINT (-72.69884999999999 43.27696),,POINT (-72.69897 43.27704),POINT (-72.6991192 43.277551)
2020-11-03,VT,,Arlington,municipality,,,,election_day,American Legion Post #69,"54 Legion Road, Arlington",,ORR,2020-11-01,,POINT (-73.15464450000002 43.070147),POINT (-73.15455 43.07012),,POINT (-73.15456 43.07012),POINT (-73.15464450000002 43.070147)
2020-11-03,VT,,Ascutney,municipality,,,,election_day,Martin Memorial Hall,"5259 US Route 5, Ascutney",,ORR,2020-11-01,,POINT (-72.4069971 43.4081701),POINT (-72.40738 43.40707),,POINT (-72.40713 43.40814),POINT (-72.4069971 43.4081701)
2020-11-03,VT,,Athens,municipality,,,,election_day,Athens Town Office,"25 Brookline Road, Athens",,ORR,2020-11-01,,POINT (-72.56738299999999 43.12973),POINT (-72.56746 43.12988),,POINT (-72.56738 43.12973),POINT (-72.56738299999999 43.12973)
2020-11-03,VT,,Bakersfield,municipality,,,,election_day,Town Hall,"40 East Bakersfield Road, Bakersfield",,ORR,2020-11-01,,POINT (-72.80091829999999 44.7817759),POINT (-72.80089 44.78172),,POINT (-72.8009 44.78173),POINT (-72.80091829999999 44.7817759)
2020-11-03,VT,,Baltimore,municipality,,,,election_day,Baltimore Town Office,"1902 Baltimore Road, Chester",,ORR,2020-11-01,,POINT (-72.5713851 43.3616675),POINT (-72.57138 43.36167),,POINT (-72.57138 43.36167),POINT (-72.5713851 43.3616675)
2020-11-03,VT,,Barnard,municipality,,,,election_day,Town Hall,"115 North Road, Bethel",,ORR,2020-11-01,,POINT (-72.61842419999999 43.7302873),POINT (-72.6306 43.8208),,POINT (-72.61838 43.73018),POINT (-72.61842419999999 43.7302873)
2020-11-03,VT,,Barnet,municipality,,,,election_day,Fire & Rescue Station,"151 Bimson Drive, Barnet",,ORR,2020-11-01,,POINT (-72.05882740000001 44.2928446),POINT (-72.05886 44.29283),,POINT (-72.05882 44.29282),POINT (-72.05882740000001 44.2928446)
2020-11-03,VT,,Barre City,municipality,,,,election_day,Barre City Auditorium,"20 Auditorium Hill, Barre",,ORR,2020-11-01,,POINT (-72.50354899999999 44.20327),POINT (-72.50354 44.20327),,POINT (-72.50389 44.20319),POINT (-72.50354899999999 44.20327)
2020-11-03,VT,,Barre Town,municipality,,,,election_day,Barre Town Middle & Elementary School Gymnasium,"70 Websterville Road, Barre Town",,ORR,2020-11-01,,POINT (-72.4862131 44.16824709999999),POINT (-72.48778 44.16557),,POINT (-72.48559 44.16861),POINT (-72.4862131 44.16824709999999)
2020-11-03,VT,,Barton,municipality,,,,election_day,Town Office,"34 Main Street, Barton",,ORR,2020-11-01,,POINT (-72.17467289999999 44.7462952),POINT (-72.17469 44.74624),,POINT (-72.17469 44.74623),POINT (-72.17467289999999 44.7462952)
2020-11-03,VT,,Belvidere,municipality,,,,election_day,Belvidere Town Clerk,"3996 VT Route 109, Belvidere Center",,ORR,2020-11-01,,POINT (-72.692291 44.74979),POINT (-72.69253999999999 44.74969),,POINT (-72.69229 44.74979),POINT (-72.692291 44.74979)
2020-11-03,VT,,Bennington,municipality,,,,election_day,Bennington Fire House,"130 River Street, Bennington",,ORR,2020-11-01,,POINT (-73.19999869999999 42.8823785),POINT (-73.20026 42.88222),POINT (-73.19994699999999 42.882073),POINT (-73.19995 42.88239),POINT (-73.19999869999999 42.8823785)
2020-11-03,VT,,Benson,municipality,,,,election_day,Benson Community Hall,"2724 Stage Road, Benson",,ORR,2020-11-01,,POINT (-73.3097509 43.7083678),POINT (-73.30982 43.70834),,POINT (-73.30982 43.70834),POINT (-73.3097509 43.7083678)
2020-11-03,VT,,Berkshire,municipality,,,,election_day,Town of Berkshire,"4454 Water Tower Road, Enosburg Falls",,ORR,2020-11-01,,POINT (-72.774079 44.971746),POINT (-72.77410999999999 44.97162),,POINT (-72.77408 44.97174),POINT (-72.774079 44.971746)
2020-11-03,VT,,Berlin,municipality,,,,election_day,Berlin Municipal Office,"108 Shed Road, Berlin",,ORR,2020-11-01,,POINT (-72.5779039 44.2117405),POINT (-72.57796 44.21178),,POINT (-72.57792000000001 44.21175),POINT (-72.5779039 44.2117405)
2020-11-03,VT,,Bethel,municipality,,,,election_day,Bethel Fire Department,"587 Pleasant Street, Bethel",,ORR,2020-11-01,,POINT (-72.64634199999999 43.83589600000001),POINT (-72.6463 43.83605),,POINT (-72.64634 43.83589),POINT (-72.64634199999999 43.83589600000001)
2020-11-03,VT,,Bloomfield,municipality,,,,election_day,Old Schoolhouse,"27 Schoolhouse Road, Bloomfield",,ORR,2020-11-01,,POINT (-71.62864669999999 44.7545526),POINT (-71.62863 44.75453),,POINT (-71.62864 44.75453),POINT (-71.62864669999999 44.7545526)
2020-11-03,VT,,Bolton,municipality,,,,election_day,Smilie Memorial School,"2712 Theodore Roosevelt Highway, Bolton",,ORR,2020-11-01,,POINT (-72.87679919999999 44.37397989999999),POINT (-72.87911 44.37323),,POINT (-72.87685 44.37378),POINT (-72.87679919999999 44.37397989999999)
2020-11-03,VT,,Bradford,municipality,,,,election_day,Bradford Academy,"172 North Main Street, Bradford",,ORR,2020-11-01,,POINT (-72.12597819999999 43.9972578),POINT (-72.12618000000001 43.99728),,POINT (-72.12627000000001 43.99747),POINT (-72.12597819999999 43.9972578)
2020-11-03,VT,,Braintree,municipality,,,,election_day,Braintree Town Clerk's Office,"932 VT-12A, Braintree",,ORR,2020-11-01,,POINT (-72.689503 43.9315423),POINT (-72.68949000000001 43.93147),,POINT (-72.68949000000001 43.93148),POINT (-72.689503 43.9315423)
2020-11-03,VT,,Brandon,municipality,,,,election_day,Brandon American Legion Post 55,"550 Franklin Street, Brandon",,ORR,2020-11-01,,POINT (-73.0785867 43.79352189999999),POINT (-73.07850000000001 43.79346),,POINT (-73.07859999999999 43.79332),POINT (-73.0785867 43.79352189999999)
