election_date,state,county_name,jurisdiction,jurisdiction_type,precinct_id,precinct_name,polling_place_id,location_type,name,address,notes,source,source_date,source_notes,Google_geog,HERE_geog,MapQuest_geog,AzureMaps_geog,geog
2020-11-03,VA,ACCOMACK COUNTY,ACCOMACK COUNTY,county,,101 - CHINCOTEAGUE,,election_day,CHINCOTEAGUE CENTER,"6155 Community Dr, Chincoteague, VA 23336-2731",,website,2020-11-01,,POINT (-75.3604478 37.9366923),POINT (-75.36042 37.93669),,POINT (-75.36042999999999 37.93668),POINT (-75.3604478 37.9366923)
2020-11-03,VA,ACCOMACK COUNTY,ACCOMACK COUNTY,county,,201 - ATLANTIC,,election_day,ATLANTIC FIRE HOUSE,"10071 Atlantic Rd, Atlantic, VA 23303-2120",,website,2020-11-01,,POINT (-75.5067754 37.900969),POINT (-75.50658 37.90077),,POINT (-75.50682999999999 37.90101),POINT (-75.5067754 37.900969)
2020-11-03,VA,ACCOMACK COUNTY,ACCOMACK COUNTY,county,,202 - GREENBACKVILLE,,election_day,GREENBACKVILLE VOL. FIRE DEPT.,"1468 Ellis Street, Greenbackville, VA 23356",,website,2020-11-01,,POINT (-75.39033409999999 38.01224029999999),POINT (-75.39031 38.01227),,POINT (-75.39032 38.01224),POINT (-75.39033409999999 38.01224029999999)
2020-11-03,VA,ACCOMACK COUNTY,ACCOMACK COUNTY,county,,301 - NEW CHURCH,,election_day,ARCADIA MIDDLE SCHOOL,"29485 HORSEY RD, Oak Hall, VA 23416",,website,2020-11-01,,POINT (-75.557233 37.924614),POINT (-75.55443 37.92488),,POINT (-75.55431 37.9243),POINT (-75.557233 37.924614)
2020-11-03,VA,ACCOMACK COUNTY,ACCOMACK COUNTY,county,,401 - BLOXOM,,election_day,BLOXOM FIRE HOUSE BANQUET HALL,"15312 BAYSIDE DRIVE, BLOXOM, VA 23308",,website,2020-11-01,,POINT (-75.6237639 37.8291391),POINT (-75.62371 37.8292),,POINT (-75.62372000000001 37.82918),POINT (-75.6237639 37.8291391)
2020-11-03,VA,ACCOMACK COUNTY,ACCOMACK COUNTY,county,,402 - PARKSLEY,,election_day,PARKSLEY FIRE HOUSE,"18443 DUNNE AVENUE, Parksley, VA 23421",,website,2020-11-01,,POINT (-75.6521638 37.7838214),POINT (-75.6521 37.78413),,POINT (-75.65199 37.78398),POINT (-75.6521638 37.7838214)
2020-11-03,VA,ACCOMACK COUNTY,ACCOMACK COUNTY,county,,403 - SAXIS,,election_day,SAXIS FIRE HOUSE,"8337 FREE SCHOOL LANE, Saxis, VA 23427",,website,2020-11-01,,POINT (-75.72035289999999 37.9271105),POINT (-75.72035 37.92711),,POINT (-75.72073 37.9275),POINT (-75.72035289999999 37.9271105)
2020-11-03,VA,ACCOMACK COUNTY,ACCOMACK COUNTY,county,,501 - MAPPSVILLE,,election_day,KEGOTANK ELEMENTARY SCHOOL,"13300 Lankford Hwy, Hallwood, VA 23359-2313",,website,2020-11-01,,POINT (-75.56146199999999 37.855231),POINT (-75.56202999999999 37.85456),,,POINT (-75.56146199999999 37.855231)
2020-11-03,VA,ACCOMACK COUNTY,ACCOMACK COUNTY,county,,502 - RUE,,election_day,METOMPKIN ELEMENTARY SCHOOL,"24501 Parksley Rd, Parksley, VA 23421-2519",,website,2020-11-01,,POINT (-75.64544529999999 37.77994899999999),POINT (-75.64642000000001 37.77905),,POINT (-75.64642000000001 37.77938),POINT (-75.64544529999999 37.77994899999999)
2020-11-03,VA,ACCOMACK COUNTY,ACCOMACK COUNTY,county,,601 - ACCOMAC,,election_day,Elk's Lodge,"22454 Front St, Accomac, VA 23301",,website,2020-11-01,,POINT (-75.6834441 37.7161453),POINT (-75.68338 37.71611),,POINT (-75.68334 37.71614),POINT (-75.6834441 37.7161453)
2020-11-03,VA,ACCOMACK COUNTY,ACCOMACK COUNTY,county,,602 - TANGIER,,election_day,TANGIER COMBINED SCHOOL,"4375 SCHOOL LANE, Tangier, VA 23440",,website,2020-11-01,,POINT (-75.9937628 37.82744),POINT (-75.99375000000001 37.82747),,POINT (-75.99375999999999 37.82739),POINT (-75.9937628 37.82744)
2020-11-03,VA,ACCOMACK COUNTY,ACCOMACK COUNTY,county,,701 - NANDUA,,election_day,NANDUA MIDDLE SCHOOL,"20330 Warrior Dr, Onley, VA 23418",,website,2020-11-01,,POINT (-75.7257812 37.6812951),POINT (-75.72483 37.68136),,POINT (-75.72504000000001 37.68131),POINT (-75.7257812 37.6812951)
2020-11-03,VA,ACCOMACK COUNTY,ACCOMACK COUNTY,county,,801 - BOBTOWN,,election_day,PUNGOTEAGUE ELEMENTARY SCHOOL,"28480 Bobtown Rd, Melfa, VA 23410-3508",,website,2020-11-01,,POINT (-75.7926562 37.652703),POINT (-75.79146 37.65255),,POINT (-75.79237999999999 37.6529),POINT (-75.7926562 37.652703)
2020-11-03,VA,ACCOMACK COUNTY,ACCOMACK COUNTY,county,,802 - MELFA,,election_day,MELFA FIREHOUSE,"28328 Hatton St, Melfa, VA 23410-3707",,website,2020-11-01,,POINT (-75.74305489999999 37.65151530000001),POINT (-75.74196999999999 37.65247),,POINT (-75.74215 37.65221),POINT (-75.74305489999999 37.65151530000001)
