election_date,state,county_name,jurisdiction,jurisdiction_type,precinct_id,precinct_name,polling_place_id,location_type,name,address,notes,source,source_date,source_notes,Google_geog,HERE_geog,MapQuest_geog,AzureMaps_geog,geog
2020-11-03,WV,BARBOUR,BARBOUR,county,1,,,election_day,JUNIOR ELEMENTARY SCHOOL,"49 WATKINS ST, BELINGTON, WV 26250",,ORR,2020-10-21,,POINT (-79.9354426 39.0233218),POINT (-79.93577999999999 39.02361),POINT (-79.935619 39.023397),POINT (-79.93492000000001 39.02632),POINT (-79.9354426 39.0233218)
2020-11-03,WV,BARBOUR,BARBOUR,county,2,,,election_day,BELINGTON FIRE DEPARTMENT,"301, BELINGTON, WV 26250",,ORR,2020-10-21,,POINT (-79.9350975 39.0235072),POINT (-79.92997 39.0225),,,POINT (-79.9350975 39.0235072)
2020-11-03,WV,BARBOUR,BARBOUR,county,3,,,election_day,BELINGTON ELEMENTARY SCHOOL,"471 MORGANTOWN PIKE, BELINGTON, WV 26250",,ORR,2020-10-21,,POINT (-79.92608229999999 39.0321332),POINT (-79.92567 39.03176),POINT (-79.925628 39.031622),POINT (-79.92608 39.03213),POINT (-79.92608229999999 39.0321332)
2020-11-03,WV,BARBOUR,BARBOUR,county,4,,,election_day,BARBOUR COUNTY FAIRGROUNDS,"118 FAIRGROUNDS WAY, BELINGTON, WV 26250",,ORR,2020-10-21,,POINT (-79.9781766 39.0670385),POINT (-79.97817999999999 39.06704),,POINT (-81.09813 38.05364),POINT (-79.9781766 39.0670385)
2020-11-03,WV,BARBOUR,BARBOUR,county,5,,,election_day,PHILIP BARBOUR HIGH SCHOOL,"99 HORSESHOE DR, PHILIPPI, WV 26416",,ORR,2020-10-21,,POINT (-79.99339759999999 39.10890819999999),POINT (-79.99305 39.10865),POINT (-79.99334899999999 39.1083),POINT (-79.99154 39.13139),POINT (-79.99339759999999 39.10890819999999)
2020-11-03,WV,BARBOUR,BARBOUR,county,6,,,election_day,UNION COMMUNITY BUILDING,"30 BURNER RD, PHILIPPI, WV 26416",,ORR,2020-10-21,,POINT (-80.0380069 39.1008527),POINT (-80.03801 39.10085),POINT (-80.038481 39.100611),POINT (-80.03758999999999 39.10061),POINT (-80.0380069 39.1008527)
2020-11-03,WV,BARBOUR,BARBOUR,county,7,,,election_day,BARBOUR COUNTY COURTHOUSE,"26 N MAIN ST, PHILIPPI, WV 26416",,ORR,2020-10-21,,POINT (-80.0393078 39.1525025),POINT (-80.03931 39.15251),POINT (-80.039581 39.152227),POINT (-80.03931 39.1525),POINT (-80.0393078 39.1525025)
2020-11-03,WV,BARBOUR,BARBOUR,county,8,,,election_day,TACY COMMUNITY BUILDING,"288 TACY RD, PHILIPPI, WV 26416",,ORR,2020-10-21,,POINT (-79.9426891 39.1617721),POINT (-79.94269 39.16178),POINT (-79.942781 39.161861),POINT (-79.94269 39.16177),POINT (-79.9426891 39.1617721)
2020-11-03,WV,BARBOUR,BARBOUR,county,9,,,election_day,ARDEN-CLEMTOWN COMMUNITY CENTER,"3923 ARDEN RD, PHILIPPI, WV 26416",,ORR,2020-10-21,,POINT (-79.99564669999999 39.2133848),POINT (-79.99565 39.21338),POINT (-79.996405 39.213638),POINT (-79.99565 39.21338),POINT (-79.99564669999999 39.2133848)
2020-11-03,WV,BARBOUR,BARBOUR,county,10,,,election_day,KASSON SCHOOL,"19 KASSON RD, MOATSVILLE, WV 26405",,ORR,2020-10-21,,POINT (-79.8784582 39.228838),POINT (-79.87846 39.22884),POINT (-79.87920800000001 39.228904),POINT (-79.87846 39.22884),POINT (-79.8784582 39.228838)
2020-11-03,WV,BARBOUR,BARBOUR,county,11,,,election_day,PHILIPPI MIDDLE SCHOOL,"611 CHERRY HILL RD, PHILIPPI, WV 26416",,ORR,2020-10-21,,POINT (-80.06560229999999 39.152181),POINT (-80.0656 39.15218),POINT (-80.065192 39.152872),POINT (-80.0656 39.15218),POINT (-80.06560229999999 39.152181)
2020-11-03,WV,BARBOUR,BARBOUR,county,12,,,election_day,VOLGA-CENTURY COMMUNITY CENTER,"84 GILL ST, CENTURY, WV 26201",,ORR,2020-10-21,,POINT (-80.1897907 39.099912),POINT (-80.17939 39.09817),,POINT (-80.18979 39.09991),POINT (-80.1897907 39.099912)
2020-11-03,WV,BARBOUR,BARBOUR,county,13,,,election_day,PHILIPPI ELEMENTARY SCHOOL,"547 CHERRY HILL RD, PHILIPPI, WV 26416",,ORR,2020-10-21,,POINT (-80.0636014 39.1519094),POINT (-80.06319999999999 39.15225),POINT (-80.063395 39.152434),POINT (-80.06359999999999 39.15191),POINT (-80.0636014 39.1519094)
2020-11-03,WV,BERKELEY,BERKELEY,county,1,,,election_day,SAINT LUKE'S UNITED METHODIST,"700 NEW YORK AVENUE, MARTINSBURG, WV 25401",,ORR,2020-10-21,,POINT (-77.97435569999999 39.4513914),POINT (-77.97431 39.4514),POINT (-77.97487099999999 39.451543),POINT (-77.97452 39.45148),POINT (-77.97435569999999 39.4513914)
2020-11-03,WV,BERKELEY,BERKELEY,county,2,,,election_day,ORCHARD VIEW INTERMEDIATE,"1455 DELMAR ORCHARD ROAD, MARTINSBURG, WV 25403",,ORR,2020-10-21,,POINT (-78.003641 39.454135),POINT (-78.00292 39.45421),POINT (-78.001744 39.452804),POINT (-78.00364 39.45413),POINT (-78.003641 39.454135)
2020-11-03,WV,BERKELEY,BERKELEY,county,5,,,election_day,MARTINSBURG HIGH SCHOOL,"701 S QUEEN STREET, MARTINSBURG, WV 25401",,ORR,2020-10-21,,POINT (-77.9688683 39.4485446),POINT (-77.96802 39.44816),POINT (-77.96648399999999 39.44809),POINT (-77.96808 39.44841),POINT (-77.9688683 39.4485446)
2020-11-03,WV,BERKELEY,BERKELEY,county,6,,,election_day,SOUTH MIDDLE SCHOOL,"150 BULLDOG BLVD, MARTINSBURG, WV 25401",,ORR,2020-10-21,,POINT (-77.9690619 39.449668),POINT (-77.96834 39.44977),POINT (-77.969104 39.44943),POINT (-77.96906 39.44967),POINT (-77.9690619 39.449668)
2020-11-03,WV,BERKELEY,BERKELEY,county,7,,,election_day,BURKE STREET SCHOOL,"422 W BURKE STREET, MARTINSBURG, WV 25401",,ORR,2020-10-21,,POINT (-77.9680652 39.4585893),POINT (-77.96810000000001 39.45852),POINT (-77.96816 39.458341),POINT (-77.96810000000001 39.45852),POINT (-77.9680652 39.4585893)
2020-11-03,WV,BERKELEY,BERKELEY,county,8,,,election_day,ROSEMONT GRACE BRETHREN CHURCH,"117 S. ILLINOIS AVE, MARTINSBURG, WV 25401",,ORR,2020-10-21,,POINT (-77.978146 39.460304),POINT (-77.97821999999999 39.46021),POINT (-77.97787700000001 39.46021),POINT (-77.97815 39.4603),POINT (-77.978146 39.460304)
2020-11-03,WV,BERKELEY,BERKELEY,county,9,,,election_day,AMBROSE TOWERS,"703 PORTER AVENUE, MARTINSBURG, WV 25401",,ORR,2020-10-21,,POINT (-77.9781031 39.4529794),POINT (-77.97734 39.45391),POINT (-77.97843 39.453253),POINT (-77.97807 39.45297),POINT (-77.9781031 39.4529794)
2020-11-03,WV,BERKELEY,BERKELEY,county,10,,,election_day,TUSCARORA ELEMENTARY SCHOOL,"2000 TAVERN ROAD, MARTINSBURG, WV 25401",,ORR,2020-10-21,,POINT (-77.9752034 39.4768775),POINT (-77.97488 39.47697),POINT (-77.975775 39.476333),POINT (-77.97521 39.47699),POINT (-77.9752034 39.4768775)
2020-11-03,WV,BERKELEY,BERKELEY,county,11,,,election_day,ROSEMONT ELEMENTARY SCHOOL,"301 SOUTH ALABAMA AVENUE, MARTINSBURG, WV 25401",,ORR,2020-10-21,,POINT (-77.981876 39.459074),POINT (-77.98188 39.45907),POINT (-77.98138899999999 39.458909),POINT (-77.98188 39.45907),POINT (-77.981876 39.459074)
2020-11-03,WV,BERKELEY,BERKELEY,county,12,,,election_day,BEDINGTON FIRE STATION (MAIN),"775 BEDINGTON ROAD, MARTINSBURG, WV 25404",,ORR,2020-10-21,,POINT (-77.9047044 39.5236229),POINT (-77.90542000000001 39.52262),POINT (-77.90588700000001 39.522667),POINT (-77.90573000000001 39.52291),POINT (-77.9047044 39.5236229)
2020-11-03,WV,BERKELEY,BERKELEY,county,13,,,election_day,FAITH CHRISTIAN ACADEMY,"138 GREENSBURG ROAD, MARTINSBURG, WV 25404",,ORR,2020-10-21,,POINT (-77.9026181 39.45801489999999),POINT (-77.90286999999999 39.45803),POINT (-77.90328100000001 39.45839),POINT (-77.90286999999999 39.45803),POINT (-77.9026181 39.45801489999999)
2020-11-03,WV,BERKELEY,BERKELEY,county,14,,,election_day,BERKELEY SENIOR CENTER,"217 N HIGH STREET, MARTINSBURG, WV 25404",,ORR,2020-10-21,,POINT (-77.95646459999999 39.4581729),POINT (-77.95649 39.45828),POINT (-77.95704499999999 39.458437),POINT (-77.95649 39.45829),POINT (-77.95646459999999 39.4581729)
2020-11-03,WV,BERKELEY,BERKELEY,county,15,,,election_day,OPEQUON ELEMENTARY SCHOOL,"395 EAST ROAD, MARTINSBURG, WV 25404",,ORR,2020-10-21,,POINT (-77.94528 39.472123),POINT (-77.94695 39.4717),POINT (-77.945801 39.471117),POINT (-77.94528 39.47212),POINT (-77.94528 39.472123)
2020-11-03,WV,BERKELEY,BERKELEY,county,16,,,election_day,NORTH MIDDLE SCHOOL,"250 EAST ROAD, MARTINSBURG, WV 25404",,ORR,2020-10-21,,POINT (-77.94976699999999 39.471956),POINT (-77.95 39.4721),POINT (-77.94987500000001 39.472773),POINT (-77.94976 39.47115),POINT (-77.94976699999999 39.471956)
2020-11-03,WV,BERKELEY,BERKELEY,county,17,,,election_day,OTTERBEIN UNITED METHODIST,"549 NORTH QUEEN STREET, MARTINSBURG, WV 25404",,ORR,2020-10-21,,POINT (-77.96102 39.463869),POINT (-77.96102 39.46387),POINT (-77.961163 39.463909),POINT (-77.96102 39.46387),POINT (-77.96102 39.463869)
2020-11-03,WV,BERKELEY,BERKELEY,county,18,,,election_day,EAGLE SCHOOL INTERMEDIATE,"730 EAGLE SCHOOL ROAD, MARTINSBURG, WV 25404",,ORR,2020-10-21,,POINT (-77.94692599999999 39.481384),POINT (-77.94786000000001 39.48209),POINT (-77.948075 39.482107),POINT (-77.94692999999999 39.48138),POINT (-77.94692599999999 39.481384)
2020-11-03,WV,BERKELEY,BERKELEY,county,19,,,election_day,POTOMACK INTERMEDIATE SCHOOL,"5308 WILLIAMSPORT PIKE, FALLING WATERS, WV 25419",,ORR,2020-10-21,,POINT (-77.9061217 39.5410241),,POINT (-77.907393 39.541812),POINT (-77.90627000000001 39.54117),POINT (-77.9061217 39.5410241)
