election_date,state,county_name,jurisdiction,jurisdiction_type,precinct_id,precinct_name,polling_place_id,location_type,name,address,notes,source,source_date,source_notes,Google_geog,HERE_geog,MapQuest_geog,AzureMaps_geog,geog
2020-11-03,WI,Adams,Adams | CITY OF ADAMS,municipality,2,CITY OF ADAMS - Ward 2,,election_day,ADAMS CITY HALL,"101 N MAIN ST, ADAMS, WI 53910-9805",,scraper,2020-10-21,,POINT (-89.8180502 43.9580242),POINT (-89.81804 43.958),POINT (-89.817611 43.957996),POINT (-89.81798999999999 43.95802),POINT (-89.8180502 43.9580242)
2020-11-03,WI,Adams,Adams | CITY OF ADAMS,municipality,1,CITY OF ADAMS - Ward 1,,election_day,ADAMS CITY HALL,"101 N MAIN ST, ADAMS, WI 53910-9805",,scraper,2020-10-21,,POINT (-89.8180502 43.9580242),POINT (-89.81804 43.958),POINT (-89.817611 43.957996),POINT (-89.81798999999999 43.95802),POINT (-89.8180502 43.9580242)
2020-11-03,WI,Adams,Adams | CITY OF ADAMS,municipality,3,CITY OF ADAMS - Ward 3,,election_day,ADAMS CITY HALL,"101 N MAIN ST, ADAMS, WI 53910-9805",,scraper,2020-10-21,,POINT (-89.8180502 43.9580242),POINT (-89.81804 43.958),POINT (-89.817611 43.957996),POINT (-89.81798999999999 43.95802),POINT (-89.8180502 43.9580242)
2020-11-03,WI,Adams,Adams | CITY OF ADAMS,municipality,4,CITY OF ADAMS - Ward 4,,election_day,ADAMS CITY HALL,"101 N MAIN ST, ADAMS, WI 53910-9805",,scraper,2020-10-21,,POINT (-89.8180502 43.9580242),POINT (-89.81804 43.958),POINT (-89.817611 43.957996),POINT (-89.81798999999999 43.95802),POINT (-89.8180502 43.9580242)
2020-11-03,WI,Adams,Adams | CITY OF WISCONSIN DELLS,municipality,9,CITY OF WISCONSIN DELLS - Ward 9,,election_day,WISCONSIN DELLS MUNICIPAL BUILDING,"300 LA CROSSE ST, WISCONSIN DELLS, WI 53965-1568",,scraper,2020-10-21,,POINT (-89.77502079999999 43.624788),POINT (-89.63654 43.64983),,POINT (-89.77497 43.62476),POINT (-89.77502079999999 43.624788)
2020-11-03,WI,Adams,Adams | CITY OF WISCONSIN DELLS,municipality,5,CITY OF WISCONSIN DELLS - Ward 5,,election_day,WISCONSIN DELLS MUNICIPAL BUILDING,"300 LA CROSSE ST, WISCONSIN DELLS, WI 53965-1568",,scraper,2020-10-21,,POINT (-89.77502079999999 43.624788),POINT (-89.63654 43.64983),,POINT (-89.77497 43.62476),POINT (-89.77502079999999 43.624788)
2020-11-03,WI,Adams,Adams | TOWN OF Adams,municipality,2,TOWN OF Adams - Ward 2,,election_day,ADAMS TOWN HALL,"1980 11TH AVE, FRIENDSHIP, WI 53934-9005",,scraper,2020-10-21,,POINT (-89.7964995 43.9695446),POINT (-89.79649999999999 43.96954),POINT (-89.797794 43.969533),POINT (-89.79707999999999 43.96958),POINT (-89.7964995 43.9695446)
2020-11-03,WI,Adams,Adams | TOWN OF Adams,municipality,1,TOWN OF Adams - Ward 1,,election_day,ADAMS TOWN HALL,"1980 11TH AVE, FRIENDSHIP, WI 53934-9005",,scraper,2020-10-21,,POINT (-89.7964995 43.9695446),POINT (-89.79649999999999 43.96954),POINT (-89.797794 43.969533),POINT (-89.79707999999999 43.96958),POINT (-89.7964995 43.9695446)
2020-11-03,WI,Adams,Adams | TOWN OF Adams,municipality,3,TOWN OF Adams - Ward 3,,election_day,ADAMS TOWN HALL,"1980 11TH AVE, FRIENDSHIP, WI 53934-9005",,scraper,2020-10-21,,POINT (-89.7964995 43.9695446),POINT (-89.79649999999999 43.96954),POINT (-89.797794 43.969533),POINT (-89.79707999999999 43.96958),POINT (-89.7964995 43.9695446)
2020-11-03,WI,Adams,Adams | TOWN OF Big Flats,municipality,2,TOWN OF Big Flats - Ward 2,,election_day,BIG FLATS TOWN HALL,"1104 COUNTY ROAD C, ARKDALE, WI 54613-9728",,scraper,2020-10-21,,POINT (-89.79919819999999 44.1123519),POINT (-89.79886999999999 44.11213),POINT (-89.79884199999999 44.11192),POINT (-89.79884 44.11237),POINT (-89.79919819999999 44.1123519)
2020-11-03,WI,Adams,Adams | TOWN OF Big Flats,municipality,1,TOWN OF Big Flats - Ward 1,,election_day,BIG FLATS TOWN HALL,"1104 COUNTY ROAD C, ARKDALE, WI 54613-9728",,scraper,2020-10-21,,POINT (-89.79919819999999 44.1123519),POINT (-89.79886999999999 44.11213),POINT (-89.79884199999999 44.11192),POINT (-89.79884 44.11237),POINT (-89.79919819999999 44.1123519)
