,State,OPE ID,IPED ID,School Name,Institution Type,# of Nat'l AP Partners,# of Partners,Civic Holiday,MSI,NSLVE,"NSLVE
2014",2016 NSLVE Report,2018 NSLVE Reports,2016 Action Plan,2018 Action Plan,2020 Action Plan,Campus Contact,City,Longitude,Latitude,Pell Grant %,BIPOC %,American Indian or Alaskan Native,Asian,Black or African American,Hispanic or Latinx,NHPI,Two or more Races,SLSV Coalition,ALL IN,AGF,Ask Every Student,Campus Vote Project,Voter Friendly Campus,StudentPIRGs,Aliento Education Fund,Alliance for Youth Organizing,American Democracy Project, Arizona Students' Association,Baltimore Collegetown Network		,Black Girls Vote,Boston Votes Coalition,California Campus Compact ,CALPIRG Students,CEEP,Civic Nebraska,Common Cause,Count US IN,Creative Campus Voting Project,Day on Democracy,Democracy Works,Engage Miami,Every Vote Counts,Forward Montana,Georgia Shift,Hillel International,IGNITE National,IA & MN Campus Compact,LeadMN,Loud Light,Maine Students Vote,MARYPIRG,MI Familia Vota,Minnesota Youth Collective,Mississippi Votes,NASPAA,New Era Colorado,NYPIRG,NCAAT,NCPIRG,NC Campus Compact,Ohio Campus Compact,PIRGIM Campus Action,Project Pericles,TurnUp Activism,Up to Us/ Net Impact,VoteRiders,Washington Student Association,Xceleader (Vote HBCU),NVEW 2020,"NVRD
2017",NVRD 2018,NVRD 2020,preprocessed_name,UNIQUEID,NAME,ADDRESS,CITY,STATE,ZIP,ZIP4,TELEPHONE,TYPE,STATUS,POPULATION,COUNTY,COUNTYFIPS,COUNTRY,NAICS_CODE,NAICS_DESC,SOURCE,SOURCEDATE,VAL_METHOD,VAL_DATE,WEBSITE,TOT_ENROLL,TOT_EMP,SHELTERID,x_centroid,y_centroid,centroid_geom,geometry
0,AK,1061.00,102669.00,Alaska Pacific University,"Private, 4 Year",0.0,1.0,1.0,ANNH,No,,,,,,,,Anchorage,-149.804168,61.190968,35,43.07%,20.10%,2.36%,3.89%,5.24%,0.68%,10.81%, , , , , , , , , , , , , , , , , , , , , , , , , , , ,X, , , , , , , , , , , , , , , , , , , , , , , , , , ,X,alaska pacific university,102669,ALASKA PACIFIC UNIVERSITY,4101 UNIVERSITY DR,ANCHORAGE,AK,99508,NOT AVAILABLE,(907) 561-1266,2,A,650,ANCHORAGE,02020,USA,611310,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",https://www.alaskapacific.edu/visit/campus-map/,2017-11-28,IMAGERY/OTHER,2017-11-28,www.alaskapacific.edu,502,148,NOT AVAILABLE,-16676115.4914684,8669655.759709505,"-16676115.4914684, 8669655.759709505","POLYGON ((-16676514.7084003 8669707.201679906, -16676371.67298471 8670097.470945707, -16676223.33998586 8670600.454587461, -16676173.01266671 8670663.673560683, -16676019.38208462 8670556.47646502, -16676031.3016191 8670020.514665989, -16675902.83469659 8669957.301278476, -16675606.16858758 8669652.235640746, -16675583.65377529 8669402.146523392, -16675966.40591819 8669022.906649718, -16676500.13990722 8669033.898781573, -16676514.7084003 8669707.201679906))"
1,AK,11462.00,102553.00,"University of Alaska, Anchorage","Public, 4 Year",1.0,4.0,2.0, ,Yes,,,,,http://www.allinchallenge.org/wp-content/uploads/University-of-Alaska-Anchorage-Action-Plan-2018.pdf,,,Anchorage,-149.82619,61.190163,23,31.49%,5.99%,5.98%,2.73%,7.15%,0.83%,8.81%, ,X, , , , , , , , , , , , , , ,X, , , , , , , , , , ,X, , , , , , , , , ,X, , , , , , , , , , , , , , ,X,X, ,university alaska anchorage,102553,UNIVERSITY OF ALASKA ANCHORAGE,3211 PROVIDENCE DRIVE,ANCHORAGE,AK,99508,NOT AVAILABLE,(907) 786-1800,1,A,17086,ANCHORAGE,02020,USA,611310,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",https://www.uaa.alaska.edu/map/,2017-11-27,IMAGERY/OTHER,2017-11-27,www.uaa.alaska.edu,14644,2442,10822636,-16678243.96422966,8669554.899916442,"-16678243.96422966, 8669554.899916442","MULTIPOLYGON (((-16676651.40483882 8670483.062284118, -16676899.73012499 8670153.238508061, -16677048.72536348 8669878.396546174, -16677048.72536348 8669809.687619403, -16676932.84021509 8669527.988331448, -16676830.19908048 8669294.392148843, -16676830.19908048 8669136.37547278, -16676836.82103171 8668895.921694061, -16676790.46703915 8668744.783681121, -16676714.31393209 8668600.518221639, -16676621.60572432 8668380.690902073, -16676581.87368299 8668250.171514187, -16676578.56270738 8667865.496343771, -16676730.86892148 8667851.758444492, -16676740.80195965 8667714.379491966, -16676843.44309426 8667728.117362926, -16676909.66316315 8667879.234499929, -16676876.55307304 8667941.05594608, -16676879.86415998 8667961.663288437, -16676932.84021509 8668064.700644385, -16677025.54831154 8668078.43894553, -16677306.98379913 8668105.915856548, -16677316.91672598 8668277.649073437, -16677412.93590936 8668277.649073437, -16677412.93590936 8669328.743983759, -16677422.86894752 8669411.189187601, -16677409.62493374 8669500.506052114, -16677515.57704397 8669548.599935798, -16677667.88325808 8669582.953201389, -16677939.38570751 8669576.082396705, -16678091.69192162 8669514.247063311, -16678220.82108378 8669411.189187601, -16678369.81632227 8669253.169976125, -16678392.99337422 8668985.232236378, -16678624.763671 8668998.972274924, -16678647.94072294 8669136.37547278, -16678879.71101971 8669150.115796626, -16679899.50052591 8669108.894671908, -16679906.12258846 8669534.858859735, -16679488.93598747 8669569.211829493, -16679485.62490053 8670077.655939789, -16679445.8928592 8670091.398040541, -16679151.21346914 8670160.109626533, -16678995.59627942 8670187.59439634, -16678591.65369221 8670201.336704649, -16678442.65845372 8670139.496059528, -16678303.59625339 8670235.693050975, -16678240.68716011 8670173.851882953, -16678141.35700111 8670304.40576808, -16677959.25167252 8670228.821630137, -16677959.25167252 8669988.33199322, -16677588.41917541 8670077.655939789, -16677508.95509274 8670221.950446784, -16677436.1129613 8670352.505194612, -16677333.47182669 8670462.447802505, -16677227.51960514 8670572.392302062, -16676916.2852257 8670483.062284118, -16676664.64885259 8670785.414106013, -16676651.40483882 8670483.062284118)), ((-16682661.27586677 8668338.649611805, -16682661.27586677 8668180.378846053, -16682995.02516983 8668189.171717232, -16683057.53696384 8668296.883403525, -16683056.47742493 8668894.822708834, -16682881.65639853 8668890.425845722, -16682753.45430508 8668620.028256249, -16682661.27586677 8668338.649611805)), ((-16678826.7349646 8675129.670692021, -16679094.9263271 8675129.670692021, -16679091.61535149 8675390.95866178, -16678823.42398899 8675397.834726842, -16678826.7349646 8675129.670692021)), ((-16676399.50352532 8672943.195508253, -16676405.86064748 8672567.070408152, -16676563.19961577 8672573.66903607, -16676566.37823251 8672956.393221002, -16676399.50352532 8672943.195508253)))"
2,AK,1063.00,102614.00,"University of Alaska, Fairbanks","Public, 4 Year",0.0,1.0,0.0,ANNH,Yes,,,,,,,,Fairbanks,-147.823146,64.85756,22,35.87%,18.31%,1.93%,2.55%,5.86%,0.55%,6.67%, , , , , , , , , , , , , , , , , , , , , , , , , , , ,X, , , , , , , , , , , , , , , , , , , , , , , , , , , ,university alaska fairbanks,102614,UNIVERSITY OF ALASKA FAIRBANKS,1731 SOUTH CHANDALAR DRIVE,FAIRBANKS,AK,99775,NOT AVAILABLE,(907) 474-7034,1,A,9871,FAIRBANKS NORTH STAR,02090,USA,611310,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",https://www.uaf.edu/files/fs/bristolbaymasterplanjune2006.pdf,2017-11-27,IMAGERY/OTHER,2019-02-15,www.uaf.edu,7404,2467,NOT AVAILABLE,-16456622.993366495,9570805.521937426,"-16456622.993366495, 9570805.521937426","POLYGON ((-16457906.64442588 9572524.920342537, -16457895.51937861 9571900.123101277, -16457707.98410789 9571900.123101277, -16457042.07481015 9571926.310998933, -16456458.80821181 9571930.052209986, -16456393.64768184 9572016.099302314, -16456217.23723575 9572087.182247715, -16456069.43400636 9572221.868076196, -16455845.34519972 9572352.81504195, -16455648.2741901 9572330.366720499, -16455618.07788767 9572225.609444195, -16455544.97081584 9571761.702561677, -16455498.88165235 9571514.796723492, -16455338.36417864 9571342.716095928, -16455184.2038271 9571185.602660276, -16454791.6510049 9571671.917500285, -16454531.00877367 9571593.356673893, -16454510.34809882 9571260.418082675, -16454508.75879045 9570590.847593118, -16454461.08031859 9570155.723153537, -16454457.90170184 9569053.694521278, -16454990.84109235 9569071.146144535, -16454972.82926478 9569303.007077921, -16454921.97217617 9569751.792120906, -16456081.08882309 9569923.834158724, -16456102.80892554 9569715.639128849, -16456152.07670577 9569566.041618671, -16456236.30871355 9569416.447284633, -16456314.18348785 9569229.459029725, -16456322.12991838 9569109.789234573, -16457830.35884864 9569218.239965579, -16457822.4124181 9569487.504269326, -16457757.25188812 9569749.298750948, -16457593.55579768 9569969.962002391, -16457549.05583123 9570246.735406302, -16457577.66293662 9570411.308714587, -16457742.94833544 9570501.07745098, -16458836.3745716 9570920.013868153, -16458995.30284826 9571013.529810583, -16459017.55272016 9571118.269328348, -16458909.4815321 9571320.270992603, -16458837.96387996 9572483.764179496, -16457906.64442588 9572524.920342537))"
3,AK,1065.00,102632.00,"University of Alaska, Southeast","Public, 4 Year",0.0,2.0,0.0,ANNH & NASNTI,No,,,,,,,,Juneau,-134.638255,58.384846,18,31.37%,12.20%,3.42%,1.35%,6.00%,1.01%,7.38%, , , , , , , , , ,X, , , , , , , , , , , , , , , , , , , , , , , , , , , ,X, , , , , , , , , , , , , , , , , ,university alaska southeast,102632,UNIVERSITY OF ALASKA SOUTHEAST,11066 AUKE LAKE WAY,JUNEAU,AK,99801,8697,(877) 465-4827,1,A,2671,JUNEAU (CITY),02110,USA,611310,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",http://www.uas.alaska.edu/tours/campus-juneau.html,2017-11-27,IMAGERY/OTHER,2017-11-27,www.uas.alaska.edu,2266,405,NOT AVAILABLE,-14988186.452305365,8049255.930991362,"-14988186.452305365, 8049255.930991362","MULTIPOLYGON (((-14987767.55980102 8049741.469766906, -14987796.69667586 8049509.003038455, -14987847.02388368 8049337.18437732, -14987918.54164715 8049296.757017405, -14987968.86885498 8049140.103138546, -14987966.22011901 8048963.239889891, -14987894.70235555 8048806.592986771, -14987794.04782857 8048745.956430825, -14987709.28605134 8048644.896312017, -14987643.06598245 8048538.785005236, -14987531.81628897 8048326.566476887, -14987404.67362312 8048215.40670945, -14987492.08413632 8048169.932889069, -14987619.22680217 8048084.038530306, -14987690.74445431 8048089.090987475, -14987865.56548071 8048094.143660389, -14988027.14260465 8048043.617933996, -14988170.17802025 8047932.462365783, -14988151.63631191 8047821.308659498, -14988231.10050589 8047730.365867713, -14988268.18369994 8047619.214948201, -14988321.15975505 8047543.431291864, -14988299.96931074 8047674.790201767, -14988376.78465745 8047700.051778374, -14988517.17122576 8047664.685637441, -14988612.52816949 8047694.99958364, -14988707.88511322 8047775.837019406, -14988662.85548864 8048028.460240066, -14988673.45065514 8048114.353961444, -14988596.63541975 8048169.932889069, -14988495.98089278 8048756.062454002, -14988538.36167007 8048973.346206263, -14988691.99236348 8049064.304091989, -14988644.31389162 8049155.263082384, -14988493.33204549 8049094.6237035, -14988501.27847602 8049185.583062138, -14988395.32625448 8049362.451561529, -14988538.36167007 8049509.003038455, -14988824.43250127 8049670.718158029, -14988917.14070903 8049620.181794779, -14988956.87275036 8049711.147536623, -14988917.14070903 8050049.751964906, -14988000.6545771 8050651.191643419, -14987889.4047723 8050797.768129116, -14987738.42292617 8050797.768129116, -14987598.03635786 8050752.278626515, -14987584.79234409 8050666.354433974, -14987640.41724649 8050469.238427342, -14987693.3933016 8050262.019327282, -14987624.52438542 8049999.213043926, -14987653.66126026 8049948.674464008, -14987767.55980102 8049741.469766906)), ((-14989028.89490244 8049120.236871161, -14989118.87956754 8049095.712738113, -14989127.44960986 8049148.848390426, -14989046.03487575 8049173.372697462, -14989028.89490244 8049120.236871161)))"
4,AL,1002.00,100654.00,Alabama A & M University,"Public, 4 Year",3.0,5.0,0.0,HBCU,Yes,,,,,http://www.allinchallenge.org/wp-content/uploads/Alabama-AM-Action-Plan-2018.pdf,https://allinchallenge.org/wp-content/uploads/Alabama-AM-University-ALL-IN-Challenge-Action-Plan.pdf,"Monica Clarke, Service and Learning Coordinator, monica.clarke@aamu.edu",Normal,-86.568502,34.783368,71,91.04%,0.18%,0.29%,88.64%,0.80%,0.15%,0.97%, ,X,X,X, , , , , ,X, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,X, , , , ,alabama a m university,100654,ALABAMA A & M UNIVERSITY,4900 MERIDIAN STREET,NORMAL,AL,35762,NOT AVAILABLE,(256) 372-5000,1,A,7083,MADISON,01089,USA,611310,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",http://www.aamu.edu/information/Pages/CampusMap.aspx,2018-03-05,IMAGERY/OTHER,2018-03-05,www.aamu.edu/,6106,977,NOT AVAILABLE,-9636988.06461388,4134500.3110463815,"-9636988.06461388, 4134500.3110463815","POLYGON ((-9634964.877708141 4134743.39856593, -9635341.918827204 4134721.763072798, -9635612.09679734 4134692.73671928, -9635759.105428196 4134644.359766426, -9635862.408802457 4134533.093528609, -9635959.768495144 4134348.646691178, -9636029.696838915 4134234.480910303, -9636183.857301781 4134095.16152517, -9636369.803264132 4133944.234093737, -9636494.148471182 4133899.380799178, -9636703.55256719 4133888.120609936, -9637015.051887024 4133891.023005912, -9637169.212238573 4133898.76277737, -9637213.298764426 4133246.355727672, -9637475.530304028 4133246.355727672, -9637936.422161616 4133260.866882249, -9638214.546562277 4133754.260866059, -9638165.692333948 4133917.144874663, -9638313.876721274 4133952.591926775, -9637900.663335549 4135258.762851494, -9637125.888251228 4135263.60081679, -9636601.425060712 4135505.501209193, -9636243.836466059 4135490.987005495, -9635922.006808797 4135336.170411983, -9635588.257505745 4135147.490498579, -9635294.240355341 4134958.813905222, -9634964.877708141 4134743.39856593))"
5,AL,1005.00,100724.00,Alabama State University,"Public, 4 Year",0.0,0.0,0.0,HBCU,No,,,,,,,,Montgomery,-86.295677,32.364317,74,94.18%,0.11%,0.50%,91.50%,0.99%,0.06%,1.02%, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,alabama state university,100724,ALABAMA STATE UNIVERSITY,915 S JACKSON STREET,MONTGOMERY,AL,36104,0271,(334) 229-4100,1,A,5476,MONTGOMERY,01101,USA,611310,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",http://wikimapia.org/#lang=en&lat=32.362926&lon=-86.293015&z=16&m=b&show=/5206581/Alabama-State-University,2018-03-05,IMAGERY/OTHER,2018-03-05,www.alasu.edu,4413,1063,NOT AVAILABLE,-9606137.340359285,3811086.103115251,"-9606137.340359285, 3811086.103115251","POLYGON ((-9606457.900088251 3811561.223952587, -9606136.865029514 3811572.513694223, -9605914.365531247 3811459.617286438, -9605798.347912665 3811408.814212406, -9605769.740807284 3811369.300904069, -9605461.41999287 3811207.485802892, -9605434.402195856 3811066.369849535, -9605428.045073699 3810853.75815474, -9605418.509446114 3810577.180631896, -9605887.347734235 3810695.713069929, -9606586.631951153 3810955.359786289, -9606605.703317635 3810831.180175967, -9606720.131627847 3810819.891268521, -9606721.720936216 3810793.550306418, -9606713.774505688 3810718.290792024, -9606737.613685958 3810671.253886321, -9606766.22079134 3810646.794752911, -9606866.345548861 3810635.506020144, -9606874.291979395 3811092.711414741, -9606871.113473976 3811382.472080148, -9606453.132163137 3811386.235181849, -9606457.900088251 3811561.223952587))"
6,AL,25034.00,100690.00,Amridge University,"Private, 4 Year",0.0,0.0,0.0,PBI,No,,,,,,,,Montgomery,-86.17401,32.362609,77,68.46%,0.41%,0.93%,64.84%,1.65%,0.62%,0.00%, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,amridge university,100690,AMRIDGE UNIVERSITY,1200 TAYLOR RD,MONTGOMERY,AL,36117,3553,(334) 387-7528,2,A,830,MONTGOMERY,01101,USA,611310,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",www.amridgeuniversity.edu,2018-03-05,IMAGERY/OTHER,2018-03-05,www.amridgeuniversity.edu,755,75,NOT AVAILABLE,-9592726.588486765,3811131.9581331685,"-9592726.588486765, 3811131.9581331685","POLYGON ((-9592927.134092305 3811081.048502474, -9592744.674990367 3811218.520324135, -9592689.579857426 3811291.901395779, -9592668.919182576 3811325.769755397, -9592656.64064274 3811351.075472326, -9592647.198968805 3811350.230282578, -9592592.633605326 3811351.48469021, -9592592.633605326 3811219.774717903, -9592596.341991523 3811099.355494821, -9592627.597832872 3811049.181144763, -9592831.789505038 3810946.503053627, -9592927.134092305 3811081.048502474))"
7,AL,1008.00,100812.00,Athens State University,"Public, 4 Year",0.0,1.0,0.0, ,No,,,,,,,,Athens,-86.964698,34.806793,42,22.01%,1.56%,0.80%,14.93%,2.60%,0.12%,1.99%, , , , , , , , , ,X, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,athens state university,100812,ATHENS STATE UNIVERSITY,300 N BEATY ST,ATHENS,AL,35611,NOT AVAILABLE,(256) 233-8100,1,A,3428,LIMESTONE,01083,USA,611310,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",http://www.athens.edu/campus-map-directions/pdf-map/,2018-03-05,IMAGERY/OTHER,2018-03-05,www.athens.edu,3044,384,NOT AVAILABLE,-9680916.921098756,4137518.875282524,"-9680916.921098756, 4137518.875282524","MULTIPOLYGON (((-9680637.613355976 4137755.853691396, -9680641.586571239 4137571.16548528, -9680652.18173773 4137333.252719549, -9680707.823226733 4137338.953283662, -9680924.09874095 4137335.750918745, -9681189.899183422 4137340.455972799, -9681187.919700239 4137478.981894775, -9681244.339201154 4137484.788552548, -9681238.229542227 4137617.135614936, -9681102.893093929 4137615.440099284, -9680967.009399023 4137614.472221073, -9680937.520754589 4137682.078694975, -9680868.059284767 4137818.761322022, -9680797.750896258 4137766.417110506, -9680637.613355976 4137755.853691396)), ((-9681314.267656242 4137320.266620853, -9681320.624778407 4137248.651988316, -9681430.285163511 4137257.361796585, -9681427.106658084 4137328.008767122, -9681314.267656242 4137320.266620853)))"
8,AL,1009.00,100858.00,Auburn University,"Public, 4 Year",0.0,3.0,1.0, ,Yes,,,,,,,,Auburn,-85.488258,32.599378,15,14.42%,0.38%,2.33%,6.65%,3.33%,0.06%,1.68%, , , , , , , , , , , , , , , , , , , , , , , , , , , ,X, , , , , , , , , ,X, , , , , , , , ,X, , , , , , , ,X,auburn university,100858,AUBURN UNIVERSITY,NOT AVAILABLE,AUBURN,AL,36849,NOT AVAILABLE,(334) 844-4000,1,A,37048,LEE,01081,USA,611310,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",https://cws.auburn.edu/map,2018-03-05,IMAGERY/OTHER,2019-02-25,www.auburn.edu,30440,6608,NOT AVAILABLE,-9517684.741388824,3841478.199023837,"-9517684.741388824, 3841478.199023837","MULTIPOLYGON (((-9518848.646865828 3842152.099602932, -9518717.395620205 3842146.434165272, -9518702.164998796 3841874.471769382, -9518679.650186507 3841722.772924367, -9518608.794662695 3841496.407280286, -9518527.343972392 3841318.776097078, -9518371.859141545 3841392.186267299, -9518449.734027168 3841583.651799154, -9518413.180491252 3841622.322612552, -9518394.903723296 3841615.720234171, -9518365.502019389 3841639.300079501, -9518232.796941215 3841673.255086429, -9518219.288098369 3841567.617680279, -9518189.88639446 3841532.719842848, -9518162.073887601 3841556.299390756, -9518183.529272301 3841857.179490696, -9518437.814381372 3841843.031449633, -9518447.350120267 3841824.16724501, -9518553.831999952 3841852.46356322, -9518577.671291547 3841775.120559357, -9518647.864575697 3841797.443094665, -9518669.717148341 3842144.862018692, -9518717.395620205 3842146.434165272, -9518716.733491877 3842173.159103394, -9518714.349473659 3842469.024216921, -9518807.587450884 3842474.054880901, -9518881.753950307 3842450.159014799, -9518900.825316787 3842513.042962607, -9518891.289577885 3842705.469981404, -9518858.444428168 3842706.727705351, -9518856.325461661 3842819.921558138, -9518712.230507152 3842811.117541246, -9518705.873384988 3842587.246508818, -9518663.492496375 3842585.98879756, -9518447.350120267 3842640.069577246, -9518180.350655558 3842672.769734155, -9518177.17203882 3842716.789369623, -9518096.383588169 3842719.682084822, -9518100.621632501 3842778.165535116, -9518111.746679774 3842864.947880597, -9518115.454954654 3842955.504113071, -9518127.639429517 3842987.576264441, -9518124.990693552 3843048.576426617, -9518039.699146857 3843049.205306802, -9518000.496874982 3843063.669296037, -9517912.026822869 3843061.153904556, -9517913.616131239 3843145.4227833, -9518001.026644437 3843141.649604152, -9518005.264688771 3843267.425181154, -9517860.640076125 3843275.600645206, -9517861.169845587 3843293.209376517, -9517741.973610261 3843297.61149737, -9517683.170202443 3843307.044770007, -9517551.259722803 3843303.271539339, -9517549.670414427 3843167.433393381, -9517459.081395809 3843163.660207218, -9517316.045980213 3843160.515776213, -9517223.337772448 3843155.484820483, -9517203.45689063 3843137.618079918, -9517193.141470015 3843118.381142047, -9517144.429507993 3843143.881426325, -9517055.571396139 3843153.310083459, -9517055.403637663 3843173.722259907, -9517059.112023862 3843246.043275767, -9517074.47500415 3843309.560345892, -9517098.844065197 3843307.673663933, -9517098.844065197 3843375.593346792, -9517059.112023862 3843378.73770279, -9516998.189538216 3843374.964449259, -9516997.659768762 3843330.942366015, -9517031.034687933 3843253.589833974, -9517019.909640668 3843208.939313451, -9516989.218523098 3843160.350724995, -9516977.468194246 3843161.5975291, -9516724.303181894 3843159.886890112, -9516620.507998118 3843182.405896348, -9516167.521494171 3843183.347839762, -9516168.756249959 3843299.660059328, -9516086.471220074 3843295.096056172, -9516085.41168116 3843192.588483088, -9515790.070051458 3843187.557513725, -9515787.686144562 3843072.473500776, -9515714.579184055 3843073.416889046, -9515716.168381106 3842871.550955714, -9515652.597159496 3842872.494195828, -9515578.695489144 3842874.380808423, -9515583.463302933 3842731.001354496, -9515637.498896958 3842729.114896894, -9515637.498896958 3842637.61717483, -9515676.860689668 3842636.205778424, -9515680.409555035 3842407.460960773, -9515786.891434718 3842406.832114683, -9515786.891434718 3842347.092945168, -9515778.945115503 3841881.137054958, -9515803.578894304 3841722.678583084, -9515903.703763144 3841444.438101652, -9516004.62311919 3841486.881110937, -9516077.730191022 3841420.858644378, -9516167.793002404 3841323.703346025, -9516176.265640168 3841222.793585609, -9516160.372779107 3841059.628180115, -9516196.131716497 3840894.57872544, -9516190.06068543 3840865.301186901, -9515783.698012486 3840851.25077922, -9515787.936056823 3840403.587053766, -9515894.168024248 3840411.704391194, -9515971.068419037 3840470.640436218, -9516008.596334461 3840540.909012015, -9516031.640916204 3840560.71422833, -9516100.774772765 3840617.300762045, -9516166.387371195 3840643.022375459, -9516270.150828915 3840617.278301937, -9516317.711747393 3840555.055629467, -9516437.702581244 3840441.88342724, -9516571.202257937 3840350.403378419, -9516648.033968613 3840362.827642999, -9516723.137332864 3840385.443719558, -9517120.81419122 3840373.408115308, -9517121.888646947 3840231.574555398, -9516738.076965125 3840233.460747245, -9516885.08559599 3840128.779337923, -9517102.552340072 3839981.660954777, -9517327.170916166 3839752.813768691, -9517515.765725803 3839523.971136143, -9517583.575103059 3839398.235184488, -9517937.455311513 3839636.128570099, -9518060.624762103 3839617.268012762, -9518672.498465817 3839820.021469751, -9519228.747267134 3839805.875730236, -9519228.747267134 3840168.954266592, -9519129.417108141 3840220.823518667, -9519149.283073151 3840753.675388958, -9519570.442889409 3840404.725496759, -9519685.665909465 3840555.621489234, -9519749.237242388 3840947.017034226, -9519665.799833136 3841182.803755618, -9520198.606753448 3841170.385501194, -9520327.338616351 3841153.408706578, -9520378.990303483 3841271.303535277, -9520480.704369374 3841452.392182217, -9519674.903763732 3841463.748160955, -9519697.585555263 3842163.726734317, -9518848.646865828 3842152.099602932)), ((-9514808.776494971 3843279.730270272, -9514696.86456185 3843283.660749637, -9514703.486513078 3843172.82075419, -9514816.722925503 3843175.179046778, -9514808.776494971 3843279.730270272)), ((-9515885.647741739 3843594.752096641, -9515985.242729807 3843592.865369219, -9515985.242729807 3843628.712580929, -9515884.588202825 3843631.857136327, -9515885.647741739 3843594.752096641)), ((-9515860.748911232 3843774.618452591, -9515789.761028552 3843775.247371355, -9515791.350336922 3843724.305852515, -9515861.808450146 3843727.450433313, -9515860.748911232 3843774.618452591)))"
9,AL,8310.00,100830.00,"Auburn University, Montgomery","Public, 4 Year",0.0,2.0,0.0,PBI,No,,,,,,,,Montgomery,-86.177544,32.36736,46,43.78%,0.43%,2.59%,36.52%,1.26%,0.08%,2.90%, , , , , , , , , ,X, , , , , , , , , , , , , , , , , , , , , , , , , , , ,X, , , , , , , , , , , , , , , , , ,auburn university montgomery,100830,AUBURN UNIVERSITY AT MONTGOMERY,7440 EAST DRIVE,MONTGOMERY,AL,36117,3596,(334) 244-3000,1,A,6009,MONTGOMERY,01101,USA,611310,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",http://www.aum.edu/sites/default/files/AUM_CAMPUS_MAP_2017.pdf,2018-03-05,IMAGERY/OTHER,2018-03-05,www.aum.edu,5211,798,NOT AVAILABLE,-9593333.882410549,3811912.884500613,"-9593333.882410549, 3811912.884500613","POLYGON ((-9594478.66853087 3811719.720852943, -9594502.507822463 3812442.292073506, -9594222.539080478 3812435.604934982, -9593896.991240906 3812455.464435921, -9593691.718767798 3812458.185954465, -9593199.635745486 3812489.810472628, -9593195.862682665 3812518.402347507, -9593040.113022748 3812533.45646038, -9592922.76112875 3812526.971329588, -9592919.582623331 3812462.991450205, -9592589.011937009 3812466.754893228, -9592584.244011903 3811657.626968606, -9592577.886889737 3811377.267554168, -9592672.990136351 3811387.678189924, -9592701.468222447 3811325.204890965, -9592762.271150952 3811240.648044704, -9593033.75590059 3811005.559308419, -9593313.428866683 3810931.653241305, -9593417.028016834 3811254.965142922, -9593528.277710307 3811778.051834255, -9593723.759522878 3812039.603726686, -9593919.140591307 3812202.391762083, -9594059.098022981 3812028.31367421, -9594124.25866428 3811947.401373457, -9594280.008324197 3811813.803128499, -9594478.66853087 3811719.720852943))"
