UNITID,EFBAGE,LINE,LSTUDY,EFAGE01,EFAGE02,EFAGE03,EFAGE04,EFAGE05,EFAGE06,EFAGE07,EFAGE08,EFAGE09
100654,1,412,1,2023,3226,279,449,5249,728,2302,3675,5977
100654,1,112,2,1849,2814,177,253,4663,430,2026,3067,5093
100654,1,312,5,174,412,102,196,586,298,276,608,884
100654,2,999,1,1827,2870,152,248,4697,400,1979,3118,5097
100654,2,999,2,1766,2710,138,200,4476,338,1904,2910,4814
100654,2,999,5,61,160,14,48,221,62,75,208,283
100654,3,1,1,14,26,0,0,40,0,14,26,40
100654,3,1,2,14,26,0,0,40,0,14,26,40
100654,4,2,1,876,1377,20,41,2253,61,896,1418,2314
100654,4,2,2,876,1377,20,41,2253,61,896,1418,2314
100654,5,3,1,547,899,42,63,1446,105,589,962,1551
100654,5,3,2,547,894,42,62,1441,104,589,956,1545
100654,5,3,5,0,5,0,1,5,1,0,6,6
100654,6,4,1,390,568,90,144,958,234,480,712,1192
100654,6,4,2,329,413,76,97,742,173,405,510,915
100654,6,4,5,61,155,14,47,216,61,75,202,277
100654,7,999,1,196,356,127,201,552,328,323,557,880
100654,7,999,2,83,104,39,53,187,92,122,157,279
100654,7,999,5,113,252,88,148,365,236,201,400,601
100654,8,5,1,130,213,74,97,343,171,204,310,514
100654,8,5,2,58,65,26,26,123,52,84,91,175
100654,8,5,5,72,148,48,71,220,119,120,219,339
100654,9,6,1,31,53,19,39,84,58,50,92,142
100654,9,6,2,9,14,3,9,23,12,12,23,35
100654,9,6,5,22,39,16,30,61,46,38,69,107
100654,10,7,1,10,41,14,19,51,33,24,60,84
100654,10,7,2,4,14,7,8,18,15,11,22,33
100654,10,7,5,6,27,7,11,33,18,13,38,51
100654,11,8,1,17,28,11,23,45,34,28,51,79
100654,11,8,2,6,6,1,4,12,5,7,10,17
100654,11,8,5,11,22,10,19,33,29,21,41,62
100654,12,9,1,8,18,9,23,26,32,17,41,58
100654,12,9,2,6,4,2,6,10,8,8,10,18
100654,12,9,5,2,14,7,17,16,24,9,31,40
100654,13,10,1,0,3,0,0,3,0,0,3,3
100654,13,10,2,0,1,0,0,1,0,0,1,1
100654,13,10,5,0,2,0,0,2,0,0,2,2
100663,1,412,1,5681,9199,2562,5121,14880,7683,8243,14320,22563
100663,1,112,2,3990,6412,1324,2152,10402,3476,5314,8564,13878
100663,1,312,5,1691,2787,1238,2969,4478,4207,2929,5756,8685
100663,2,999,1,4281,7186,784,1265,11467,2049,5065,8451,13516
100663,2,999,2,3653,5994,650,883,9647,1533,4303,6877,11180
100663,2,999,5,628,1192,134,382,1820,516,762,1574,2336
100663,3,1,1,27,78,30,39,105,69,57,117,174
100663,3,1,2,27,78,30,39,105,69,57,117,174
100663,4,2,1,1427,2605,66,75,4032,141,1493,2680,4173
100663,4,2,2,1427,2605,66,75,4032,141,1493,2680,4173
100663,5,3,1,1483,2535,177,263,4018,440,1660,2798,4458
100663,5,3,2,1468,2506,176,259,3974,435,1644,2765,4409
100663,5,3,5,15,29,1,4,44,5,16,33,49
100663,6,4,1,1344,1968,511,888,3312,1399,1855,2856,4711
100663,6,4,2,731,805,378,510,1536,888,1109,1315,2424
100663,6,4,5,613,1163,133,378,1776,511,746,1541,2287
100663,7,999,1,1400,2013,1778,3856,3413,5634,3178,5869,9047
100663,7,999,2,337,418,674,1269,755,1943,1011,1687,2698
100663,7,999,5,1063,1595,1104,2587,2658,3691,2167,4182,6349
100663,8,5,1,912,1258,659,1520,2170,2179,1571,2778,4349
100663,8,5,2,216,243,312,478,459,790,528,721,1249
100663,8,5,5,696,1015,347,1042,1711,1389,1043,2057,3100
100663,9,6,1,299,381,393,780,680,1173,692,1161,1853
100663,9,6,2,71,90,146,278,161,424,217,368,585
100663,9,6,5,228,291,247,502,519,749,475,793,1268
100663,10,7,1,100,164,250,529,264,779,350,693,1043
100663,10,7,2,28,37,81,168,65,249,109,205,314
100663,10,7,5,72,127,169,361,199,530,241,488,729
100663,11,8,1,68,158,326,698,226,1024,394,856,1250
100663,11,8,2,19,38,97,227,57,324,116,265,381
100663,11,8,5,49,120,229,471,169,700,278,591,869
100663,12,9,1,21,51,138,317,72,455,159,368,527
100663,12,9,2,3,9,33,116,12,149,36,125,161
100663,12,9,5,18,42,105,201,60,306,123,243,366
100663,13,10,1,0,1,12,12,1,24,12,13,25
100663,13,10,2,0,1,5,2,1,7,5,3,8
100663,13,10,5,0,0,7,10,0,17,7,10,17
100706,1,412,1,4292,3053,1359,1295,7345,2654,5651,4348,9999
100706,1,112,2,3970,2760,747,550,6730,1297,4717,3310,8027
100706,1,312,5,322,293,612,745,615,1357,934,1038,1972
100706,2,999,1,3746,2538,570,385,6284,955,4316,2923,7239
100706,2,999,2,3643,2439,441,283,6082,724,4084,2722,6806
100706,2,999,5,103,99,129,102,202,231,232,201,433
100706,3,1,1,28,30,59,66,58,125,87,96,183
100706,3,1,2,28,30,59,66,58,125,87,96,183
100706,4,2,1,1528,957,28,18,2485,46,1556,975,2531
100706,4,2,2,1528,957,28,18,2485,46,1556,975,2531
100706,5,3,1,1480,1020,107,61,2500,168,1587,1081,2668
100706,5,3,2,1478,1016,106,59,2494,165,1584,1075,2659
100706,5,3,5,2,4,1,2,6,3,3,6,9
100706,6,4,1,710,531,376,240,1241,616,1086,771,1857
100706,6,4,2,609,436,248,140,1045,388,857,576,1433
100706,6,4,5,101,95,128,100,196,228,229,195,424
100706,7,999,1,546,513,789,910,1059,1699,1335,1423,2758
100706,7,999,2,327,321,306,267,648,573,633,588,1221
100706,7,999,5,219,192,483,643,411,1126,702,835,1537
100706,8,5,1,312,243,354,286,555,640,666,529,1195
100706,8,5,2,202,172,154,91,374,245,356,263,619
100706,8,5,5,110,71,200,195,181,395,310,266,576
100706,9,6,1,138,116,192,197,254,389,330,313,643
100706,9,6,2,69,73,82,69,142,151,151,142,293
100706,9,6,5,69,43,110,128,112,238,179,171,350
100706,10,7,1,46,55,95,119,101,214,141,174,315
100706,10,7,2,30,30,29,38,60,67,59,68,127
100706,10,7,5,16,25,66,81,41,147,82,106,188
100706,11,8,1,38,81,90,203,119,293,128,284,412
100706,11,8,2,21,40,23,44,61,67,44,84,128
100706,11,8,5,17,41,67,159,58,226,84,200,284
100706,12,9,1,10,18,51,102,28,153,61,120,181
100706,12,9,2,5,6,15,23,11,38,20,29,49
100706,12,9,5,5,12,36,79,17,115,41,91,132
100706,13,10,1,2,0,7,3,2,10,9,3,12
100706,13,10,2,0,0,3,2,0,5,3,2,5
100706,13,10,5,2,0,4,1,2,5,6,1,7
100706,14,11,1,0,2,0,0,2,0,0,2,2
100706,14,11,5,0,2,0,0,2,0,0,2,2
100724,1,412,1,1257,2350,178,287,3607,465,1435,2637,4072
100724,1,112,2,1171,2118,128,197,3289,325,1299,2315,3614
100724,1,312,5,86,232,50,90,318,140,136,322,458
100724,2,999,1,1125,2123,113,155,3248,268,1238,2278,3516
100724,2,999,2,1090,2017,110,146,3107,256,1200,2163,3363
100724,2,999,5,35,106,3,9,141,12,38,115,153
100724,3,1,1,5,18,0,13,23,13,5,31,36
100724,3,1,2,5,18,0,13,23,13,5,31,36
100724,4,2,1,475,944,38,45,1419,83,513,989,1502
100724,4,2,2,475,944,38,45,1419,83,513,989,1502
100724,5,3,1,374,730,28,35,1104,63,402,765,1167
100724,5,3,2,374,725,28,35,1099,63,402,760,1162
100724,5,3,5,0,5,0,0,5,0,0,5,5
100724,6,4,1,271,431,47,62,702,109,318,493,811
100724,6,4,2,236,330,44,53,566,97,280,383,663
100724,6,4,5,35,101,3,9,136,12,38,110,148
100724,7,999,1,132,227,64,132,359,196,196,359,555
100724,7,999,2,81,101,17,51,182,68,98,152,250
100724,7,999,5,51,126,47,81,177,128,98,207,305
100724,8,5,1,85,146,22,37,231,59,107,183,290
100724,8,5,2,58,71,12,19,129,31,70,90,160
100724,8,5,5,27,75,10,18,102,28,37,93,130
100724,9,6,1,28,38,16,28,66,44,44,66,110
100724,9,6,2,14,16,4,13,30,17,18,29,47
100724,9,6,5,14,22,12,15,36,27,26,37,63
100724,10,7,1,4,12,7,25,16,32,11,37,48
100724,10,7,2,3,2,1,7,5,8,4,9,13
100724,10,7,5,1,10,6,18,11,24,7,28,35
100724,11,8,1,12,26,11,24,38,35,23,50,73
100724,11,8,2,5,10,0,6,15,6,5,16,21
100724,11,8,5,7,16,11,18,23,29,18,34,52
100724,12,9,1,3,5,8,17,8,25,11,22,33
100724,12,9,2,1,2,0,5,3,5,1,7,8
100724,12,9,5,2,3,8,12,5,20,10,15,25
100724,13,10,1,0,0,0,1,0,1,0,1,1
100724,13,10,2,0,0,0,1,0,1,0,1,1
100724,14,11,1,0,0,1,0,0,1,1,0,1
100724,14,11,2,0,0,1,0,0,1,1,0,1
100751,1,412,1,13899,17634,2242,4065,31533,6307,16141,21699,37840
100751,1,112,2,12351,15399,1482,2438,27750,3920,13833,17837,31670
100751,1,312,5,1548,2235,760,1627,3783,2387,2308,3862,6170
100751,2,999,1,12644,16116,903,1589,28760,2492,13547,17705,31252
100751,2,999,2,11954,14992,827,1371,26946,2198,12781,16363,29144
100751,2,999,5,690,1124,76,218,1814,294,766,1342,2108
100751,3,1,1,67,168,257,677,235,934,324,845,1169
100751,3,1,2,67,168,257,677,235,934,324,845,1169
100751,4,2,1,4875,6949,85,78,11824,163,4960,7027,11987
100751,4,2,2,4875,6949,85,78,11824,163,4960,7027,11987
100751,5,3,1,5143,6732,156,230,11875,386,5299,6962,12261
100751,5,3,2,5094,6625,153,224,11719,377,5247,6849,12096
100751,5,3,5,49,107,3,6,156,9,52,113,165
100751,6,4,1,2559,2267,405,604,4826,1009,2964,2871,5835
100751,6,4,2,1918,1250,332,392,3168,724,2250,1642,3892
100751,6,4,5,641,1017,73,212,1658,285,714,1229,1943
100751,7,999,1,1254,1517,1337,2475,2771,3812,2591,3992,6583
100751,7,999,2,397,407,655,1067,804,1722,1052,1474,2526
100751,7,999,5,857,1110,682,1408,1967,2090,1539,2518,4057
100751,8,5,1,725,744,360,720,1469,1080,1085,1464,2549
100751,8,5,2,249,199,200,320,448,520,449,519,968
100751,8,5,5,476,545,160,400,1021,560,636,945,1581
100751,9,6,1,296,345,341,567,641,908,637,912,1549
100751,9,6,2,78,84,163,281,162,444,241,365,606
100751,9,6,5,218,261,178,286,479,464,396,547,943
100751,10,7,1,108,181,252,370,289,622,360,551,911
100751,10,7,2,29,49,133,157,78,290,162,206,368
100751,10,7,5,79,132,119,213,211,332,198,345,543
100751,11,8,1,97,175,239,523,272,762,336,698,1034
100751,11,8,2,34,54,102,203,88,305,136,257,393
100751,11,8,5,63,121,137,320,184,457,200,441,641
100751,12,9,1,27,70,136,286,97,422,163,356,519
100751,12,9,2,6,21,53,101,27,154,59,122,181
100751,12,9,5,21,49,83,185,70,268,104,234,338
100751,13,10,1,1,2,9,9,3,18,10,11,21
100751,13,10,2,1,0,4,5,1,9,5,5,10
100751,13,10,5,0,2,5,4,2,9,5,6,11
100751,14,11,1,1,1,2,1,2,3,3,2,5
100751,14,11,5,1,1,2,1,2,3,3,2,5
100760,1,412,1,254,294,389,609,548,998,643,903,1546
100760,1,112,2,254,294,389,609,548,998,643,903,1546
100760,2,999,1,231,244,347,459,475,806,578,703,1281
100760,2,999,2,231,244,347,459,475,806,578,703,1281
100760,3,1,1,0,3,191,240,3,431,191,243,434
100760,3,1,2,0,3,191,240,3,431,191,243,434
100760,4,2,1,128,160,76,100,288,176,204,260,464
100760,4,2,2,128,160,76,100,288,176,204,260,464
100760,5,3,1,94,66,54,55,160,109,148,121,269
100760,5,3,2,94,66,54,55,160,109,148,121,269
100760,6,4,1,9,15,26,64,24,90,35,79,114
100760,6,4,2,9,15,26,64,24,90,35,79,114
100760,7,999,1,23,50,42,150,73,192,65,200,265
100760,7,999,2,23,50,42,150,73,192,65,200,265
100760,8,5,1,10,20,17,56,30,73,27,76,103
100760,8,5,2,10,20,17,56,30,73,27,76,103
100760,9,6,1,8,12,10,38,20,48,18,50,68
100760,9,6,2,8,12,10,38,20,48,18,50,68
100760,10,7,1,2,8,2,26,10,28,4,34,38
100760,10,7,2,2,8,2,26,10,28,4,34,38
100760,11,8,1,2,6,8,18,8,26,10,24,34
100760,11,8,2,2,6,8,18,8,26,10,24,34
100760,12,9,1,1,4,5,11,5,16,6,15,21
100760,12,9,2,1,4,5,11,5,16,6,15,21
100760,13,10,1,0,0,0,1,0,1,0,1,1
100760,13,10,2,0,0,0,1,0,1,0,1,1
