,preprocessed_name,INSTNM,CITY_y,STABBR
2269,alaskacareercollege,Alaska Career College,Anchorage,AK
3044,alaskachristiancollege,Alaska Christian College,Soldotna,AK
3323,alabamaschoolnailtechnologycosmetology,Alabama School of Nail Technology & Cosmetology,Jackson,AL
2259,coastalalabamacommunitycollege,Coastal Alabama Community College,Bay Minette,AL
2260,georgecwallacestatecommunitycollegehanceville,George C Wallace State Community College-Hanceville,Hanceville,AL
2264,hcouncilltrenholmstatecommunitycollege,H Councill Trenholm State Community College,Montgomery,AL
2261,jfingramstatetechnicalcollege,J F Ingram State Technical College,Deatsville,AL
2262,johnccalhounstatecommunitycollege,John C Calhoun State Community College,Tanner,AL
2263,lawsonstatecommunitycollege,Lawson State Community College,Birmingham,AL
3112,paulmitchellschoolbirmingham,Paul Mitchell the School-Birmingham,Hoover,AL
2977,paulmitchellschoolhuntsville,Paul Mitchell the School-Huntsville,Madison,AL
2265,unitedstatessportsacademy,United States Sports Academy,Daphne,AL
3220,universityacademyhairdesign,University Academy of Hair Design,Tuscaloosa,AL
2258,universityalabama,The University of Alabama,Tuscaloosa,AL
2283,arkansasstateuniversity,Arkansas State University,Jonesboro,AR
2266,arkansasstateuniversitythreerivers,Arkansas State University Three Rivers,Malvern,AR
2284,baptisthealthcollegelittlerock,Baptist Health College Little Rock,Little Rock,AR
3063,ecclesiacollege,Ecclesia College,Springdale,AR
2285,jeffersonregionalmedicalcenterschoolnursing,Jefferson Regional Medical Center School of Nursing,Pine Bluff,AR
2287,paulmitchellschoolarkansas,Paul Mitchell the School-Arkansas,Fayetteville,AR
2268,philandersmithcollege,Philander Smith College,Little Rock,AR
2286,phillipscommunitycollegeuniversityarkansas,Phillips Community College of the University of Arkansas,Helena,AR
2288,southernarkansasuniversitymaincampus,Southern Arkansas University Main Campus,Magnolia,AR
2289,southernarkansasuniversitytech,Southern Arkansas University Tech,Camden,AR
2282,universityarkansas,University of Arkansas,Fayetteville,AR
2267,universityarkansascommunitycollegemorrilton,University of Arkansas Community College-Morrilton,Morrilton,AR
3055,americanintercontinentaluniversity,American InterContinental University,Chandler,AZ
2271,arizonastateuniversitycampusimmersion,Arizona State University Campus Immersion,Tempe,AZ
3266,arizonastateuniversitydigitalimmersion,Arizona State University Digital Immersion,Scottsdale,AZ
2275,avalonschoolcosmetologymesa,Avalon School of Cosmetology-Mesa,Mesa,AZ
3198,avalonschoolcosmetologyphoenix,Avalon School of Cosmetology-Phoenix,Phoenix,AZ
3109,chamberlainuniversityarizona,Chamberlain University-Arizona,Phoenix,AZ
2272,cochisecountycommunitycollegedistrict,Cochise County Community College District,Sierra Vista,AZ
2905,conservatoryrecordingartssciences,Conservatory of Recording Arts and Sciences,Tempe,AZ
3248,devryuniversityarizona,DeVry University-Arizona,Phoenix,AZ
2276,embryriddleaeronauticaluniversityprescott,Embry-Riddle Aeronautical University-Prescott,Prescott,AZ
3065,empirebeautyschoolavondale,Empire Beauty School-Avondale,Avondale,AZ
2274,empirebeautyschoolchandler,Empire Beauty School-Chandler,Chandler,AZ
2273,empirebeautyschoolflagstaff,Empire Beauty School-Flagstaff,Flagstaff,AZ
