,UNIQUEID,NAME,ADDRESS,CITY,STATE,ZIP,ZIP4,TELEPHONE,TYPE,STATUS,POPULATION,COUNTY,COUNTYFIPS,COUNTRY,NAICS_CODE,NAICS_DESC,SOURCE,SOURCEDATE,VAL_METHOD,VAL_DATE,WEBSITE,TOT_ENROLL,TOT_EMP,SHELTERID,preprocessed_name,centroid_x_epsg_102005,centroid_y_epsg_102005,centroid_long,centroid_lat,geometry,State,OPE ID,IPED ID,School Name,Institution Type,# of Nat'l AP Partners,# of Partners,Civic Holiday,MSI,NSLVE,"NSLVE
2014",2016 NSLVE Report,2018 NSLVE Reports,2016 Action Plan,2018 Action Plan,2020 Action Plan,Campus Contact,City,Longitude,Latitude,Pell Grant %,BIPOC %,American Indian or Alaskan Native,Asian,Black or African American,Hispanic or Latinx,NHPI,Two or more Races,SLSV Coalition,ALL IN,AGF,Ask Every Student,Campus Vote Project,Voter Friendly Campus,StudentPIRGs,Aliento Education Fund,Alliance for Youth Organizing,American Democracy Project, Arizona Students' Association,Baltimore Collegetown Network		,Black Girls Vote,Boston Votes Coalition,California Campus Compact ,CALPIRG Students,CEEP,Civic Nebraska,Common Cause,Count US IN,Creative Campus Voting Project,Day on Democracy,Democracy Works,Engage Miami,Every Vote Counts,Forward Montana,Georgia Shift,Hillel International,IGNITE National,IA & MN Campus Compact,LeadMN,Loud Light,Maine Students Vote,MARYPIRG,MI Familia Vota,Minnesota Youth Collective,Mississippi Votes,NASPAA,New Era Colorado,NYPIRG,NCAAT,NCPIRG,NC Campus Compact,Ohio Campus Compact,PIRGIM Campus Action,Project Pericles,TurnUp Activism,Up to Us/ Net Impact,VoteRiders,Washington Student Association,Xceleader (Vote HBCU),NVEW 2020,"NVRD
2017",NVRD 2018,NVRD 2020,_merge
0,105367,OTTAWA UNIVERSITY-PHOENIX,9414 NORTH 25TH AVENUE,PHOENIX,AZ,85021,NOT AVAILABLE,(602) 371-1188,2,A,923.0,MARICOPA,04013,USA,611310,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",www.ottawa.edu,2018-02-28,IMAGERY/OTHER,2019-01-24,www.ottawa.edu,809.0,114.0,NOT AVAILABLE,ottawauniversityphoenix,-1486844.2019876281,-470622.1317763819,-112.11305426195592,33.572124987619866,"POLYGON ((-1486881.628336011 -470586.100202109, -1486793.240450717 -470605.90117886, -1486802.052970736 -470655.26498528, -1486895.946552949 -470641.1833778972, -1486881.628336011 -470586.100202109))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
2,111391,CALIFORNIA WESTERN SCHOOL OF LAW,225 CEDAR ST,SAN DIEGO,CA,92101,3046,(619) 239-0391,2,A,1021.0,SAN DIEGO,06073,USA,611310,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",https://www.cwsl.edu,2018-05-11,IMAGERY/OTHER,2019-01-24,https://www.cwsl.edu,802.0,219.0,NOT AVAILABLE,californiawesternschoollaw,-1967107.502305222,-467374.14145933685,-117.16255834068649,32.72173083669464,"POLYGON ((-1967135.569723769 -467340.9792782983, -1967068.194407634 -467356.6890658459, -1967078.1360535 -467400.7063453278, -1967089.95465003 -467396.5822092854, -1967093.013634165 -467406.4100150372, -1967143.402651353 -467394.5039715561, -1967135.569723769 -467340.9792782983))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
4,192563,LIU BRENTWOOD,"MICHAEL J. GRANT CAMPUS, SUFFOLK COUNTY COMMUNITY COLLEGE, 1001 CROOKED HILL ROAD",BRENTWOOD,NY,11717,NOT AVAILABLE,(631) 287-8500,2,C,-999.0,SUFFOLK,36103,USA,611310,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",http://www.liu.edu/Brentwood/About/Visiting/Campus-Map,2018-12-19,IMAGERY/OTHER,2019-04-11,liu.edu/Brentwood,-999.0,-999.0,NOT AVAILABLE,liubrentwood,1888609.7820378544,436153.557383104,-73.27273185583059,40.79786497925905,"POLYGON ((1888955.082290142 435997.5714041886, 1888956.510035072 435971.3864428744, 1888529.683164622 435638.8389821205, 1888398.415781576 435777.42325484, 1888377.94259851 435885.3309262083, 1888335.998303575 435936.9885920546, 1888306.609891275 435997.6121552233, 1888284.92450007 436158.3071616932, 1888271.292042515 436263.3385390415, 1888287.150503213 436382.7990400826, 1888323.348761359 436453.185012405, 1888382.259322769 436513.1911428127, 1888457.057253037 436558.7725160252, 1888536.552325337 436582.4647927796, 1888640.424008815 436585.8134594103, 1888723.326358114 436554.9698329506, 1888767.171405016 436509.5692990561, 1888825.250730375 436456.2489551498, 1888886.357738724 436394.4652200041, 1888944.738717135 436329.6793659985, 1888962.357054192 436277.603938241, 1888983.399749175 436164.0691112858, 1888979.422662998 436111.1142952321, 1888955.082290142 435997.5714041886))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
5,117928,ARGOSY UNIVERSITY-THE ART INSTITUTE OF CALIFORNIA-SAN FRANCISCO,1170 MARKET ST,SAN FRANCISCO,CA,94102,4908,(415) 865-0198,3,M,-999.0,SAN FRANCISCO,06075,USA,611310,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",https://www.artinstitutes.edu/san-francisco/about,2018-10-12,IMAGERY/OTHER,2019-01-24,www.artinstitutes.edu/san-francisco/,-999.0,-999.0,NOT AVAILABLE,argosyuniversitytheartinstitutecaliforniasanfrancisco,-2282732.98788543,197388.5208380846,-122.41460071236304,37.779356215540915,"POLYGON ((-2282762.491883484 197426.4190856207, -2282700.410223228 197424.4536513731, -2282680.688115271 197382.2004642441, -2282764.332543872 197338.0936198127, -2282772.889948695 197354.2848817982, -2282768.738783295 197384.4435141702, -2282762.491883484 197426.4190856207))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
7,481960,INTERCOAST COLLEGES-FAIRFIELD,2480 HILBORN ROAD SUITE 100,FAIRFIELD,CA,94534,6085,(707) 421-9700,3,A,205.0,SOLANO,06095,USA,611310,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",https://www.intercoast.edu/locations/fairfield/,2019-04-09,IMAGERY/OTHER,2019-04-09,www.intercoast.edu/,189.0,16.0,NOT AVAILABLE,intercoastcollegesfairfield,-2246737.593231816,236828.41359342876,-122.1478977435479,38.21219010281323,"POLYGON ((-2246854.12396051 236893.5097720583, -2246775.656373146 236939.7672190016, -2246740.348722789 236861.6196285171, -2246639.816044988 236894.764798266, -2246599.444498358 236798.6040873939, -2246796.339712129 236724.4752482329, -2246854.12396051 236893.5097720583))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
8,130448,ST VINCENT'S COLLEGE,2800 MAIN ST,BRIDGEPORT,CT,06606,4201,(800) 873-1013,2,C,-999.0,FAIRFIELD,09001,USA,611210,JUNIOR COLLEGES,http://www.stvincentscollege.edu/our-campus/campus-buildings/,2017-12-06,IMAGERY/OTHER,2019-01-25,www.stvincentscollege.edu,-999.0,-999.0,NOT AVAILABLE,stvincentscollege,1883297.160351913,481096.108730311,-73.20163178321167,41.20183543832442,"POLYGON ((1883354.468493182 481116.7336641401, 1883262.615463518 481040.0722618452, 1883240.89328184 481072.1635737658, 1883325.567772433 481151.6010687669, 1883354.468493182 481116.7336641401))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
9,138309,RASMUSSEN COLLEGE-FLORIDA,4755 SOUTHWEST 46TH COURT,OCALA,FL,34474,6226,(352) 629-1941,3,A,10113.0,MARION,12083,USA,611310,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",https://www.rasmussen.edu/locations/florida/ocala/,2018-10-05,IMAGERY/OTHER,2019-01-25,rasmussen.edu,8760.0,1353.0,NOT AVAILABLE,rasmussencollegeflorida,1349524.445438047,-991394.7682025334,-82.1971027192396,29.14009764141609,"POLYGON ((1349478.533852533 -991322.3285200791, 1349635.009682555 -991418.4697098807, 1349609.199409412 -991456.0211187701, 1349538.988947191 -991434.212123321, 1349483.142814106 -991426.424039072, 1349421.910722663 -991390.1896737919, 1349478.533852533 -991322.3285200791))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
11,155052,FLINT HILLS TECHNICAL COLLEGE,3301 W 18TH ST,EMPORIA,KS,66801,5957,(620) 343-1300,1,A,1520.0,LYON,20111,USA,611210,JUNIOR COLLEGES,www.fhtc.edu,2018-04-17,IMAGERY/OTHER,2019-01-25,www.fhtc.edu,1425.0,95.0,NOT AVAILABLE,flinthillstechnicalcollege,-19510.027864127725,-64533.639691351855,-96.22461037253657,38.418449311421675,"POLYGON ((-19630.52646872368 -64440.85644279623, -19377.97172367994 -64444.77751670637, -19389.83032024337 -64593.19318726323, -19447.28460692924 -64633.46437930971, -19631.6035217907 -64625.24825403083, -19630.52646872368 -64440.85644279623))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
12,484738,UNIVERSITY OF PHOENIX-OKLAHOMA,14002 EAST 21ST STREET,TULSA,OK,74134,1412,NOT AVAILABLE,3,D,-999.0,TULSA,40143,USA,611310,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",www.phoenix.edu,2019-04-09,IMAGERY/OTHER,2019-04-09,www.phoenix.edu,-999.0,-999.0,NOT AVAILABLE,universityphoenixoklahoma,16003.912450301312,-318332.69758317235,-95.82147718399527,36.131688678074774,"POLYGON ((15957.93294091205 -318258.1268207657, 16047.8400606127 -318257.9506895233, 16048.79244890101 -318417.1581532027, 16025.73432689342 -318406.5102768605, 15959.50036362099 -318405.4517692474, 15957.93294091205 -318258.1268207657))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
15,208512,SUMNER COLLEGE,15115 SW SEQUOIA PARKWAY #200,PORTLAND,OR,97224,NOT AVAILABLE,(503) 223-5100,3,A,343.0,WASHINGTON,41067,USA,611210,JUNIOR COLLEGES,http://www.sumnercollege.edu/#,2019-04-11,IMAGERY/OTHER,2019-04-11,sumnercollege.edu/,321.0,22.0,NOT AVAILABLE,sumnercollege,-2047577.097483075,1030783.1472321324,-122.57633983902568,45.574920282171945,"POLYGON ((-2047648.875114156 1030806.009081831, -2047623.453624151 1030825.718120123, -2047570.178754818 1030813.052317443, -2047540.189662355 1030811.098264454, -2047511.063813009 1030827.625820819, -2047495.502960154 1030801.837242688, -2047546.460874967 1030733.87689577, -2047564.360698721 1030739.245484977, -2047605.602747035 1030739.604787952, -2047655.752341619 1030784.05114369, -2047648.875114156 1030806.009081831))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
