,UNITID,INSTNM,IALIAS,ADDR,CITY,STABBR,ZIP,FIPS,OBEREG,CHFNM,CHFTITLE,GENTELE,EIN,DUNS,OPEID,OPEFLAG,WEBADDR,ADMINURL,FAIDURL,APPLURL,NPRICURL,VETURL,ATHURL,DISAURL,SECTOR,ICLEVEL,CONTROL,HLOFFER,UGOFFER,GROFFER,HDEGOFR1,DEGGRANT,HBCU,HOSPITAL,MEDICAL,TRIBAL,LOCALE,OPENPUBL,ACT,NEWID,DEATHYR,CLOSEDAT,CYACTIVE,POSTSEC,PSEFLAG,PSET4FLG,RPTMTH,INSTCAT,C18BASIC,C18IPUG,C18IPGRD,C18UGPRF,C18ENPRF,C18SZSET,C15BASIC,CCBASIC,CARNEGIE,LANDGRNT,INSTSIZE,F1SYSTYP,F1SYSNAM,F1SYSCOD,CBSA,CBSATYPE,CSA,NECTA,COUNTYCD,COUNTYNM,CNGDSTCD,LONGITUD,LATITUDE,DFRCGID,DFRCUSCG,EFBAGE,LINE,LSTUDY,EFAGE01,EFAGE02,EFAGE03,EFAGE04,EFAGE05,EFAGE06,EFAGE07,EFAGE08,EFAGE09
0,100654,Alabama A & M University,AAMU,4900 Meridian Street,Normal,AL,35762,1,5,"Dr. Andrew Hugine, Jr.",President,2563725000,636001109,197216455,100200,1,www.aamu.edu/,https://www.aamu.edu/admissions-aid/index.html,https://www.aamu.edu/admissions-aid/financial-aid/,https://www.aamu.edu/admissions-aid/undergraduate-admissions/apply-today.html,www.aamu.edu/admissions-aid/tuition-fees/net-price-calculator.html, , ,https://www.aamu.edu/administrativeoffices/VADS/Pages/Disability-Services.aspx,1,1,1,9,1,1,12,1,1,2,2,2,12,1,A,-2,-2,-2,1,1,1,1,1,2,18,16,17,10,4,14,18,18,16,1,3,2,-2,-2,26620,1,290,-2,1089,Madison County,105,-86.568502,34.783368,109,1,1,412,1,2023,3226,279,449,5249,728,2302,3675,5977
1,100663,University of Alabama at Birmingham, ,Administration Bldg Suite 1070,Birmingham,AL,35294-0110,1,5,Ray L. Watts,President,2059344011,636005396,63690705,105200,1,https://www.uab.edu/,https://www.uab.edu/students/admissions/,https://www.uab.edu/students/paying-for-college,https://ssb.it.uab.edu/pls/sctprod/zsapk003_ug_web_appl.new_user,https://uab.studentaidcalculator.com/survey.aspx,https://www.uab.edu/students/veterans,https://www.uab.edu/registrar/students,https://www.uab.edu/students/disability/,1,1,1,9,1,1,11,1,2,1,1,2,12,1,A,-2,-2,-2,1,1,1,1,1,2,15,17,17,9,5,15,15,15,15,2,5,1,The University of Alabama System                                                ,101050,13820,1,142,-2,1073,Jefferson County,107,-86.799345,33.505697,95,1,1,412,1,5681,9199,2562,5121,14880,7683,8243,14320,22563
2,100706,University of Alabama in Huntsville,UAH  University of Alabama Huntsville,301 Sparkman Dr,Huntsville,AL,35899,1,5,Darren Dawson,President,2568246120,630520830,949687123,105500,1,www.uah.edu/,https://www.uah.edu/admissions,finaid.uah.edu/,register.uah.edu/,finaid.uah.edu/,www.uah.edu/admissions/graduate/financial-aid/veterans,www.uah.edu/heoa,www.uah.edu/health-and-wellness/disability-support,1,1,1,9,1,1,11,1,2,2,2,2,12,1,A,-2,-2,-2,1,1,1,1,1,2,16,17,17,15,4,12,16,15,16,2,3,1,The University of Alabama System                                                ,101050,26620,1,290,-2,1089,Madison County,105,-86.640449,34.724557,99,2,1,412,1,4292,3053,1359,1295,7345,2654,5651,4348,9999
3,100724,Alabama State University, ,915 S Jackson Street,Montgomery,AL,36104-0271,1,5,Quinton T. Ross,President,3342294100,636001101,40672685,100500,1,www.alasu.edu/,www.alasu.edu/admissions/index.aspx,www.alasu.edu/undergraduate/expensesandfinancialaid/expenses-and-financial-aid,www.alasu.edu/admissions/undergrad-admissions/index.aspx,www.alasu.edu/cost-aid/tuition-costs/net-price-calculator, ,www.alasu.edu/cost-aid/consumer-info,www.alasu.edu/academics/researchcenters/alabama-alliance-students-disabilities,1,1,1,9,1,1,11,1,1,2,2,2,12,1,A,-2,-2,-2,1,1,1,1,1,2,19,13,13,10,3,14,19,18,21,2,2,2,-2,-2,33860,1,388,-2,1101,Montgomery County,107,-86.295677,32.364317,118,1,1,412,1,1257,2350,178,287,3607,465,1435,2637,4072
4,100751,The University of Alabama, ,739 University Blvd,Tuscaloosa,AL,35487-0100,1,5,Dr. Stuart R. Bell,President,2053486010,636001138,45632635,105100,1,www.ua.edu/,gobama.ua.edu/,financialaid.ua.edu/,apply.ua.edu/,financialaid.ua.edu/net-price-calculator/,https://vets.sa.ua.edu/,registrar.ua.edu/academics-policies/student-right-to-know/,ods.ua.edu/,1,1,1,9,1,1,11,1,2,2,2,2,12,1,A,-2,-2,-2,1,1,1,1,1,2,15,17,15,14,4,16,16,16,15,2,5,1,The University of Alabama System                                                ,101050,46220,1,-2,-2,1125,Tuscaloosa County,107,-87.545978,33.211875,94,1,1,412,1,13899,17634,2242,4065,31533,6307,16141,21699,37840
5,100760,Central Alabama Community College, ,1675 Cherokee Rd,Alexander City,AL,35010,1,5,Jeff Lynn,Acting President,2562346346,631022757,874447246,100700,1,www.cacc.edu/,https://www.cacc.edu/admissions/,https://www.cacc.edu/financial-aid/,https://www.cacc.edu/admissions/apply/,https://www.cacc.edu/net-price-calculator/,https://www.cacc.edu/financial-aid/veterans/,https://www.cacc.edu/about/consumer-information/student-outcomes/,https://www.cacc.edu/services/other-services/disability-services/,4,2,1,3,1,2,40,1,2,-2,2,2,32,1,A,-2,-2,-2,1,1,1,1,1,4,2,2,0,2,1,2,1,2,40,2,2,1,Alabama Community College System                                                ,101030,10760,2,388,-2,1123,Tallapoosa County,103,-85.945266,32.92478,69,2,1,412,1,254,294,389,609,548,998,643,903,1546
6,100812,Athens State University, ,300 N Beaty St,Athens,AL,35611,1,5,Dr. Philip Way,President,2562338100,630701340,40651853,100800,1,www.athens.edu/,www.athens.edu/admissions/,www.athens.edu/financial-aid/,www.athens.edu/apply,www.athens.edu/financial-aid/net-price-calculator/, , ,www.athens.edu/digital-communications/accessibility/,1,1,1,7,1,1,20,1,2,2,2,2,31,1,A,-2,-2,-2,1,1,1,1,1,2,22,15,0,5,3,9,22,22,32,2,2,2,-2,-2,26620,1,290,-2,1083,Limestone County,105,-86.964698,34.806793,135,1,1,412,1,362,884,535,1086,1246,1621,897,1970,2867
7,100830,Auburn University at Montgomery,AUM||Auburn University at Montgomery|Auburn Montgomery,7440 East Drive,Montgomery,AL,36117-3596,1,5,Carl A. Stockton,Chancellor,3342443000,636000724,183862119,831000,1,www.aum.edu/,www.aum.edu/admissions,www.aum.edu/admissions/scholarships-and-financial-aid/financial-aid,www.aum.edu/admissions/step-by-step-guide-to-apply,www.aum.edu/current-students/financial-information/net-price-calculator,www.aum.edu/admissions/financial-affairs/financial-aid/veteran-services,www.aum.edu/academics/institutional-effectiveness/consumer-information,www.aum.edu/campus-life/student-affairs/center-for-disability-services,1,1,1,9,1,1,11,1,2,2,2,2,12,1,A,-2,-2,-2,1,1,1,1,1,2,18,16,4,9,3,13,18,18,21,2,3,1,Auburn University                                                               ,101040,33860,1,388,-2,1101,Montgomery County,102,-86.177544,32.36736,110,1,1,412,1,1239,2471,531,971,3710,1502,1770,3442,5212
8,100858,Auburn University, , ,Auburn,AL,36849,1,5,Jay Gogue,President,3348444000,636000724,66470972,100900,1,www.auburn.edu/,www.auburn.edu/admissions/,www.auburn.edu/administration/business-finance/finaid/,www.auburn.edu/admissions/,https://www.auburn.edu/admissions/costcalc/freshman.html,veterans.auburn.edu/,https://auburn.edu/administration/ir/factbook/retention-performance/athlete-graduation-rates.html,cws.auburn.edu/accessibility,1,1,1,9,1,1,11,1,2,2,1,2,13,1,A,-2,-2,-2,1,1,1,1,1,2,15,17,14,14,4,15,16,16,15,1,5,1,Auburn University                                                               ,101040,12220,1,194,-2,1081,Lee County,103,-85.488258,32.599378,94,1,1,412,1,12779,13067,2669,2222,25846,4891,15448,15289,30737
9,100937,Birmingham-Southern College,BSC,900 Arkadelphia Road,Birmingham,AL,35254,1,5,Mr. Daniel Coleman,President,2052264600,630708730,67136580,101200,1,www.bsc.edu/,www.bsc.edu/admission/index.html,https://www.bsc.edu/fp/index.html,https://www.bsc.edu/admission/apply.html,www.bsc.edu/fp/np-calculator.cfm,https://www.bsc.edu/fp/veterans.html,https://www.bsc.edu/ire/student-consumer-information.html,https://www.bsc.edu/campus/accomodations/index.html,2,1,2,5,1,2,30,1,2,2,2,2,12,1,A,-2,-2,-2,1,1,1,1,1,2,21,9,0,14,2,11,21,21,31,2,2,2,-2,-2,13820,1,142,-2,1073,Jefferson County,107,-86.850552,33.513774,132,1,1,412,1,520,606,3,0,1126,3,523,606,1129
