field_1,State_x,State_y,School Name,Institution Type,x_centroid,y_centroid,centroid_geom,geometry,nearest_polling_index,nearest_polling_distance,nearest_polling_name,nearest_polling_geometry
72,AZ,Arizona,arizona christian university,"Private, 4 Year",-112.18263707811265,33.62266752697055,"-112.18263707811265, 33.62266752697055","POLYGON ((-112.1806492 33.6250833, -112.1806701 33.6250943, -112.1806978 33.6251036, -112.180731 33.6251056, -112.1818364 33.625088, -112.1847546 33.6250969, -112.1854001 33.6250873, -112.1854319 33.6250868, -112.1854666 33.6250819, -112.1855106 33.6250597, -112.1855264 33.6250383, -112.1855361 33.6250095, -112.1855365 33.624994, -112.1855663 33.6241334, -112.1856092 33.6213349, -112.1855555 33.621212, -112.1855716 33.6209507, -112.1854869 33.6208913, -112.185385 33.6208868, -112.1848458 33.6208756, -112.1843711 33.6208153, -112.1838722 33.6206791, -112.1833813 33.6205071, -112.1829495 33.6203508, -112.1825327 33.6202181, -112.1822323 33.6201533, -112.1819303 33.6201296, -112.1815413 33.6201229, -112.1805623 33.6201229, -112.1803612 33.6201274, -112.1801868 33.6201542, -112.1799964 33.6202436, -112.1798542 33.6203642, -112.1797416 33.6204937, -112.1796815 33.6206134, -112.1796611 33.6208354, -112.1796386 33.6228559, -112.1796504 33.623089, -112.1797094 33.6233325, -112.1798317 33.623517, -112.1800302 33.6237225, -112.1801338 33.6238049, -112.1803585 33.6239539, -112.1804644 33.624084, -112.1805308 33.6242169, -112.1806093 33.6243498, -112.180614 33.6244967, -112.1806233 33.6247658, -112.1806213 33.6250422, -112.1806292 33.625066, -112.1806492 33.6250833))",709,0.011057476526778375,CACTUS HIGH SCHOOL,POINT (-112.1964578 33.626737)
73,AZ,District of Columbia,arizona state university,"Public, 4 Year",-77.0419523,38.9011733,"-77.0419523, 38.9011733",POINT (-77.04195230000001 38.9011733),343,6.755636386631222,1ST UNITED METHODIST,POINT (-82.4304751 42.9757831)
74,AZ,Arizona,arizona state university,"Public, 4 Year",-111.92788959467357,33.422833111668304,"-111.92788959467357, 33.422833111668304","MULTIPOLYGON (((-111.9366614 33.4219091, -111.936756 33.4219096, -111.93806 33.4218977, -111.9381462 33.4218977, -111.938246 33.4218977, -111.9389268 33.4218979, -111.9389394 33.4218979, -111.9401024 33.4218799, -111.9400779 33.4214219, -111.9400726 33.4212626, -111.9400612 33.4209214, -111.9400495 33.4205725, -111.9400474 33.4204936, -111.9400454 33.4204161, -111.9400431 33.4202617, -111.9400303 33.419138, -111.940028 33.4190552, -111.9400261 33.4189851, -111.9400234 33.4185957, -111.9400215 33.4184111, -111.9400217 33.4183487, -111.9400275 33.4179958, -111.9400256 33.4177102, -111.9400253 33.4176249, -111.940029 33.4174558, -111.9399667 33.4167979, -111.9399333 33.4167174, -111.9398815 33.4165303, -111.9397506 33.4162342, -111.9395884 33.4159654, -111.9395362 33.4159003, -111.9394011 33.4157327, -111.9392425 33.41555, -111.9389322 33.4153003, -111.9388168 33.4152112, -111.9386707 33.4151129, -111.9382922 33.4149218, -111.938104 33.4148441, -111.937825 33.4147525, -111.9375837 33.4146896, -111.9373669 33.4146466, -111.9370926 33.4146142, -111.9366104 33.4145994, -111.9366107 33.4146446, -111.9366107 33.4147098, -111.9366081 33.4147406, -111.9361331 33.4147441, -111.9349593 33.4147529, -111.9349581 33.4147255, -111.9349569 33.4146882, -111.934955 33.4146577, -111.9349552 33.4146147, -111.9349469 33.4141674, -111.9349449 33.414049, -111.9328417 33.4140696, -111.9327814 33.4140702, -111.9327317 33.4140708, -111.9306656 33.4140941, -111.9306575 33.413971, -111.930645 33.413892, -111.9306308 33.413813, -111.9305817 33.4136333, -111.9305606 33.4135119, -111.930544 33.4115482, -111.9305918 33.4111489, -111.926292 33.4111847, -111.9262927 33.4110862, -111.9262937 33.4109526, -111.9262916 33.4107968, -111.9262842 33.4102046, -111.9250546 33.4101331, -111.9243614 33.4101386, -111.9243469 33.4101999, -111.9243496 33.4108893, -111.9242404 33.4111173, -111.9242358 33.4114211, -111.9236372 33.411422, -111.923652 33.4118332, -111.9243795 33.4118328, -111.9243974 33.4124265, -111.9262941 33.4124602, -111.926295 33.4127914, -111.9262973 33.4128826, -111.9264193 33.4128824, -111.9266186 33.4129057, -111.9268984 33.4129478, -111.9268989 33.4136268, -111.9273885 33.4136516, -111.9273992 33.4146867, -111.9274004 33.4148076, -111.9273686 33.4148082, -111.9264799 33.4148394, -111.9262878 33.4148429, -111.9262852 33.4149352, -111.9262909 33.4153155, -111.9262927 33.4154402, -111.9262944 33.415557, -111.9262974 33.4159902, -111.9263002 33.416233, -111.9263007 33.4163769, -111.9263017 33.4165401, -111.9263029 33.4167356, -111.9263035 33.4168382, -111.9263029 33.4169296, -111.9262991 33.4178889, -111.9255718 33.417883, -111.9255736 33.4179494, -111.9245118 33.4178815, -111.9243546 33.4183031, -111.9243278 33.4183748, -111.9243613 33.4184039, -111.9251995 33.4191427, -111.9248456 33.4194527, -111.9247205 33.4195424, -111.9242163 33.4199344, -111.9242516 33.4205624, -111.9243772 33.4205887, -111.9261191 33.4209521, -111.9262379 33.4209763, -111.9262382 33.4210663, -111.9262393 33.4213576, -111.9262403 33.4216218, -111.9262412 33.421881, -111.9262368 33.4220172, -111.9262405 33.4221644, -111.9262262 33.4238148, -111.9260087 33.4238131, -111.9230004 33.4237893, -111.9228458 33.4237907, -111.9228479 33.4221752, -111.9200672 33.4221769, -111.9200652 33.4227581, -111.9196878 33.4227588, -111.9196785 33.4237709, -111.9176255 33.4237741, -111.9174927 33.4237765, -111.9175761 33.4276227, -111.9154102 33.4271318, -111.9132129 33.4266552, -111.9132013 33.4273548, -111.912672 33.4273486, -111.9126825 33.4290354, -111.9126829 33.4292364, -111.9121478 33.4291744, -111.911443 33.4290917, -111.9108015 33.4290669, -111.9101512 33.4290776, -111.9092561 33.4291685, -111.9092444 33.4291696, -111.9090831 33.4291849, -111.9090965 33.4294256, -111.9091126 33.4296909, -111.9091581 33.4303466, -111.9091891 33.4307936, -111.9092659 33.4319199, -111.9092699 33.4319755, -111.9092783 33.4320939, -111.9092878 33.4321989, -111.9093226 33.4326993, -111.9093402 33.4328486, -111.9093577 33.4329923, -111.9093977 33.4329873, -111.9095002 33.4329807, -111.911241 33.4328806, -111.9135373 33.4327476, -111.9147645 33.4324517, -111.9147442 33.4323898, -111.9147143 33.4323905, -111.914682 33.4323822, -111.9146551 33.4323653, -111.9146367 33.4323417, -111.9146291 33.4323143, -111.914633 33.4322864, -111.9146481 33.4322613, -111.9146725 33.4322419, -111.9147034 33.4322306, -111.914737 33.4322288, -111.9147514 33.4321924, -111.915778 33.4314061, -111.9159098 33.4313742, -111.9159282 33.4313014, -111.9160178 33.4311789, -111.9165191 33.4304935, -111.9171942 33.4295515, -111.9172653 33.429509, -111.9172783 33.4294631, -111.917341 33.4293282, -111.9173501 33.4292104, -111.9179133 33.4291799, -111.9211598 33.4292573, -111.9220592 33.4292672, -111.9225407 33.4292718, -111.9228024 33.4292566, -111.923123 33.4291905, -111.9241294 33.4287085, -111.9246041 33.4286299, -111.9252627 33.4286457, -111.9256534 33.4287431, -111.9259767 33.4287644, -111.9264921 33.4287917, -111.9267723 33.4288065, -111.9276704 33.4288391, -111.9282213 33.4287295, -111.9290141 33.4286301, -111.9298037 33.4286112, -111.9303922 33.428682, -111.9309377 33.4288245, -111.9320911 33.4292167, -111.93248 33.4292565, -111.9329548 33.4292516, -111.9333244 33.4292502, -111.9337154 33.4293205, -111.9343977 33.429591, -111.9348034 33.4298533, -111.9350898 33.4300861, -111.9350596 33.4303286, -111.9352491 33.4302009, -111.9356428 33.430435, -111.9360834 33.4305321, -111.936465 33.4305639, -111.9368333 33.4305487, -111.9372259 33.4304688, -111.9375331 33.4303651, -111.9376678 33.4303063, -111.9380508 33.4300944, -111.9381867 33.4300134, -111.9385345 33.4298061, -111.9387779 33.4297044, -111.9388059 33.4288698, -111.9391063 33.4288554, -111.9390818 33.4273502, -111.9389329 33.427278, -111.9383923 33.4270294, -111.9376528 33.4267086, -111.9372156 33.4265436, -111.9366206 33.4263351, -111.9360886 33.4261526, -111.9355829 33.4259736, -111.9355386 33.4259576, -111.9352273 33.425845, -111.9351219 33.4257882, -111.9350107 33.4257027, -111.9349278 33.4254396, -111.9349717 33.4252787, -111.9349838 33.4248448, -111.9349808 33.4243956, -111.9349809 33.4243346, -111.9349826 33.4242604, -111.9349897 33.423492, -111.93499 33.4233768, -111.9349911 33.4233422, -111.9349907 33.423297, -111.9349761 33.4232093, -111.9349741 33.4231487, -111.9349739 33.4231174, -111.9349706 33.4226097, -111.9349659 33.4220803, -111.9349691 33.4220021, -111.9349692 33.4219161, -111.9350652 33.421917, -111.9356492 33.4219101, -111.9358451 33.4219117, -111.936563 33.4219081, -111.9366614 33.4219091)), ((-111.9399581 33.4231886, -111.9398537 33.4231887, -111.9394081 33.4231893, -111.9386929 33.4231902, -111.9386834 33.4231902, -111.9386869 33.4236662, -111.9391935 33.42367, -111.9391911 33.4238981, -111.9393434 33.4239035, -111.9398314 33.4239024, -111.9399609 33.4239039, -111.9399581 33.4231886)))",658,0.0,ASU SUN DEVIL FITNESS CENTER (FREE PARKING),POINT (-111.9318841 33.4155075)
75,AZ,Arizona,arizona western college,"Public, 2 Year",-114.49573170772813,32.68833203107732,"-114.49573170772813, 32.68833203107732","POLYGON ((-114.4957092 32.6922575, -114.4969267 32.6922337, -114.4982575 32.6920272, -114.4993806 32.6915109, -114.5003244 32.6906133, -114.5003338 32.689541, -114.5004187 32.688572, -114.5010098 32.686431, -114.5009454 32.6853547, -114.50093 32.6848642, -114.49091 32.6849332, -114.4909166 32.6853223, -114.4910357 32.6859, -114.4912083 32.6865777, -114.4913808 32.6871551, -114.491333 32.687836, -114.4909803 32.6883491, -114.4907276 32.6890744, -114.4901259 32.6896975, -114.4900273 32.6900096, -114.4900052 32.6903441, -114.4901154 32.6906726, -114.4903121 32.6909683, -114.4906101 32.6912307, -114.4911078 32.691414, -114.4915829 32.6914191, -114.4924963 32.6914179, -114.493514 32.691425, -114.4942953 32.6917408, -114.4957092 32.6922575))",787,1.7904819055437502,GILA BEND SCHOOL DISTRICT OFFICE,POINT (-112.7189368 32.9532931)
76,AZ,Arizona,coconino community college,"Public, 2 Year",-111.6455877973481,35.17118487417045,"-111.6455877973481, 35.17118487417045","POLYGON ((-111.6467109 35.1717518, -111.6467001 35.171424, -111.6461147 35.1714371, -111.6460142 35.1714393, -111.6459015 35.1712894, -111.6457938 35.1711462, -111.6455501 35.1708276, -111.6456132 35.1708254, -111.6456078 35.1706588, -111.6454093 35.1706621, -111.645011 35.1701435, -111.6446556 35.1703255, -111.6446873 35.1703687, -111.644789 35.1705072, -111.6448882 35.1706423, -111.6450689 35.1708882, -111.6451202 35.170958, -111.6452055 35.1710742, -111.645403 35.1713431, -111.6454817 35.1714503, -111.6453342 35.1714536, -111.6453342 35.1716619, -111.645239 35.1716657, -111.645243 35.171749, -111.6453329 35.1717507, -111.6453382 35.171783, -111.6453744 35.171783, -111.6453758 35.1719217, -111.6454112 35.1719218, -111.6454151 35.1721145, -111.6455723 35.1721113, -111.6455595 35.1717786, -111.6457741 35.1717726, -111.6457681 35.1715544, -111.6459062 35.1715506, -111.6459082 35.1717699, -111.6467109 35.1717518))",778,1.375954238378739,SPIRIT IN THE DESERT RETREAT CENTER,POINT (-111.9211106 33.822175)
77,AZ,Arizona,eastern arizona college,"Public, 2 Year",-109.7619674743883,32.84230593472526,"-109.7619674743883, 32.84230593472526","POLYGON ((-109.7629395 32.8490336, -109.7630015 32.8363232, -109.7620755 32.8361184, -109.760792 32.8361821, -109.7608078 32.8418996, -109.7611307 32.8421019, -109.7611316 32.8490336, -109.7629395 32.8490336))",831,1.160436163177324,Hidalgo County Courthouse  (EV),POINT (-108.7080257 32.3480272)
78,AZ,Arizona,estrella mountain community college,"Public, 2 Year",-112.34583859466677,33.48199968208637,"-112.34583859466677, 33.48199968208637","POLYGON ((-112.3503027 33.4855134, -112.3502573 33.4790301, -112.3502953 33.4789883, -112.3500226 33.4789905, -112.3411553 33.4789477, -112.341157 33.4845097, -112.3503027 33.4855134))",696,0.0,ESTRELLA MOUNTAIN COMMUNITY COLLEGE,POINT (-112.3434611 33.4804594)
79,AZ,Arizona,estrella mountain community college,"Public, 2 Year",-112.34583409046473,33.48200933591596,"-112.34583409046473, 33.48200933591596","POLYGON ((-112.341157 33.4845097, -112.3503027 33.4855134, -112.3502573 33.4790301, -112.3411553 33.4789477, -112.341157 33.4845097))",696,0.0,ESTRELLA MOUNTAIN COMMUNITY COLLEGE,POINT (-112.3434611 33.4804594)
80,AZ,Connecticut,gateway community college,"Public, 2 Year",-72.92787678812485,41.30401356723693,"-72.92787678812485, 41.30401356723693","POLYGON ((-72.928308 41.302958, -72.9282958 41.3029528, -72.928282 41.302951, -72.9282681 41.3029528, -72.928256 41.3029581, -72.9282469 41.3029662, -72.9280911 41.303185, -72.92789 41.3034647, -72.9276448 41.3038018, -72.9275253 41.3039499, -72.9274609 41.3040376, -72.9269623 41.3047163, -72.92690810000001 41.3047901, -72.9270507 41.3048481, -72.92706630000001 41.304826, -72.9270925 41.3048367, -72.9270727 41.3048644, -72.927087 41.3048705, -72.9270913 41.3048646, -72.9271403 41.3048846, -72.9271352 41.304891, -72.9275097 41.3050512, -72.9275193 41.3050387, -72.9275355 41.3050453, -72.9279114 41.3045183, -72.9281246 41.30422, -72.92816999999999 41.3041559, -72.9282261 41.3040771, -72.92877989999999 41.3033007, -72.9288303 41.30323, -72.9287267 41.3031845, -72.928527 41.3030748, -72.92853650000001 41.3030644, -72.92852240000001 41.3030571, -72.9285129 41.3030675, -72.928308 41.302958))",343,9.647729669600333,1ST UNITED METHODIST,POINT (-82.4304751 42.9757831)
81,AZ,Arizona,gateway community college,"Public, 2 Year",-111.99747065829216,33.44979766825853,"-111.99747065829216, 33.44979766825853","POLYGON ((-111.9955123 33.4483506, -111.9954869 33.4491778, -111.9955143 33.4493906, -111.9954819 33.4501461, -111.9954408 33.4504768, -111.995437 33.4506164, -111.9954286 33.4510758, -111.9954312 33.4510952, -111.9954434 33.4511185, -111.9954634 33.4511346, -111.995486 33.4511483, -111.9955118 33.4511578, -111.9955392 33.4511598, -111.9971395 33.4511774, -111.9973682 33.4511823, -111.9974994 33.451142, -111.9977645 33.4511411, -111.997979 33.4511815, -111.9988853 33.4511827, -111.9998083 33.4511912, -111.9998134 33.4502803, -111.9998272 33.4497007, -111.9990416 33.4497019, -111.9990419 33.4495345, -111.999025 33.4493767, -111.999016 33.4488662, -111.9990163 33.448424, -111.9990153 33.448378, -111.9990077 33.448351, -111.9989942 33.4483275, -111.9989613 33.4483011, -111.9989169 33.4482907, -111.9982427 33.4482871, -111.9979305 33.4482789, -111.997483 33.4482537, -111.9963274 33.4482494, -111.9956411 33.4482466, -111.9956163 33.4482478, -111.9955908 33.4482504, -111.9955695 33.4482615, -111.9955466 33.4482739, -111.995534 33.4482924, -111.9955198 33.448313, -111.9955159 33.4483275, -111.9955123 33.4483506))",627,0.005395762749606088,DAVID CROCKETT SCHOOL,POINT (-112.0032969 33.4553075)
